nquest,comprens,ita,veroaf,veroab,verored,klima,facil,durata
35355,6,6,6,6,6,6,6,37
35370,6,6,6,6,6,6,6,54
35372,8,8,8,8,8,8,8,59
35374,8,8,7,7,7,7,7,63
35379,8,7,7,10,10,7,7,43
35502,8,8,7,7,7,8,7,85
35507,7,7,7,7,7,8,7,79
35508,7,7,7,7,7,7,7,59
35518,7,7,7,7,7,7,7,83
35600,6,6,7,8,7,6,6,50
35640,10,10,10,10,10,10,10,64
35682,8,9,8,8,8,8,8,54
35788,10,10,10,10,7,8,8,79
35968,8,8,8,8,8,9,7,64
36067,9,9,9,9,9,9,9,33
36130,9,9,9,8,9,9,9,74
36148,8,8,8,8,8,8,8,29
36164,8,7,7,8,7,6,6,45
36186,8,8,8,8,8,8,8,27
36250,8,8,7,8,7,9,7,87
36311,9,9,9,9,9,9,9,65
36321,8,8,8,8,8,8,8,57
36333,10,10,10,10,10,10,10,51
36378,9,9,9,9,9,9,9,78
36403,7,9,9,9,9,9,7,28
36409,9,9,9,9,9,9,9,34
36443,9,8,9,10,9,9,9,52
36450,8,8,9,9,9,9,8,81
36522,9,9,9,10,10,10,9,87
36524,8,7,8,7,6,8,8,46
36697,9,9,9,9,9,9,9,39
36774,10,10,10,10,10,10,10,32
36893,8,8,8,6,7,7,5,54
37001,9,8,8,9,8,9,8,78
37011,10,10,10,10,10,10,10,71
37042,9,9,9,9,9,9,9,60
37299,8,8,8,8,8,8,8,65
37459,8,7,7,7,7,7,7,51
37521,9,9,9,9,9,9,9,68
37665,9,9,9,9,8,9,8,82
37677,10,9,8,9,9,9,8,35
37721,9,9,9,10,9,9,8,41
37810,8,8,8,10,7,9,8,28
38014,9,8,8,8,8,9,9,50
38095,9,9,9,9,9,9,9,33
38106,10,10,10,10,10,10,10,44
38112,10,10,10,10,10,10,10,111
38135,10,10,10,10,8,10,10,48
38255,10,10,10,10,10,10,10,48
38261,8,8,9,9,9,9,8,66
38272,10,10,10,10,10,10,10,54
38316,8,8,8,9,9,7,7,78
38319,9,8,8,8,8,9,9,33
38349,10,10,8,9,9,10,10,70
38554,8,8,8,10,10,10,7,61
38800,9,8,9,10,9,10,9,37
38877,9,9,9,9,8,9,9,61
38885,8,8,8,8,8,8,8,64
38939,9,10,8,9,8,10,9,72
38940,10,10,10,10,10,10,10,35
38957,9,9,9,9,9,9,9,52
38979,9,9,9,9,9,9,9,29
38992,10,10,10,10,9,10,10,68
38995,10,10,10,8,8,10,10,50
39056,9,9,9,9,9,9,9,66
39058,8,8,8,8,8,8,8,36
39086,9,9,9,9,9,9,9,90
39095,9,9,9,9,9,9,9,63
39218,10,9,9,9,8,9,9,42
39227,8,8,7,7,7,9,9,23
39284,9,9,9,9,9,9,9,87
39317,9,9,9,9,9,9,9,38
39318,9,9,9,9,9,9,9,35
39351,10,10,10,10,10,10,10,43
39488,10,10,10,10,10,10,10,52
39491,10,10,10,10,10,10,10,47
39697,10,9,7,8,9,9,8,40
50052,8,9,8,8,8,9,9,41
50060,10,10,9,10,10,9,10,56
50085,9,9,9,9,9,9,9,25
50135,9,9,6,8,8,10,10,89
50150,9,8,9,8,8,10,10,53
50231,9,9,9,9,9,9,9,24
50232,8,8,8,8,8,8,8,28
51013,8,8,8,8,8,8,8,50
51351,10,10,10,10,10,10,7,45
51363,6,7,7,8,8,6,3,26
51444,8,8,8,8,8,8,8,100
51467,8,7,7,7,7,7,7,50
