nquest,nord,nesplav,dislav,disann,exlav,etalav,contrib,acontrib,etalav2,etapen,coppu,prevcom,coppip,mcontrib,anprevcom,mprevcom1
719334,4,,,,,,,,,,,,,,,
719358,1,2,2,,3,26,1,40,,,,,,,,
719528,1,1,2,,,37,1,6,,69,60,2,,,,
719571,1,1,2,,,24,1,33,,65,70,,,,,
719571,2,1,2,,,32,1,22,,,,2,,,,
719571,3,0,,,,,,,,,,,,,,
719571,4,0,,,,,,,,,,,,,,
719606,1,1,2,,,20,1,39,,,,,,,,
719611,1,1,2,,,25,1,27,,,,,,,,
719611,2,1,2,,,30,1,28,,,,,,,,
719611,3,1,1,5,,31,1,1,,,,3,,,,
719613,1,0,,,,,,,,,,,,,,
719615,1,1,2,,,20,1,46,,,,,,,,
719615,2,0,,,,,,,,,,,,,,
719615,3,1,,,,23,1,5,,,,,,,,
719615,4,,,,,,,,,,,,,,,
719656,1,0,,,,,,,,,,,,,,
719656,2,1,,,,23,1,20,,,,,,,,
719656,3,0,,,,,,,,,,,,,,
719656,4,1,2,,,28,1,20,,,,,,,,
719656,5,0,,,,,,,,,,,,,,
719666,1,1,,,,25,1,16,,,,,,,,
719763,1,1,2,,,30,1,13,,65,70,,,,,
719763,2,1,2,,,20,1,40,,,,,,,,
719763,3,1,2,,,20,1,40,,,,,,,,
719763,4,1,2,,,34,1,10,,,,,,,,
719801,1,3,2,,3,20,1,30,30,70,70,2,,,,
719801,2,0,,,,,,,,,,,,,,
719801,3,4,1,1,3,21,1,18,47,,,,,,,
719810,1,3,2,,1,21,1,30,,,,,,,,
719810,2,1,2,,,20,2,,,,,,,,,
719810,3,2,1,1,1,27,1,1,30,70,50,2,,,,
719840,1,1,1,5,,30,1,15,,70,90,2,,,,
719840,2,3,1,2,1,16,1,34,57,,,2,,,,
719840,3,,,,,,,,,,,,,,,
719840,4,,,,,,,,,,,,,,,
719940,1,1,2,,,19,1,7,,65,80,2,,,,
719963,1,1,2,,,21,1,30,,65,80,2,,,,
719963,2,1,2,,,21,1,32,,60,80,2,,,,
719963,3,0,,,,,,,,,,,,,,
719963,4,0,,,,,,,,,,,,,,
719963,5,,,,,,,,,,,,,,,
720009,1,1,2,,,26,1,35,,,,,,,,
720009,2,0,,,,,,,,,,,,,,
720110,1,3,1,2,3,16,1,30,,,,,,,,
720110,2,0,,,,,,,,,,,,,,
720117,1,1,2,,,29,1,15,,70,50,,,,,
720117,2,3,2,,3,29,1,20,31,,,,,,,
720117,3,,,,,,,,,,,,,,,
720117,4,,,,,,,,,,,,,,,
720138,1,4,2,,3,16,1,24,29,65,50,,,,,
720138,2,1,2,,,27,1,3,,,,,,,,
720138,3,0,,,,,,,,,,,,,,
720138,4,0,,,,,,,,,,,,,,
720139,1,1,2,,,27,1,38,,,,,,,,
720139,2,1,2,,,26,1,37,,,,,,,,
720139,3,0,,,,,,,,,,,,,,
720157,1,5,2,,3,15,1,40,26,66,50,,,,,
720157,2,1,2,,,39,1,7,,,,,,,,
720161,1,1,2,,,17,1,3,,,,,,,,
720161,2,1,,,,15,1,10,,,,,,,,
720163,1,1,2,,,25,1,32,,65,70,2,,,,
720163,2,0,,,,,,,,,,,,,,
720163,3,0,,,,,,,,,,,,,,
720209,1,1,2,,,27,1,30,,67,80,,,,,
720209,2,3,1,3,1,20,1,33,28,,,2,,,,
720209,3,1,1,10,,36,1,,,,,,,4,,
720209,4,1,,,,18,1,1,,,,,,,,
720256,1,0,,,,,,,,,,,,,,
720256,2,2,1,1,1,15,1,27,28,62,100,2,,,,
720256,3,0,,,,,,,,,,,,,,
720256,4,,,,,,,,,,,,,,,
720312,1,1,1,1,,28,2,,,65,50,,,,,
720312,2,1,2,,,22,1,20,,,,,,,,
720312,3,0,,,,,,,,,,,,,,
720416,1,2,2,,1,15,1,28,,,,,,,,
720416,2,3,1,15,1,40,2,,,,,,,,,
720566,1,0,,,,,,,,,,,,,,
720566,2,1,1,3,,21,1,12,,,,2,,,,
720566,3,0,,,,,,,,,,,,,,
720566,4,0,,,,,,,,,,,,,,
720566,5,,,,,,,,,,,,,,,
720566,6,,,,,,,,,,,,,,,
720603,1,0,,,,,,,,,,,,,,
720603,2,1,2,,,15,2,,,,,,,,,
720603,3,,,,,,,,,,,,,,,
720603,4,,,,,,,,,,,,,,,
720603,5,,,,,,,,,,,,,,,
720634,1,1,2,,,25,1,36,,65,70,,,,,
720634,2,0,,,,,,,,,,,,,,
720634,3,0,,,,,,,,,,,,,,
720784,1,0,,,,,,,,,,,,,,
720883,1,1,2,,,28,1,3,,65,80,2,,,,
720883,2,1,2,,,25,1,12,,,,2,,,,
720883,3,,,,,,,,,,,,,,,
720889,1,2,2,,1,19,1,35,,,,,,,,
720889,2,0,,,,,,,,,,,,,,
720889,3,1,,,,40,2,,,,,,,,,
721201,1,1,2,,,20,1,25,,64,80,,,,,
721201,2,2,2,,1,21,1,3,,,,,,,,
721201,3,,,,,,,,,,,,,,,
721201,4,,,,,,,,,,,,,,,
721521,1,3,2,,1,16,1,15,,,,,,,,
721521,2,1,2,,,18,1,37,,,,,,,,
721521,3,0,,,,,,,,,,,,,,
721521,4,1,2,,,20,1,1,,,,3,,,,
721548,1,1,2,,,18,1,36,,62,80,3,,,,
721548,2,3,1,1,3,18,1,30,55,,,3,,,,
721631,1,1,2,,,18,1,36,,,,,,,,
721717,1,5,2,,3,21,1,26,29,67,65,2,,,,
721717,2,1,2,,,20,1,20,,,,1,,,,
721717,3,0,,,,,,,,,,,,,,
721717,4,,,,,,,,,,,,,,,
721747,1,1,2,,,18,1,36,,,,,,,,
721747,2,2,2,,1,15,1,22,,,,,,,,
721777,1,2,2,,1,20,1,38,56,63,70,2,,,,
721777,2,1,2,,,20,1,34,,65,70,,,,,
721777,3,0,,,,,,,,,,,,,,
721777,4,0,,,,,,,,,,,,,,
721843,1,2,2,,3,14,1,40,,,,,,,,
721843,2,1,1,10,,23,1,25,,,,,,,,
721862,1,2,1,1,1,16,1,35,,,,,,,,
721862,2,0,,,,,,,,,,,,,,
721871,1,2,1,3,1,28,1,14,37,67,50,,,,,
721871,2,2,2,,1,23,1,30,43,,,2,,,,
721871,3,0,,,,,,,,,,,,,,
722116,1,10,1,3,3,16,1,9,47,67,30,2,,,,
722116,2,6,1,2,1,15,1,8,47,,,2,,,,
722139,1,6,2,,1,10,1,40,,,,,,,,
722141,1,8,2,,3,22,1,14,33,67,70,2,,,,
722141,2,5,1,3,3,20,1,7,36,,,2,,,,
722141,3,0,,,,,,,,,,,,,,
722141,4,,,,,,,,,,,,,,,
722259,1,3,2,,1,15,1,40,,,,,,,,
722259,2,1,2,,,15,1,35,,,,,,,,
722310,1,4,1,1,3,16,1,48,24,70,50,,,,,
722310,2,1,2,,,18,1,34,,,,,,,,
722324,1,0,,,,,,,,,,,,,,
722331,1,10,2,,1,15,1,35,,,,,,,,
722331,2,4,2,,1,16,1,36,,,,,,,,
722353,1,4,2,,3,16,1,35,,,,,,,,
722353,2,3,1,30,1,17,1,15,,,,,,,,
722353,3,4,1,3,1,30,1,,31,,,2,,10,,
722365,1,3,2,,1,19,1,35,21,65,60,1,80,,,
722365,2,2,2,,1,18,1,8,,,,,,,,
722365,3,2,1,2,1,20,1,2,24,,,2,,,,
722378,1,4,2,,1,15,1,37,,,,,,,,
722378,2,3,2,,1,18,1,37,,,,,,,,
722447,1,2,1,4,1,20,1,14,33,70,50,2,,,,
722447,2,0,,,,,,,,,,,,,,
722447,3,,,,,,,,,,,,,,,
722447,4,,,,,,,,,,,,,,,
722518,1,1,2,,,28,1,13,,,,,,,,
722518,2,3,2,,1,26,1,19,36,,,2,,,,
722518,3,,,,,,,,,,,,,,,
722518,4,,,,,,,,,,,,,,,
722601,1,2,2,,3,22,1,22,29,65,50,,,,,
722601,2,0,,,,,,,,,,,,,,
722601,3,0,,,,,,,,,,,,,,
722608,1,5,1,2,3,15,1,10,38,65,95,2,,,,
722608,2,3,,,3,18,1,6,,,,,,,,
722608,3,,,,,,,,,,,,,,,
722720,1,1,2,,,24,1,37,,,,,,,,
722720,2,1,2,,,27,1,36,,,,,,,,
722743,1,1,2,,,14,1,25,,65,50,2,,,,
722743,2,1,2,,,14,1,40,,,,,,,,
722743,3,0,,,,,,,,,,,,,,
722875,1,1,1,2,,25,1,23,,70,50,,,,,
722875,2,1,2,,,25,1,23,,,,,,,,
723200,1,2,2,,3,16,1,36,,,,,,,,
723200,2,1,2,,,20,1,28,,,,,,,,
723207,1,1,1,3,,16,1,20,,67,40,2,,,,
723207,2,2,1,3,1,19,1,23,25,,,2,,,,
723207,3,0,,,,,,,,,,,,,,
723480,1,1,2,,,20,1,25,,,,,,,,
723504,1,4,2,,3,22,1,11,28,75,80,2,,,,
723504,2,3,2,,1,25,1,17,27,,,2,,,,
723504,3,,,,,,,,,,,,,,,
723504,4,,,,,,,,,,,,,,,
723507,1,1,2,,,30,1,30,,,,,,,,
723507,2,1,2,,,20,1,38,,,,,,,,
723536,1,3,2,,1,17,1,36,,,,,,,,
723536,2,2,2,,1,26,1,13,33,65,50,2,,,,
723629,1,1,2,,,22,1,35,,65,70,,,,,
723666,1,6,2,,1,19,1,35,,,,,,,,
723666,2,5,2,,1,24,1,37,,,,,,,,
723986,1,3,2,,3,16,1,23,,,,,,,,
723986,2,1,2,,,20,1,40,,,,,,,,
724042,1,2,2,,1,16,1,38,,,,,,,,
724103,1,2,2,,1,12,2,,,,,,,,,
724132,1,3,1,2,1,33,1,12,37,65,60,2,,,,
724132,2,3,,,1,17,1,1,,,,,,,,
724132,3,2,1,2,1,23,2,,24,,,5,,,,
724209,1,1,1,4,,20,1,9,,,,,,,,
724209,2,1,2,,,20,1,30,,,,2,,,,
724209,3,0,,,,,,,,,,,,,,
724209,4,0,,,,,,,,,,,,,,
724209,5,0,,,,,,,,,,,,,,
724211,1,1,2,,,20,1,25,,,,,,,,
724213,1,1,2,,,24,1,20,,65,50,1,55,,,
724307,1,0,,,,,,,,,,,,,,
724307,2,1,2,,,18,1,35,,,,,,,,
724307,3,1,2,,,26,1,4,,,,2,,,,
724353,1,1,2,,,20,1,9,,67,60,2,,,,
724509,1,1,2,,,15,1,45,,,,,,,,
724509,2,0,,,,,,,,,,,,,,
724523,1,0,,,,,,,,,,,,,,
724543,1,1,2,,,21,1,40,,,,,,,,
724543,2,1,2,,,22,1,32,,,,2,,,,
724543,3,0,,,,,,,,,,,,,,
724543,4,0,,,,,,,,,,,,,,
724635,1,1,2,,,19,1,11,,70,40,2,,,,
724635,2,,,,,,,,,,,,,,,
724636,1,0,,,,,,,,,,,,,,
724636,2,1,2,,,20,1,34,,,,,,,,
724708,1,3,1,3,1,30,1,14,30,60,80,2,,,,
724708,2,0,,,,,,,,,,,,,,
724708,3,0,,,,,,,,,,,,,,
724708,4,,,,,,,,,,,,,,,
724708,5,,,,,,,,,,,,,,,
724708,6,,,,,,,,,,,,,,,
724708,7,,,,,,,,,,,,,,,
724818,1,1,2,,,26,1,4,,67,70,,,,,
724818,2,1,2,,,22,1,3,,,,2,,,,
724899,1,1,2,,,19,1,5,,,,,,,,
724899,2,1,2,,,28,1,41,,67,80,4,,,,
724899,3,0,,,,,,,,,,,,,,
724926,1,1,2,,,20,1,28,,60,80,2,,,,
724926,2,1,2,,,18,1,40,,,,,,,,
724926,3,0,,,,,,,,,,,,,,
724926,4,,,,,,,,,,,,,,,
725236,1,1,2,,,14,1,13,,,,,,,,
725509,1,2,2,,1,14,1,15,,,,,,,,
725509,2,3,2,,1,16,1,37,,,,,,,,
725619,1,0,,,,,,,,,,,,,,
725619,2,1,1,3,,20,1,7,,70,65,2,,,,
725619,3,,,,,,,,,,,,,,,
725619,4,,,,,,,,,,,,,,,
725701,1,4,2,,3,15,1,38,,,,,,,,
725716,1,1,2,,,20,1,26,,67,70,2,,,,
725716,2,1,2,,,20,1,22,,60,70,2,,,,
725716,3,0,,,,,,,,,,,,,,
725716,4,,,,,,,,,,,,,,,
725726,1,4,1,1,1,18,1,10,55,67,40,2,,,,
725801,1,3,2,,1,17,1,29,22,70,60,2,,,,
725801,2,2,2,,1,20,1,32,22,,,2,,,,
725902,1,3,1,3,1,14,1,30,20,60,80,,,,,
725902,2,2,1,20,1,28,1,1,,,,,,,,
725902,3,0,,,,,,,,,,,,,,
725902,4,0,,,,,,,,,,,,,,
726146,1,2,2,,1,24,1,35,24,56,80,2,,,,
726146,2,1,2,,,10,1,10,,,,,,,,
726234,1,1,2,,,19,1,39,,,,,,,,
726234,2,1,2,,,14,1,40,,,,,,,,
726234,3,1,2,,,24,1,14,,,,2,,,,
726553,1,1,2,,,25,1,28,,60,70,1,90,,,
726553,2,2,2,,1,23,1,25,38,62,50,2,,,,
726553,3,0,,,,,,,,,,,,,,
726553,4,0,,,,,,,,,,,,,,
726563,1,1,2,,,18,1,40,,,,,,,,
726563,2,0,,,,,,,,,,,,,,
726568,1,1,2,,,21,1,40,,65,90,,,,,
726568,2,1,2,,,14,1,40,,,,,,,,
726568,3,0,,,,,,,,,,,,,,
726811,1,0,,,,,,,,,,,,,,
726823,1,2,2,,3,16,1,30,,,,,,,,
726906,1,3,,,1,15,1,18,,,,,,,,
726906,2,0,,,,,,,,,,,,,,
726906,3,1,,,,21,2,,,,,,,,,
726906,4,0,,,,,,,,,,,,,,
726932,1,0,,,,,,,,,,,,,,
727001,1,1,2,,,22,1,13,,65,60,2,,,,
727001,2,2,2,,1,16,1,30,20,,,1,,,,
727001,3,,,,,,,,,,,,,,,
727009,1,0,,,,,,,,,,,,,,
727039,1,2,2,,3,27,1,17,43,70,10,,,,,
727039,2,1,2,,,30,1,14,,,,,,,,
727039,3,,,,,,,,,,,,,,,
727039,4,,,,,,,,,,,,,,,
727138,1,2,2,,3,16,1,40,,,,,,,,
727138,2,2,2,,3,16,1,25,,,,,,,,
727160,1,2,2,,1,14,1,35,,,,,,,,
727160,2,1,,,,14,1,27,,,,,,,,
727170,1,2,2,,1,23,1,25,24,60,80,1,90,,,
727170,2,2,2,,1,22,1,9,,,,,,,,
727170,3,,,,,,,,,,,,,,,
727170,4,,,,,,,,,,,,,,,
727170,5,,,,,,,,,,,,,,,
727171,1,3,2,,1,14,1,37,,,,,,,,
727267,1,4,,,1,17,1,38,,,,,,,,
727318,1,1,2,,,14,1,37,,66,80,2,,,,
727402,1,0,,,,,,,,,,,,,,
727402,2,1,2,,,27,1,35,,,,,,,,
727473,1,0,,,,,,,,,,,,,,
727473,2,1,2,,,30,1,35,,,,,,,,
727473,3,0,,,,,,,,,,,,,,
727473,4,0,,,,,,,,,,,,,,
727477,1,0,,,,,,,,,,,,,,
727477,2,1,2,,,31,1,7,,65,60,2,,,,
727477,3,0,,,,,,,,,,,,,,
727477,4,,,,,,,,,,,,,,,
727477,5,,,,,,,,,,,,,,,
727520,1,1,2,,,12,1,35,,,,,,,,
727537,1,2,1,3,3,14,1,12,,,,,,,,
727537,2,0,,,,,,,,,,,,,,
727604,1,1,2,,,18,1,37,,,,,,,,
727604,2,0,,,,,,,,,,,,,,
727650,1,0,,,,,,,,,,,,,,
727650,2,0,,,,,,,,,,,,,,
727825,1,0,,,,,,,,,,,,,,
727825,2,5,,,1,16,1,25,,,,,,,,
727825,3,2,,,1,17,2,,,,,,,,,
727825,4,0,,,,,,,,,,,,,,
727842,1,0,,,,,,,,,,,,,,
727922,1,1,2,,,28,1,25,,66,70,2,,,,
727922,2,3,1,1,1,20,1,26,,,,,,,,
727922,3,,,,,,,,,,,,,,,
728148,1,3,2,,3,18,1,35,26,70,30,,,,,
728148,2,2,2,,1,27,1,8,,,,,,,,
728148,3,0,,,,,,,,,,,,,,
728148,4,0,,,,,,,,,,,,,,
728148,5,0,,,,,,,,,,,,,,
728160,1,2,2,,1,24,1,11,29,67,40,2,,,,
728306,1,3,2,,3,27,1,34,30,67,70,1,75,,,
728306,2,4,1,2,1,18,1,30,30,,,1,,,,
728306,3,0,,,,,,,,,,,,,,
728493,1,2,2,,1,18,1,40,,,,,,,,
728547,1,3,2,,3,26,1,37,38,65,50,,,,,
728547,2,2,1,2,3,18,1,20,,,,,,,,
728547,3,0,,,,,,,,,,,,,,
729412,1,1,2,,,20,1,40,,,,,,,,
729412,2,0,,,,,,,,,,,,,,
729507,1,5,2,,3,19,1,15,34,70,60,2,,,,
730312,1,3,1,3,1,14,1,33,,,,,,,,
730312,2,2,2,,1,12,1,14,,,,,,,,
730333,1,3,2,,1,20,1,22,37,65,60,1,70,,,
730333,2,1,2,,,23,2,,,,,,,,,
730402,1,1,2,,,26,1,22,,66,70,,,,,
730402,2,1,2,,,26,1,26,,,,1,,,,
730402,3,0,,,,,,,,,,,,,,
730430,1,1,1,9,,15,1,4,,,,,,,,
730430,2,2,2,,1,20,1,25,34,,,1,,,,
730430,3,0,,,,,,,,,,,,,,
730756,1,1,2,,,18,1,30,,,,,,,,
730756,2,1,2,,,24,1,28,,,,,,,,
730756,3,1,,,,28,1,2,,,,,,,,
730756,4,,,,,,,,,,,,,,,
730807,1,1,1,2,,40,1,20,,66,60,,,,,
730807,2,1,1,3,,23,1,4,,,,3,,,,
730807,3,2,,,1,22,1,2,,,,,,,,
730876,1,1,2,,,18,1,18,,65,60,,,,,
730876,2,0,,,,,,,,,,,,,,
730876,3,0,,,,,,,,,,,,,,
730901,1,5,2,,1,22,1,25,31,66,60,1,70,,,
730901,2,1,2,,,16,1,15,,,,,,,,
730901,3,1,2,,,18,1,35,,,,1,,,,
730939,1,1,2,,,16,2,,,,,,,,,
731178,1,3,1,1,1,21,1,35,35,67,80,2,,,,
731178,2,1,2,,,25,1,34,,,,2,,,,
731178,3,1,2,,,27,1,5,,,,2,,,,
731344,1,1,2,,,18,1,37,,,,,,,,
731344,2,3,1,1,1,14,1,38,,,,,,,,
731660,1,1,2,,,18,1,33,,70,50,,,,,
731660,2,0,,,,,,,,,,,,,,
731810,1,2,2,,1,14,1,44,,,,,,,,
731827,1,5,,,1,15,1,15,,,,,,,,
731827,2,1,2,,,19,1,5,,,,3,,,,
732013,1,7,1,13,3,13,1,5,,,,,,,,
732013,2,3,1,10,3,34,1,14,40,,,3,,,,
732013,3,0,,,,,,,,,,,,,,
732013,4,,,,,,,,,,,,,,,
732343,1,1,2,,,27,1,36,,66,80,2,,,,
732343,2,0,,,,,,,,,,,,,,
732343,3,1,2,,,29,1,1,,,,2,,,,
732343,4,0,,,,,,,,,,,,,,
732369,1,1,1,6,,37,1,7,,66,70,,,,,
732369,2,1,2,,,17,1,31,,55,75,,,,,
732369,3,0,,,,,,,,,,,,,,
732369,4,0,,,,,,,,,,,,,,
732371,1,1,2,,,19,1,26,,,,,,,,
732371,2,2,2,,1,16,1,36,,,,,,,,
732466,1,1,2,,,19,1,37,,,,,,,,
732466,2,1,2,,,25,1,25,,,,,,,,
732511,1,1,2,,,23,1,34,,67,70,1,85,,,
732511,2,3,2,,1,17,1,15,,,,,,,,
732511,3,2,,,1,20,1,13,,,,,,,,
732601,1,4,2,,3,18,1,18,29,70,50,,,,,
732601,2,2,2,,3,19,1,17,33,65,50,,,,,
732601,3,0,,,,,,,,,,,,,,
732601,4,0,,,,,,,,,,,,,,
733049,1,1,,,,30,1,3,,,,,,,,
733049,2,1,2,,,35,1,10,,65,30,,,,,
733072,1,4,1,2,3,18,1,20,35,70,40,,,,,
733072,2,1,2,,,20,1,20,,,,2,,,,
733072,3,,,,,,,,,,,,,,,
733072,4,,,,,,,,,,,,,,,
733216,1,1,1,3,,16,1,20,,65,60,2,,,,
733216,2,1,1,2,,16,1,30,,65,60,2,,,,
733216,3,0,,,,,,,,,,,,,,
733216,4,0,,,,,,,,,,,,,,
733351,1,0,,,,,,,,,,,,,,
733351,2,4,2,,1,15,1,40,,,,,,,,
733351,3,1,,,,23,1,7,,,,,,,,
733363,1,2,1,5,1,18,1,20,44,65,80,2,,,,
733363,2,2,2,,1,28,1,13,36,65,80,,,,,
733605,1,3,2,,1,15,1,35,,,,,,,,
733606,1,4,2,,3,15,1,18,26,67,30,,,,,
733612,1,3,2,,2,15,1,35,,,,,,,,
733612,2,2,2,,1,15,1,15,,,,,,,,
733612,3,2,2,,2,26,1,2,26,,,,,,,
733713,1,0,,,,,,,,,,,,,,
733755,1,1,2,,,19,1,29,,60,50,2,,,,
733755,2,1,2,,,24,1,35,,,,2,,,,
733755,3,,,,,,,,,,,,,,,
733759,1,0,,,,,,,,,,,,,,
733811,1,1,2,,,49,1,2,,66,50,2,,,,
733811,2,0,,,,,,,,,,,,,,
734107,1,1,2,,,25,1,24,,66,55,1,60,,,
734107,2,2,2,,1,19,1,22,27,65,60,2,,,,
734107,3,,,,,,,,,,,,,,,
734107,4,,,,,,,,,,,,,,,
734115,1,2,2,,1,14,1,37,,,,,,,,
734115,2,1,2,,,15,1,30,,,,,,,,
734141,1,0,,,,,,,,,,,,,,
734143,1,1,2,,,26,1,36,,63,90,2,,,,
734143,2,3,2,,3,14,1,36,,,,,,,,
734148,1,3,2,,3,19,1,23,26,63,90,1,92,,,
734148,2,2,2,,3,20,1,25,24,,,,,,,
734148,3,0,,,,,,,,,,,,,,
734148,4,,,,,,,,,,,,,,,
734160,1,1,2,,,22,1,28,,,,,,,,
734205,1,1,2,,,14,1,40,,,,,,,,
734210,1,1,2,,,21,1,35,,,,,,,,
734210,2,0,,,,,,,,,,,,,,
734264,1,4,2,,1,16,1,36,,,,,,,,
734264,2,2,2,,1,15,1,20,,,,,,,,
734419,1,5,2,,1,14,1,50,,,,,,,,
734833,1,2,2,,1,16,1,40,,,,,,,,
734969,1,1,2,,,18,1,35,,,,,,,,
734969,2,1,2,,,18,1,40,,,,,,,,
735005,1,8,,,3,14,1,8,,,,,,,,
735009,1,1,2,,,15,2,,,,,,,,,
735143,1,2,2,,1,17,1,34,22,60,55,1,70,,,
735143,2,4,1,7,3,15,1,28,35,,,1,,,,
735143,3,2,1,2,1,20,1,4,22,64,55,2,,,,
735143,4,0,,,,,,,,,,,,,,
735401,1,2,2,,1,20,1,22,35,65,60,2,,,,
735401,2,2,2,,1,23,1,16,29,65,65,2,,,,
735401,3,,,,,,,,,,,,,,,
735401,4,,,,,,,,,,,,,,,
735436,1,1,1,3,,14,2,,,,,,,,,
735538,1,2,2,,3,21,1,23,27,67,50,,,,,
735538,2,0,,,,,,,,,,,,,,
735538,3,0,,,,,,,,,,,,,,
735621,1,2,1,2,1,24,1,27,27,65,70,2,,,,
735621,2,2,1,2,1,20,1,23,26,,,2,,,,
735621,3,0,,,,,,,,,,,,,,
735621,4,0,,,,,,,,,,,,,,
735621,5,,,,,,,,,,,,,,,
735659,1,2,2,,3,29,1,29,29,68,66,1,76,,,
735659,2,1,2,,,23,1,34,,65,66,2,,,,
735659,3,0,,,,,,,,,,,,,,
735659,4,0,,,,,,,,,,,,,,
735677,1,1,2,,,18,1,44,,,,,,,,
735677,2,1,1,3,,20,1,3,,,,,,,,
735969,1,1,2,,,20,1,39,,,,,,,,
735969,2,1,2,,,20,1,27,,,,,,,,
736010,1,0,,,,,,,,,,,,,,
736010,2,2,2,,3,22,1,32,40,,,1,,,,
736010,3,0,,,,,,,,,,,,,,
736011,1,1,2,,,32,1,32,,,,,,,,
736011,2,1,2,,,29,1,35,,,,,,,,
736011,3,0,,,,,,,,,,,,,,
736034,1,2,1,1,1,19,1,40,55,66,60,2,,,,
736034,2,1,2,,,17,1,30,,,,,,,,
736034,3,1,1,2,,24,1,8,,,,,,,,
736034,4,1,1,2,,23,1,6,,,,,,,,
736034,5,0,,,,,,,,,,,,,,
736037,1,1,2,,,15,1,40,,,,,,,,
736206,1,1,2,,,23,1,36,,65,70,,,,,
736206,2,0,,,,,,,,,,,,,,
736206,3,0,,,,,,,,,,,,,,
736206,4,0,,,,,,,,,,,,,,
736212,1,1,2,,,19,1,35,,,,,,,,
736212,2,1,2,,,20,1,37,,,,,,,,
736214,1,2,2,,1,20,1,35,,,,,,,,
736476,1,1,2,,,26,1,35,,66,80,,,,,
736476,2,0,,,,,,,,,,,,,,
736476,3,0,,,,,,,,,,,,,,
736476,4,0,,,,,,,,,,,,,,
736579,1,2,1,3,1,18,1,35,,,,,,,,
736579,2,0,,,,,,,,,,,,,,
736627,1,1,2,,,20,1,35,,,,,,,,
736627,2,0,,,,,,,,,,,,,,
736627,3,0,,,,,,,,,,,,,,
736627,4,1,1,2,,25,1,12,,,,2,,,,
736627,5,1,,,,20,2,,,,,,,,,
736703,1,0,,,,,,,,,,,,,,
736703,2,1,2,,,20,1,35,,,,,,,,
736722,1,0,,,,,,,,,,,,,,
736739,1,0,,,,,,,,,,,,,,
736753,1,1,2,,,23,1,32,,65,60,2,,,,
736754,1,1,2,,,20,1,34,,60,60,2,,,,
736754,2,0,,,,,,,,,,,,,,
736754,3,0,,,,,,,,,,,,,,
736754,4,0,,,,,,,,,,,,,,
736801,1,8,1,2,1,14,1,7,61,70,50,2,,,,
736828,1,7,1,2,1,17,1,8,46,65,30,2,,,,
736828,2,5,2,,3,17,1,12,30,67,50,2,,,,
736828,3,2,,,1,18,1,2,,,,,,,,
736828,4,0,,,,,,,,,,,,,,
736828,5,,,,,,,,,,,,,,,
736831,1,1,2,,,20,1,36,,67,40,,,,,
736831,2,1,2,,,17,1,30,,65,50,,,,,
736831,3,3,2,,1,20,1,4,26,,,2,,,,
736862,1,9,1,2,1,14,1,10,31,60,40,2,,,,
736862,2,6,1,1,1,16,1,5,30,,,3,,,,
736917,1,1,2,,,17,1,20,,66,80,2,,,,
736917,2,2,2,,1,21,1,25,26,70,70,2,,,,
736917,3,,,,,,,,,,,,,,,
736917,4,,,,,,,,,,,,,,,
736935,1,1,2,,,22,1,23,,65,60,1,75,,,
736935,2,1,2,,,20,1,26,,62,70,,,,,
736935,3,,,,,,,,,,,,,,,
736939,1,6,1,2,1,15,1,35,,,,,,,,
736957,1,1,2,,,21,1,23,,60,80,,,,,
736957,2,1,1,8,,18,1,4,,70,40,2,,,,
736957,3,,,,,,,,,,,,,,,
736957,4,,,,,,,,,,,,,,,
737312,1,2,2,,3,26,1,20,33,65,50,2,,,,
737312,2,1,2,,,22,2,,,,,2,,,,
737312,3,0,,,,,,,,,,,,,,
737343,1,2,2,,3,20,1,33,30,63,50,,,,,
737349,1,2,2,,3,14,1,35,24,60,60,,,,,
737349,2,2,2,,1,15,1,31,22,60,70,2,,,,
737349,3,1,2,,,17,1,8,,,,,,,,
737349,4,0,,,,,,,,,,,,,,
737401,1,5,2,,3,24,1,35,27,67,100,,,,,
737401,2,1,2,,,14,1,15,,,,,,,,
737406,1,2,2,,3,18,1,32,34,65,80,,,,,
737406,2,2,2,,1,20,1,32,37,,,2,,,,
737406,3,,,,,,,,,,,,,,,
737420,1,3,2,,1,34,1,16,34,65,50,,,,,
737420,2,3,2,,3,22,1,20,48,,,,,,,
737420,3,,,,,,,,,,,,,,,
737531,1,1,2,,,20,1,42,,,,,,,,
737531,2,1,2,,,20,1,33,,,,,,,,
737902,1,1,2,,,14,1,20,,70,50,2,,,,
737902,2,0,,,,,,,,,,,,,,
737902,3,,,,,,,,,,,,,,,
737902,4,,,,,,,,,,,,,,,
737939,1,1,,,,14,1,20,,,,,,,,
800003,1,3,2,,1,24,1,13,30,67,60,2,,,,
800003,2,2,2,,1,20,1,17,23,,,2,,,,
800003,3,,,,,,,,,,,,,,,
800003,4,,,,,,,,,,,,,,,
800010,1,3,2,,3,15,1,25,42,70,40,2,,,,
800010,2,4,1,1,1,16,1,23,38,65,30,2,,,,
800010,3,,,,,,,,,,,,,,,
800010,4,,,,,,,,,,,,,,,
800013,1,0,,,,,,,,,,,,,,
800013,2,1,2,,,20,1,20,,,,,,,,
800013,3,,,,,,,,,,,,,,,
800013,4,,,,,,,,,,,,,,,
800029,1,1,,,,14,1,12,,,,,,,,
