nquest,anmutuo31,anmutuo32,anmutuo33,anmutuo34,debgar31_1,debgar32_1,debgar33_1,debgar34_1,debgar31_2,debgar32_2,debgar33_2,debgar34_2,debgar31_3,debgar32_3,debgar33_3,debgar34_3,debm31,debm32,debm33,debm34,debpers31,debpers32,debpers33,debpers34,debrf31,debrf32,debrf33,debrf34,debgar31_4,debgar32_4,debgar33_4,debgar34_4,mutuodu31,mutuodu32,mutuodu33,mutuodu34,mutuoin31,mutuoin32,mutuoin33,mutuoin34,taeg11,taeg12,taeg13,taeg14,tdebita31,tdebita32,tdebita33,tdebita34,tipotax31,tipotax32,tipotax33,tipotax34,tmutuoab31,tmutuoab32,tmutuoab33,tmutuoab34,debgar31_5,debgar32_5,debgar33_5,debgar34_5
904954,2013,,,,0,,,,0,,,,0,,,,4,,,,1,,,,2,,,,1,,,,2,,,,2000,,,,7.8,,,,800,,,,1,,,,960,,,,0,,,
905068,2013,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,5,,,,17000,,,,,,,,10000,,,,3,,,,4800,,,,0,,,
905069,2012,,,,0,,,,0,,,,0,,,,1,,,,2,,,,2,,,,1,,,,5,,,,15000,,,,3,,,,8000,,,,1,,,,4000,,,,0,,,
905088,2012,,,,1,,,,0,,,,0,,,,1,,,,,,,,2,,,,0,,,,5,,,,12000,,,,,,,,4500,,,,3,,,,2700,,,,0,,,
905189,2013,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,5,,,,10000,,,,,,,,6500,,,,3,,,,2100,,,,0,,,
905328,2010,,,,1,,,,0,,,,0,,,,1,,,,,,,,2,,,,0,,,,5,,,,8000,,,,6,,,,600,,,,1,,,,2400,,,,0,,,
905387,2014,,,,1,,,,0,,,,0,,,,1,,,,,,,,2,,,,0,,,,4,,,,8000,,,,5,,,,7000,,,,1,,,,265,,,,0,,,
905397,2014,,,,1,,,,0,,,,0,,,,1,,,,,,,,2,,,,0,,,,4,,,,10000,,,,,,,,9400,,,,3,,,,600,,,,0,,,
905611,2014,,,,1,,,,0,,,,0,,,,1,,,,,,,,2,,,,0,,,,5,,,,6000,,,,5,,,,6000,,,,1,,,,1000,,,,0,,,
905836,2009,,,,0,,,,0,,,,0,,,,4,,,,1,,,,2,,,,1,,,,10,,,,30000,,,,4,,,,15000,,,,1,,,,5760,,,,0,,,
905970,2014,,,,0,,,,0,,,,0,,,,2,,,,1,,,,2,,,,1,,,,12,,,,600,,,,1,,,,300,,,,2,,,,50,,,,0,,,
906037,2014,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,5,,,,50000,,,,5.5,,,,45000,,,,1,,,,600,,,,0,,,
906046,2009,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,10,,,,30000,,,,7,,,,15000,,,,1,,,,2700,,,,0,,,
906117,2010,,,,1,,,,0,,,,0,,,,1,,,,,,,,1,,,,0,,,,7,,,,26000,,,,6.5,,,,10000,,,,1,,,,5500,,,,0,,,
906343,2011,,,,0,,,,0,,,,0,,,,3,,,,1,,,,2,,,,1,,,,10,,,,15000,,,,7,,,,10000,,,,1,,,,2880,,,,0,,,
906430,2014,,,,0,,,,0,,,,0,,,,2,,,,1,,,,3,,,,1,,,,11,,,,1100,,,,,,,,200,,,,3,,,,600,,,,0,,,
906438,2012,,,,0,,,,0,,,,0,,,,4,,,,1,,,,2,,,,1,,,,2,,,,5000,,,,10,,,,450,,,,1,,,,500,,,,0,,,
906532,2012,,,,1,,,,0,,,,0,,,,1,,,,,,,,2,,,,0,,,,5,,,,10000,,,,,,,,6000,,,,3,,,,2000,,,,0,,,
906545,2013,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,5,,,,11000,,,,4,,,,6500,,,,2,,,,2400,,,,0,,,
906598,2014,,,,0,,,,0,,,,0,,,,4,,,,1,,,,2,,,,1,,,,3,,,,3700,,,,8.25,,,,3200,,,,1,,,,606,,,,0,,,
906690,2014,,,,0,,,,0,,,,0,,,,4,,,,1,,,,2,,,,1,,,,1,,,,600,,,,7.3,,,,420,,,,1,,,,63,,,,0,,,
906697,2014,,,,0,,,,0,,,,0,,,,2,,,,1,,,,2,,,,1,,,,3,,,,3000,,,,,,,,2200,,,,3,,,,1200,,,,0,,,
906721,2012,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,4,,,,14000,,,,5.5,,,,7500,,,,2,,,,3620,,,,0,,,
906880,2013,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,3,,,,5000,,,,,,,,1000,,,,3,,,,2400,,,,0,,,
906912,2007,,,,0,,,,0,,,,0,,,,1,,,,1,,,,1,,,,1,,,,7,,,,24000,,,,,,,,4000,,,,3,,,,3600,,,,0,,,
906921,2010,,,,0,,,,0,,,,0,,,,4,,,,1,,,,1,,,,1,,,,7,,,,10000,,,,,,,,4000,,,,3,,,,4800,,,,0,,,
906948,2011,,,,1,,,,0,,,,0,,,,1,,,,,,,,2,,,,0,,,,4,,,,12000,,,,3,,,,2400,,,,1,,,,2400,,,,0,,,
