nquest,motusc,annoenus,NORDP
852115,4,2013,2
852232,98,,1
853175,5,2014,2
853210,3,2013,2
853617,4,2014,3
854081,4,2013,3
854202,3,2013,3
854346,4,2013,3
854346,4,2013,5
854460,4,2014,3
854592,1,2014,1
854624,4,2014,3
854631,2,2014,2
854858,4,2014,4
854958,4,2014,6
854970,4,2013,2
855004,1,2013,2
855135,1,2014,2
855308,3,2014,3
855376,4,2014,3
855639,4,2013,3
855991,4,2014,3
856328,5,2013,2
856708,4,2013,3
856708,4,2013,4
856708,4,2013,5
856759,5,2013,2
857107,5,2014,3
857621,4,2014,3
857713,1,2014,1
857840,5,2014,3
857856,3,2014,4
857914,5,2013,2
858080,4,2014,2
858080,4,2014,3
858080,4,2014,4
858186,1,2014,2
858238,4,2014,2
859261,3,2013,3
859611,4,2014,3
859754,4,2013,3
859754,5,2013,4
859908,4,2014,1
859908,4,2014,3
859913,4,2013,2
860133,4,2014,3
860230,4,2014,3
860230,4,2014,4
860684,1,2014,1
860688,5,2014,4
860799,4,2014,3
861019,1,2014,2
861177,5,2014,3
861345,4,2013,2
861471,3,2014,4
861476,4,2014,3
861508,1,2013,2
861850,4,2014,3
862012,4,2013,3
862012,4,2013,4
862264,1,2013,1
863694,4,2014,4
864040,1,2013,3
864220,1,2014,1
864715,4,2013,3
865491,1,2014,1
866103,4,2013,3
866313,1,2013,1
866382,3,2014,3
866425,3,2014,3
866597,1,2014,3
866608,1,2014,1
866960,4,2014,3
867114,1,2013,2
867653,3,2014,3
867653,3,2014,4
867698,1,2014,2
868489,4,2014,4
871009,4,2014,3
871085,5,2013,3
871263,1,2014,1
871273,4,2013,3
871321,5,2014,2
871321,5,2014,3
871655,1,2014,2
871886,98,,1
871898,98,,1
871914,98,,1
872161,1,2014,2
872190,5,2014,2
872190,5,2014,3
872229,4,2013,1
872357,98,,1
872357,98,,2
872357,98,,3
872367,4,2013,4
872546,4,2014,2
872633,1,2013,2
872789,1,2014,1
872856,4,2013,3
872856,1,2014,4
872858,3,2013,3
872935,1,2014,1
873037,4,2013,1
873272,4,2013,2
873621,5,2014,3
873714,1,2014,2
873936,4,2014,3
874111,1,2013,2
874152,4,2013,3
874325,4,2013,3
874330,1,2013,5
874488,1,2013,2
874597,5,2014,1
874612,1,2013,2
874961,1,2013,2
875141,4,2013,3
875206,4,2014,3
875208,3,2013,2
875208,3,2013,3
875224,4,2014,3
875224,1,2013,5
875281,3,2013,2
875293,4,2013,3
875341,1,2014,2
875426,4,2013,4
875478,4,2013,2
875542,5,2014,1
875623,3,2013,1
875623,4,2013,3
875658,1,2014,2
875679,4,2013,3
875737,1,2013,1
875765,4,2013,1
875851,4,2013,2
875851,3,2013,4
875979,4,2013,2
875990,4,2014,3
876020,1,2014,4
876298,5,2014,2
876444,1,2014,3
876577,1,2013,3
876666,1,2013,2
877005,4,2014,3
877138,4,2014,3
877285,4,2014,3
877407,5,2013,3
877554,3,2014,2
878019,4,2014,3
878039,4,2013,4
878120,1,2014,2
878135,1,2014,1
878135,4,2014,3
878165,5,2014,2
878219,1,2014,1
878281,2,2014,2
878308,3,2013,3
878309,1,2014,1
878323,1,2014,2
878452,4,2013,3
878777,4,2013,3
878777,4,2013,4
878777,4,2013,5
878783,5,2014,3
878783,4,2014,4
878783,4,2014,5
