nquest,Y,YL,YL1,YL2,YT,YTP,YTP1,YTP2,YTA,YTA1,YTA2,YTA3,YTA31,YTA32,YM,YMA1,YMA2,YC,YCA,YCA1,YCA2,YCF,YCF1,YCF2,YCF3,YCF4
22657,47408.008364,26800,26800,0,1000,13000,13000,0,-12000,0,0,-12000,0,12000,0,0,0,19608.008364,18000,0,18000,1608.0083642,86.026851287,1521.981513,0,0
22996,39137.44854,0,0,0,32825,32825,32825,0,0,0,0,0,0,0,0,0,0,6312.4485401,6010,0,6010,302.44854008,67.961212517,234.48732757,0,0
23370,15754.629536,0,0,0,15660,17160,17160,0,-1500,0,0,-1500,0,1500,0,0,0,94.629536416,0,0,0,94.629536416,94.629536416,0,0,0
23490,22297.887343,0,0,0,18200,18200,18200,0,0,0,0,0,0,0,0,0,0,4097.8873425,3600,0,3600,497.8873425,41.292888618,456.59445389,0,0
23797,22517.20537,16500,16500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6017.2053703,6000,0,6000,17.205370257,17.205370257,0,0,0
23821,11591.860528,0,0,0,7930,7930,7930,0,0,0,0,0,0,0,0,0,0,3661.8605281,3600,0,3600,61.860528069,61.860528069,0,0,0
23823,30355.509843,14000,14000,0,11700,11700,11700,0,0,0,0,0,0,0,0,0,0,4655.5098433,7200,0,7200,-2544.490157,203.60382534,0,0,2748.0939821
23865,40500,0,0,0,35100,35100,35100,0,0,0,0,0,0,0,0,0,0,5400,5400,0,5400,0,0,0,0,0
24147,100700.43759,21400,21400,0,22880,22880,22880,0,0,0,0,0,0,0,0,0,0,56420.437592,56300,14500,41800,120.4375918,120.4375918,0,0,0
24149,9502.9040277,0,0,0,9490,9490,9490,0,0,0,0,0,0,0,0,0,0,12.904027693,0,0,0,12.904027693,12.904027693,0,0,0
24194,75415.740277,40900,40000,900,20800,20800,20800,0,0,0,0,0,0,0,0,0,0,13715.740277,12600,0,12600,1115.7402769,129.04027693,0,986.7,0
24382,14293.190434,0,0,0,13000,13000,13000,0,0,0,0,0,0,0,0,0,0,1293.1904343,1200,0,1200,93.190434304,93.190434304,0,0,0
24393,11308.508515,0,0,0,6500,6500,6500,0,0,0,0,0,0,0,0,0,0,4808.5085154,4800,0,4800,8.5085153596,8.5085153596,0,0,0
24616,30528.821481,0,0,0,26260,26260,26260,0,0,0,0,0,0,0,0,0,0,4268.821481,4200,0,4200,68.82148103,68.82148103,0,0,0
24760,15908.602685,0,0,0,11700,11700,11700,0,0,0,0,0,0,0,0,0,0,4208.6026851,4200,0,4200,8.6026851287,8.6026851287,0,0,0
24764,25025.808055,19000,19000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6025.8080554,6000,0,6000,25.808055386,25.808055386,0,0,0
24809,33183.787509,0,0,0,14300,14300,14300,0,0,0,0,0,0,0,0,0,0,18883.787509,18050,10000,8050,833.78750904,301.09397951,0,532.69352953,0
24853,55386.026851,19500,19500,0,28600,28600,28600,0,0,0,0,0,0,0,0,0,0,7286.0268513,7200,0,7200,86.026851287,86.026851287,0,0,0
25007,19414.196916,0,0,0,14560,14560,14560,0,0,0,0,0,0,0,0,0,0,4854.1969163,4800,0,4800,54.196916311,54.196916311,0,0,0
25930,33055.472597,0,0,0,26650,26650,26650,0,0,0,0,0,0,0,0,0,0,6405.4725969,6000,0,6000,405.4725969,58.840023494,241.5233483,105.10922511,0
26048,48652.172781,0,0,0,44200,44200,44200,0,0,0,0,0,0,0,0,0,0,4452.1727808,0,0,0,4452.1727808,38.287088043,0,4413.8856928,0
26349,25987.513591,0,0,0,18200,18200,18200,0,0,0,0,0,0,0,0,0,0,7787.5135909,7200,0,7200,587.51359088,587.51359088,0,0,0
27109,12850,0,0,0,11050,11050,11050,0,0,0,0,0,0,0,0,0,0,1800,1800,0,1800,0,0,0,0,0
27114,22032.053703,0,0,0,18200,18200,18200,0,0,0,0,0,0,0,0,0,0,3832.0537026,3660,0,3660,172.05370257,172.05370257,0,0,0
27116,22751.616111,0,0,0,18200,18200,18200,0,0,0,0,0,0,0,0,0,0,4551.6161108,4500,0,4500,51.616110772,51.616110772,0,0,0
27123,25915.067128,0,0,0,15600,15600,15600,0,0,0,0,0,0,0,0,0,0,10315.067128,10100,0,10100,215.06712822,215.06712822,0,0,0
27157,17862.137566,6000,6000,0,0,0,0,0,0,0,0,0,0,0,7000,7000,0,4862.1375657,4800,0,4800,62.137565651,62.137565651,0,0,0
27238,43255,13000,13000,0,13455,13455,13455,0,0,0,0,0,0,0,0,0,0,16800,16800,0,16800,0,0,0,0,0
27509,14177.991435,0,0,0,7800,7800,7800,0,0,0,0,0,0,0,0,0,0,6377.9914347,6000,0,6000,377.99143466,80.518911275,297.47252338,0,0
27730,45923.284717,15400,15400,0,19110,19110,19110,0,0,0,0,0,0,0,0,0,0,11413.284717,10800,0,10800,613.28471669,85.450328192,0,527.8343885,0
27734,32937.654663,0,0,0,15340,15340,15340,0,0,0,0,0,0,0,14500,0,14500,3097.6546631,3000,0,3000,97.654663114,97.654663114,0,0,0
27739,21015.392061,0,0,0,4160,4160,4160,0,0,0,0,0,0,0,0,0,0,16855.392061,16200,11400,4800,655.39206069,245.74914703,0,409.64291365,0
27742,27293.227619,7300,7300,0,10265,7865,7865,0,2400,2400,0,0,0,0,0,0,0,9728.2276188,9600,0,9600,128.22761879,128.22761879,0,0,0
27912,29222.705119,0,0,0,22750,18200,18200,0,4550,4550,0,0,0,0,1400,1400,0,5072.7051186,4800,0,4800,272.70511858,272.70511858,0,0,0
27923,28301.278451,0,0,0,16090,15600,15600,0,490,490,0,0,0,0,0,0,0,12211.278451,11900,0,11900,311.27845069,6.882148103,0,304.39630259,0
27947,26212.690203,0,0,0,19980,19500,19500,0,480,480,0,0,0,0,0,0,0,6232.6902035,6200,0,6200,32.690203489,32.690203489,0,0,0
28100,28600,25000,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,3600,0,3600,0,0,0,0,0
28362,38083.602685,0,0,0,30875,30875,30875,0,0,0,0,0,0,0,0,0,0,7208.6026851,7200,0,7200,8.6026851287,8.6026851287,0,0,0
28441,43351.11909,0,0,0,19500,19500,19500,0,0,0,0,0,0,0,0,0,0,23851.11909,22800,0,22800,1051.1190903,294.76084562,0,756.35824467,0
28802,87559.015198,29200,28000,1200,0,0,0,0,0,0,0,0,0,0,50000,50000,0,8359.0151982,8250,0,8250,109.01519816,109.01519816,0,0,0
28859,21240.251563,0,0,0,10400,10400,10400,0,0,0,0,0,0,0,0,0,0,10840.251563,10800,0,10800,40.251562902,40.251562902,0,0,0
28992,43107.374677,0,0,0,24310,24310,24310,0,0,0,0,0,0,0,0,0,0,18797.374677,18400,0,18400,397.37467746,245.17652617,152.1981513,0,0
29006,38072.084437,0,0,0,32500,32500,32500,0,0,0,0,0,0,0,0,0,0,5572.0844368,4900,0,4900,672.08443677,246.86534261,0,425.21909416,0
29140,41232.602685,0,0,0,29224,29224,29224,0,0,0,0,0,0,0,0,0,0,12008.602685,12000,0,12000,8.6026851287,8.6026851287,0,0,0
