nquest,nord,INTPER,attivp,tuttanno,numadd,numdip,forgiu,etaimpresa,oretot,compfiss,dividut,quopro,partecip,mesilav
878552,2,1,1,1,2,0,9,42,40,12000,12000,50,45000,12
878873,1,1,2,1,5,2,6,15,10,0,12000,33,15000,12
878873,2,1,1,1,5,1,1,40,45,,,90,70000,12
879636,1,1,1,1,9,4,7,20,50,21500,4000,20,10000,12
879638,1,1,1,1,11,9,1,9,40,33600,0,50,100000,12
879958,1,1,1,1,2,0,7,30,48,15000,4000,50,20000,12
880291,1,1,1,3,30,24,2,25,1,16000,16000,23,3500000,
881817,2,1,1,1,2,0,7,10,46,19500,5000,50,70000,12
883754,1,1,2,3,2,0,6,4,1,0,9000,50,200000,
883754,2,2,1,1,2,1,1,4,35,37000,0,50,750000,12
883886,1,1,1,3,2,0,9,16,3,0,5500,1,1000,
883886,2,1,1,1,2,0,9,16,60,0,20000,99,5000,12
884168,1,1,1,1,220,180,2,50,40,0,20000,30,50000,12
886347,1,1,1,1,3,0,9,26,40,30000,22000,50,40000,12
886347,2,2,1,1,3,0,9,26,40,15000,15000,25,20000,12
886365,1,1,1,1,7,5,7,18,50,5000,5000,50,25000,12
886365,1,1,2,1,2,0,7,15,3,12000,12000,50,500000,12
886436,1,1,1,1,5,3,1,7,50,20000,20000,50,200000,12
886443,1,1,1,1,3,1,2,15,50,63785,0,65,800000,12
886443,2,1,1,3,18,17,2,25,2,33000,0,10,200000,
886636,1,1,1,1,19,16,1,35,50,12000,0,50,200000,12
887372,2,1,1,1,8,6,9,20,38,38000,23400,45,10000,12
887519,2,1,1,1,4,2,1,24,40,20000,1000,50,100000,12
888455,1,1,2,1,3,2,1,1,15,5000,0,20,3000,12
889294,2,1,1,1,4,0,1,10,40,100000,70000,25,250000,12
889348,1,1,1,1,2,0,7,23,40,14500,14500,50,10000,12
889478,1,1,1,1,14,11,1,31,10,0,15000,10,5000,12
889478,2,1,1,1,14,11,1,31,40,20000,65000,51,51000,12
890119,1,1,1,1,2,2,9,50,50,15000,5000,50,300000,12
890119,2,1,1,1,2,2,9,20,45,13000,3000,50,30000,12
890410,2,2,1,1,9,4,1,30,55,15000,500,5,30000,12
890660,1,1,1,1,2,0,1,50,33,5000,3000,50,100000,12
890982,1,1,1,1,3,1,1,20,10,12000,1500,50,150000,12
891317,3,1,1,1,1,0,9,5,35,14000,0,100,5000,12
891692,1,1,1,1,2,0,7,9,36,6000,1000,50,20000,12
891692,2,1,1,1,3,0,7,10,40,10000,3000,33,15000,12
