nquest,Y,CN,CD1,CD2,CD,C,S
32209,20865.238464,19800,0,300,300,20100,765.23846387
32210,17731.673401,15084,0,2500,2500,17584,147.67340149
32288,35550.755842,16680,0,0,0,16680,18870.755842
32318,17817.20537,13200,0,0,0,13200,4617.2053703
32320,71835.181988,49793.205954,0,0,0,49793.205954,22041.976034
32470,39344.032329,27600,0,0,0,27600,11744.032329
32471,11684.39599,10800,0,0,0,10800,884.39598979
32524,109935.39476,53500,0,0,0,53500,56435.39476
32556,20584.065912,19200,0,200,200,19400,1184.0659121
32668,18700,13800,0,0,0,13800,4900
32703,25758.065639,22320,0,0,0,22320,3438.0656388
32709,116202.47093,56400,0,0,0,56400,59802.470929
32729,51443.013426,38000,0,500,500,38500,12943.013426
32733,17983.875184,19200,0,0,0,19200,-1216.124816
32734,21860.218796,20400,0,640,640,21040,820.2187959
32742,40174.91481,24000,0,450,450,24450,15724.91481
32751,27623.508804,25800,0,0,0,25800,1823.5088039
32765,57640.132134,36300,0,700,700,37000,20640.132134
32772,30449.620203,26400,0,0,0,26400,4049.6202035
32810,12314.072776,10000,0,0,0,10000,2314.0727758
32822,40330.109398,35640,0,0,0,35640,4690.109398
32839,25218.424126,19200,0,0,0,19200,6018.424126
32861,53004.004182,32400,15000,1000,16000,48400,4604.0041821
32887,111800,52800,0,0,0,52800,59000
32987,22615.013426,18360,0,0,0,18360,4255.0134256
33036,10400,10056,0,0,0,10056,344
33038,28454.433508,20880,0,1400,1400,22280,6174.4335084
33275,45282.322215,25200,0,0,0,25200,20082.322215
33303,41735.154028,38400,0,0,0,38400,3335.1540277
33335,72955.968847,39000,0,1500,1500,40500,32455.968847
33336,26937.314768,16800,0,0,0,16800,10137.314768
33348,40836.026851,34200,0,1800,1800,36000,4836.0268513
33451,31643.013426,31200,0,0,0,31200,443.01342564
33455,37137.553965,26400,0,1000,1000,27400,9737.5539646
33479,44786.026851,33600,0,0,0,33600,11186.026851
33644,28929.164837,12600,0,0,0,12600,16329.164837
33751,62864.232715,26600,0,0,0,26600,36264.232715
33761,75967.0031,41800,9000,0,9000,50800,25167.0031
33773,26329.174497,16200,0,0,0,16200,10129.174497
33823,36406.623374,18000,0,0,0,18000,18406.623374
33839,15521.616111,14880,0,0,0,14880,641.61611077
33877,53700.218796,27840,17000,0,17000,44840,8860.2187959
33882,23378.167453,15850,0,0,0,15850,7528.1674533
33937,23529.040277,20400,0,0,0,20400,3129.0402769
33983,54886.05171,36000,0,0,0,36000,18886.05171
33985,223997.30823,54000,0,0,0,54000,169997.30823
33994,40835.808055,26700,0,800,800,27500,13335.808055
34059,36926.439813,27000,0,2000,2000,29000,7926.4398129
34252,17615.067128,10200,0,0,0,10200,7415.0671282
34396,29000,12840,0,0,0,12840,16160
34732,21036.026851,18650,0,0,0,18650,2386.0268513
34778,25125.808055,14400,0,140,140,14540,10585.808055
34793,25650,16200,0,0,0,16200,9450
34825,41742.34444,32200,0,1000,1000,33200,8542.3444398
34900,36804.830184,25200,0,1700,1700,26900,9904.8301843
35005,25413.587015,19200,10000,0,10000,29200,-3786.412985
35022,10051.906018,16800,0,0,0,16800,-6748.093982
35032,63747.559148,33900,0,0,0,33900,29847.559148
35234,24704.301343,18000,13000,0,13000,31000,-6295.698657
35319,19086.789631,18000,0,0,0,18000,1086.7896311
35322,17890.85908,16700,0,0,0,16700,1190.8590804
35323,19671.616111,14400,0,0,0,14400,5271.6161108
35326,40218.29935,28800,0,3500,3500,32300,7918.2993498
35340,6798.7120831,3480,0,0,0,3480,3318.7120831
35349,21922.053703,11400,0,0,0,11400,10522.053703
35355,10327.424166,9600,0,0,0,9600,727.42416616
35370,12103.336648,9600,0,550,550,10150,1953.3366478
35372,41925.285924,28200,0,1200,1200,29400,12525.285924
35374,31601.616111,20400,0,700,700,21100,10501.616111
35379,23000,22800,0,0,0,22800,200
35502,20343.013426,20600,0,500,500,21100,-756.9865744
35507,46087.513426,29400,0,500,500,29900,16187.513426
35508,4400,26400,0,0,0,26400,-22000
35518,30429.713426,25200,0,0,0,25200,5229.7134256
35600,14786.928333,9600,0,0,0,9600,5186.9283334
35640,43867.20537,36000,0,0,0,36000,7867.2053703
35682,34074.19053,17900,-1700,1200,-500,17400,16674.19053
35788,52824.496362,37800,0,0,0,37800,15024.496362
35968,47219.158055,39000,0,0,0,39000,8219.1580554
36067,34059.665109,13200,0,0,0,13200,20859.665109
36130,38612.904028,27600,5000,2500,7500,35100,3512.9040277
36148,17729.301343,16800,0,0,0,16800,929.30134256
36164,23337.841145,13800,0,1500,1500,15300,8037.8411454
36186,17277.065611,11400,0,0,0,11400,5877.0656107
36250,31812.904028,20400,0,0,0,20400,11412.904028
36311,26648.175037,18000,0,0,0,18000,8648.1750367
36321,42551.161992,24600,0,0,0,24600,17951.161992
36333,21403.232222,25000,0,0,0,25000,-3596.767778
36378,40978.593219,30000,0,150,150,30150,10828.593219
36403,14597.933135,15600,0,0,0,15600,-1002.066865
36409,61604.263895,25200,0,0,0,25200,36404.263895
36443,38905.060928,30600,0,600,600,31200,7705.0609285
36450,64483.060935,40500,0,1000,1000,41500,22983.060935
36522,49753.329329,14800,0,0,0,14800,34953.329329
36524,53130.134256,49200,0,0,0,49200,3930.1342564
36697,20553.013426,18000,0,0,0,18000,2553.0134256
36774,6631,10596,0,0,0,10596,-3965
36893,41613.072032,14400,0,0,0,14400,27213.072032
37001,52717.20537,32400,0,0,0,32400,20317.20537
37011,50632.292131,44400,0,0,0,44400,6232.2921308
37042,61112.89398,32400,2400,0,2400,34800,26312.89398
37299,31000,14400,0,0,0,14400,16600
37459,26417.20537,21000,5000,0,5000,26000,417.20537026
37521,29236.526699,13800,0,0,0,13800,15436.526699
37665,61899.066806,28800,0,0,0,28800,33099.066806
37677,33667.612083,20400,0,0,0,20400,13267.612083
37721,30981.040277,22800,0,200,200,23000,7981.0402769
37810,8925.8080554,8400,0,0,0,8400,525.80805539
38014,32992.844771,20400,0,0,0,20400,12592.844771
38095,25200,21000,0,0,0,21000,4200
