nquest,nord,INTPER,attivp,partime,contratt,tuttanno,mesilav,dimaz,oretot,pstra,orestra,ylm,integ,ylnm
36697,1,1,1,1,1,1,12,7,36,2,,17000,2,0
37001,3,1,1,1,1,1,12,2,40,1,6,17000,2,0
37042,1,1,1,1,1,1,12,4,40,1,3,27000,2,0
37299,1,1,1,1,1,1,12,1,30,2,,16000,2,0
37459,3,2,1,1,1,1,12,1,40,2,,7500,2,0
37665,1,1,1,1,1,1,12,5,36,2,,23000,2,0
37665,2,2,1,1,1,1,12,5,40,1,3,23000,2,0
38014,3,1,1,1,1,2,4,4,40,2,,5000,2,0
38095,2,1,1,1,1,1,12,4,40,2,,20000,2,0
38095,4,1,1,2,3,2,6,1,20,2,,1000,2,0
38112,1,1,1,1,1,1,12,7,36,2,,21000,2,0
38135,1,1,1,1,1,1,12,2,55,2,,10400,2,0
38255,2,1,1,1,1,1,12,2,40,2,,16000,2,0
38316,3,1,1,2,3,2,7,1,20,2,,3000,2,0
38319,1,1,1,1,1,1,12,8,36,1,0,20000,2,0
38349,3,1,1,1,1,1,12,7,38,2,,22000,2,0
38554,1,1,1,1,1,2,7,4,40,2,,8500,2,0
38554,2,1,1,2,1,1,12,1,34,2,,10400,2,0
39056,1,1,1,1,1,1,12,6,36,1,2,24000,1,1000
39056,2,1,1,1,1,1,12,8,36,2,,15000,2,0
39095,1,1,1,2,1,1,12,7,30,1,10,21000,1,
39095,2,1,1,1,2,1,12,4,45,2,,15000,1,
39284,3,1,1,1,1,1,12,8,27,2,,18000,2,0
39317,1,1,1,1,1,1,12,8,40,2,,18000,2,0
39317,2,1,1,1,1,1,12,4,40,2,,18000,2,0
39697,2,1,1,1,1,1,12,8,40,2,,20800,2,0
50085,2,1,1,1,1,1,12,1,36,2,,12000,2,0
50150,2,2,1,1,1,1,12,5,40,2,,19500,2,0
50150,3,1,1,1,2,2,6,2,42,1,2,7500,2,0
50231,2,1,1,1,1,1,12,3,36,2,,12000,2,0
51013,3,1,1,1,1,1,12,2,40,2,,15000,2,0
51351,1,1,1,1,1,1,12,2,40,2,,23000,2,0
51444,3,1,1,2,2,2,8,7,40,2,,4590,2,0
51444,4,1,1,2,2,2,8,7,40,2,,3500,2,0
52478,2,1,1,1,1,2,1,8,40,2,,1800,2,0
52700,2,1,1,2,2,1,12,1,30,2,,6000,2,0
52718,2,1,1,2,1,1,12,1,30,2,,7000,2,0
53008,1,1,1,1,1,1,12,7,40,1,2,32000,2,0
53008,3,1,1,1,1,1,12,5,40,2,,15000,2,0
53086,1,1,1,1,1,1,12,8,47,1,12,24000,2,0
53108,2,2,1,1,1,2,10,4,30,2,,19000,2,0
53234,3,1,1,2,1,3,,4,22,2,,5000,2,0
53380,2,1,1,1,1,1,12,2,40,2,,15600,2,0
53549,3,1,1,1,2,1,12,8,40,2,,18000,2,0
53552,1,1,1,1,1,1,12,1,40,2,,16000,2,0
53552,2,1,1,1,1,1,12,6,20,2,,10000,2,0
53564,3,1,1,1,1,1,12,1,40,2,,16000,2,0
53596,1,1,1,1,2,1,12,3,40,2,,14000,2,0
53596,3,1,1,1,2,2,6,1,40,2,,7000,2,0
53596,3,1,1,1,2,2,6,3,40,2,,7000,2,0
53666,2,1,1,1,1,3,,5,10,2,,,2,0
53871,1,1,1,2,1,1,12,8,27,2,,11000,2,0
54279,1,1,1,1,1,1,12,8,18,2,,20000,1,1000
55094,2,1,1,1,1,1,12,8,36,1,1,18500,1,600
55636,1,1,1,1,1,1,12,8,36,2,,20000,2,0
55636,2,2,1,1,1,1,12,8,22,2,,26000,2,0
55774,2,1,1,1,1,1,12,2,40,2,,15000,2,0
55799,2,1,1,1,1,1,12,8,36,1,2,15000,2,0
56251,2,1,1,1,1,1,12,3,35,2,,11000,2,0
56529,3,3,1,1,2,1,12,2,36,2,,15600,2,0
56563,3,1,1,2,2,3,,1,50,2,,5000,2,0
56582,1,1,1,1,1,1,12,6,40,1,1,16800,1,1000
56603,2,1,1,1,1,1,12,2,42,2,,14000,2,0
56603,3,1,1,1,1,1,12,2,42,2,,15000,2,0
56721,1,1,1,2,1,2,10,2,36,1,1,11000,2,0
56761,1,1,1,1,1,1,12,8,30,1,4,18000,2,0
57027,2,1,1,2,2,1,12,8,20,2,,9700,2,0
57043,2,1,1,1,1,1,12,2,40,2,,15600,2,0
57086,1,1,1,1,1,1,12,8,36,2,,31000,1,300
57546,1,1,1,1,1,1,12,8,36,2,,18000,2,0
57546,2,1,1,2,1,1,12,2,20,2,,10000,2,0
57609,3,1,1,1,1,1,12,6,40,2,,16000,2,0
57621,1,1,1,2,1,1,12,7,42,2,,30000,2,0
57670,1,1,1,1,1,1,12,7,40,2,,19500,2,0
57911,1,1,1,2,1,1,12,2,25,2,,14180,1,1000
57911,2,1,1,1,1,1,12,6,40,2,,31800,2,0
57962,2,2,1,1,1,1,12,8,38,1,2,21000,1,910
57962,3,1,1,1,1,1,12,7,36,2,,13500,2,0
58053,1,1,1,1,1,1,12,2,40,2,,21000,2,0
91067,1,1,1,1,1,1,12,5,40,2,,18000,2,0
91071,1,1,1,2,1,1,12,7,30,2,,18000,2,0
91071,2,2,1,1,1,1,12,5,44,1,4,21000,1,1340
91074,1,1,1,1,1,2,11,5,38,2,,19000,2,0
91079,1,1,1,1,1,1,12,6,36,2,,15000,2,0
91081,2,1,1,2,1,1,12,2,30,2,,14000,2,0
91095,1,1,1,1,1,1,12,7,40,2,,27000,2,0
104002,1,1,1,1,1,1,12,8,45,1,10,18500,1,300
111052,3,1,1,1,2,2,8,2,42,2,,9450,2,0
230039,1,1,1,1,2,1,12,5,36,2,,10000,2,0
230039,2,1,1,2,2,1,12,5,20,2,,6500,2,0
256015,2,1,1,1,1,1,12,2,40,2,,18500,2,0
350068,1,1,1,1,1,1,12,7,40,1,5,18500,2,0
389045,2,2,1,1,1,1,12,1,48,2,,15000,2,0
389084,2,1,1,1,1,1,12,4,45,2,,19000,2,0
500026,2,1,1,1,1,1,12,5,48,1,5,23100,2,0
500586,3,1,1,1,1,1,12,6,40,2,,16900,2,0
500669,2,1,1,2,1,1,12,1,20,2,,8000,2,0
500726,1,1,1,1,1,1,12,8,40,2,,24000,2,0
500726,2,1,1,1,1,1,12,4,40,2,,22000,2,0
501569,2,1,1,1,1,1,12,4,40,2,,18000,2,0
501569,3,1,1,1,1,1,12,4,40,2,,18000,2,0
501664,1,1,1,1,1,1,12,6,60,2,,26000,2,0
501816,2,1,1,1,1,1,12,7,40,2,,11700,2,0
501816,3,3,1,2,1,1,12,1,20,2,,4000,2,0
502355,2,2,1,1,1,1,12,5,40,2,,18200,2,0
502355,3,3,1,1,1,1,12,7,38,2,,21000,1,1500
503308,2,1,1,1,1,1,12,7,25,1,0,10000,2,0
503560,2,2,1,1,1,1,12,3,38,2,,15000,2,0
503593,1,1,1,1,1,1,12,8,36,2,,22000,2,0
503674,2,1,1,1,1,1,12,5,27,2,,22000,2,0
503674,3,1,1,1,1,2,9,6,36,2,,10800,2,0
503850,2,1,1,1,1,2,8,8,25,2,,16000,2,0
503950,1,1,1,2,1,2,10,2,15,2,,5600,2,0
503950,2,2,1,1,1,1,12,7,40,2,,25000,2,0
503950,3,1,1,1,2,2,6,7,40,2,,10400,2,0
504110,1,1,1,1,1,1,12,4,40,2,,15000,2,0
504129,1,1,1,2,1,1,12,1,20,2,,7800,2,0
504157,1,1,1,1,2,2,3,4,40,2,,4000,2,0
504395,1,1,1,1,1,1,12,3,36,2,,20000,2,0
504453,1,1,1,1,1,1,12,2,45,1,5,20000,2,0
504453,2,2,1,2,1,1,12,3,20,2,,16000,2,0
504453,3,2,1,2,1,2,3,3,20,1,3,2500,2,0
504483,2,1,1,2,1,1,12,4,20,2,,14000,2,0
