nquest,pubblico,conspub,mesiconspub,conspcome,vuoimpre,NOIMPRE1,NOIMPRE2,NOIMPRE3,NOIMPRE4,NOIMPRE5,NOIMPRE6,NOIMPRE7,NOIMPRE8,SIMPRE1,SIMPRE2,SIMPRE3,SIMPRE4,SIMPRE5,pubpriv,scelpub,motpa1,motpa2,motpa3,motpa4,motpa5,motpa6,motpa7,motpa8,lavpa,scelpriv,motpriv1,motpriv2,motpriv3,motpriv4,motpriv5,motpriv6,motpriv7,motpriv8,varred,varredb,motdim,varredf,varredfb,aspred,varreda,motaum,varredfa
686763,2,2,,,2,2,2,2,3,5,4,2,2,,,,,,,,,,,,,,,,2,1,,,,,,,,,3,15000,1,2,,1,,,
686806,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,1,,,
686810,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,2,,,
686831,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,2,,,
686863,1,1,5,1,,,,,,,,,,,,,,,2,2,4,4,4,5,4,4,5,5,,,,,,,,,,,2,,,2,,2,,,
686866,,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3000,1,4,,1,,,
686870,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,2,,,
686898,1,2,,,2,4,4,4,4,4,4,4,4,,,,,,2,2,4,4,4,4,4,4,4,4,,,,,,,,,,,2,,,2,,2,,,
686913,1,2,,,,,,,,,,,,,,,,,1,2,5,5,5,5,4,5,5,5,,,,,,,,,,,2,,,2,,2,,,
687007,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,1,,,
687018,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,1,,,
687022,1,1,6,2,2,3,5,4,5,4,4,5,5,,,,,,1,2,5,4,3,4,3,5,5,3,,,,,,,,,,,2,,,2,,1,,,
687030,1,2,,,,,,,,,,,,,,,,,2,2,5,5,5,5,5,5,5,5,,,,,,,,,,,2,,,2,,2,,,
687033,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,4,,,
687039,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,3,40,1,,,
687043,2,2,,,2,4,4,5,5,5,2,2,4,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,1,,,
687056,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,1,,,
687070,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,2,,,
687075,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,4,,,
687099,1,2,,,,,,,,,,,,,,,,,2,2,5,5,2,3,2,3,3,2,,,,,,,,,,,2,,,2,,2,,,
687112,2,2,,,2,3,3,2,2,3,3,3,3,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,2,,,
687148,2,2,,,2,4,4,3,3,3,4,4,5,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,2,,,
687157,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,1,,,
687164,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,1,,,
687165,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,1,,,
687168,,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,1,,,
687174,2,2,,,2,4,4,2,2,2,2,2,4,,,,,,,,,,,,,,,,2,2,4,4,4,3,4,4,3,3,2,,,2,,1,,,
687248,2,2,,,2,5,5,3,4,5,5,2,2,,,,,,,,,,,,,,,,2,1,,,,,,,,,3,7000,8,2,,1,,,
687250,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,5,1,1,5,5,5,2,,,2,,1,,,
687281,,2,,,,,,,,,,,,1,5,4,4,2,,,,,,,,,,,,,,,,,,,,,3,10000,1,1,,1,,,30
687287,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1000,1,3,30,1,,,
687291,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1000,7,3,20,2,,,
687304,1,1,4,2,2,5,5,4,5,5,3,3,3,,,,,,2,2,5,4,5,5,4,4,5,5,,,,,,,,,,,2,,,2,,2,,,
687321,,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,1,,,
687322,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,1,,,
687328,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,1,,,
687361,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,1,,,
687404,1,1,4,2,,,,,,,,,,,,,,,1,2,5,2,2,4,4,5,5,4,,,,,,,,,,,2,,,2,,1,,,
687462,,1,5,1,,,,,,,,,,3,4,5,5,2,,,,,,,,,,,,,,,,,,,,,3,12000,1,3,20,1,,,
687497,2,2,,,2,3,4,4,4,4,4,3,4,,,,,,,,,,,,,,,,2,2,4,4,4,4,3,3,4,5,2,,,2,,2,,,
687508,1,1,6,3,2,2,4,1,4,3,3,4,4,,,,,,1,2,4,4,3,3,4,4,4,4,,,,,,,,,,,2,,,2,,1,,,
687564,2,2,,,2,1,5,4,5,5,5,2,5,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,1,,,
687569,2,2,,,2,5,5,3,4,2,2,5,2,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,2,,,
687576,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,2,,,
687685,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,1,,,
687699,1,1,8,2,1,,,,,,,,,4,3,3,4,2,1,1,,,,,,,,,,,,,,,,,,,2,,,2,,1,,,
687845,1,2,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,2,,,2,,2,,,
687849,2,2,,,2,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,2,,,
687878,,1,5,3,2,1,4,3,1,5,5,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,2,,5,,,
687883,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,4,,4,,,
687892,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,2,,,
687915,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,2,,,
687916,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,2,,,
687934,2,2,,,2,3,5,5,2,5,5,1,5,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,2,,,
687938,2,2,,,1,,,,,,,,,1,5,5,5,5,,,,,,,,,,,2,1,,,,,,,,,3,8000,1,2,,4,,,
687953,,2,,,,,,,,,,,,5,5,5,5,2,,,,,,,,,,,,,,,,,,,,,2,,,2,,2,,,
687961,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,4,3,4,3,3,3,3,3,2,,,2,,1,,,
687971,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,1,,,
687986,2,2,,,1,,,,,,,,,5,4,3,4,5,,,,,,,,,,,2,1,,,,,,,,,1,,,2,,1,2500,1,
687987,2,2,,,1,,,,,,,,,5,4,4,4,4,,,,,,,,,,,2,1,,,,,,,,,1,,,2,,2,2000,7,
687988,2,2,,,1,,,,,,,,,4,5,3,4,5,,,,,,,,,,,2,1,,,,,,,,,3,4000,1,1,,1,,,30
687990,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,2,,,
687993,2,2,,,2,1,5,1,5,5,5,1,4,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,1,,,
688009,2,2,,,2,4,5,4,1,5,5,2,5,,,,,,,,,,,,,,,,2,1,,,,,,,,,3,7000,1,1,,1,,,50
688111,2,2,,,2,4,5,1,1,3,4,1,5,,,,,,,,,,,,,,,,2,2,3,2,3,1,4,3,4,5,2,,,2,,1,,,
688123,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,2,,,
688128,1,2,,,2,4,4,4,4,4,4,4,4,,,,,,2,2,4,4,4,4,4,4,4,4,,,,,,,,,,,2,,,2,,2,,,
688139,,2,,,2,1,5,3,1,5,5,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,3,10000,1,2,,2,,,
688142,1,2,,,2,5,5,4,4,5,5,2,3,,,,,,1,2,4,4,2,5,2,5,2,4,,,,,,,,,,,2,,,2,,2,,,
688149,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,1,,,
688157,2,2,,,1,,,,,,,,,4,5,4,4,5,,,,,,,,,,,2,1,,,,,,,,,2,,,3,25,2,,,
688159,2,2,,,1,,,,,,,,,2,4,4,4,5,,,,,,,,,,,2,1,,,,,,,,,3,6000,1,2,,1,,,
688172,1,1,12,1,,,,,,,,,,,,,,,2,2,3,3,3,3,2,2,2,2,,,,,,,,,,,2,,,2,,2,,,
688194,1,1,3,1,,,,,,,,,,,,,,,2,2,1,1,1,1,1,1,1,1,,,,,,,,,,,2,,,2,,2,,,
688210,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,2,,,
688226,2,2,,,2,3,2,2,2,3,3,3,3,,,,,,,,,,,,,,,,2,1,,,,,,,,,3,7000,1,2,,3,,,
688228,,2,,,,,,,,,,,,2,4,4,4,4,,,,,,,,,,,,,,,,,,,,,3,2000,2,3,50,1,,,
688231,2,2,,,1,,,,,,,,,3,4,3,4,4,,,,,,,,,,,2,2,4,4,4,3,4,3,4,4,3,8000,1,4,,1,,,
688250,2,2,,,2,1,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,2,1,,,,,,,,,3,20000,1,2,,1,,,
688264,,2,,,,,,,,,,,,5,4,3,4,4,,,,,,,,,,,,,,,,,,,,,2,,,3,5,1,,,
688276,2,2,,,2,3,4,5,5,5,5,5,5,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,2,,,
688277,,2,,,,,,,,,,,,5,1,1,1,1,,,,,,,,,,,,,,,,,,,,,2,,,2,,1,,,
688287,2,1,3,2,1,,,,,,,,,4,4,4,4,4,,,,,,,,,,,2,2,4,4,4,4,4,4,4,4,2,,,2,,3,,,
688296,,2,,,2,5,5,5,5,5,5,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,3,20000,2,3,20,1,,,
688323,2,2,,,2,4,4,2,2,3,3,3,3,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,2,,,
688338,2,2,,,2,4,5,4,5,5,5,5,5,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,2,,,
700037,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,2,,,
700073,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,200,5,3,30,1,,,
700235,2,2,,,2,2,2,2,3,2,3,3,3,,,,,,,,,,,,,,,,2,2,4,3,4,3,2,3,2,3,3,8000,1,3,70,3,,,
700410,,2,,,,,,,,,,,,2,4,3,3,2,,,,,,,,,,,,,,,,,,,,,2,,,2,,2,,,
700624,2,2,,,2,2,5,4,4,5,5,3,3,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,1,,,
700729,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,1,,,
700730,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,1,,,
700740,2,2,,,2,2,5,4,2,5,5,1,4,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,1,,,
700752,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,1,,,
700818,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,4,,4,,,
700950,1,1,1,2,,,,,,,,,,,,,,,1,2,5,3,2,3,1,3,2,3,,,,,,,,,,,2,,,2,,2,,,
701002,1,1,6,1,,,,,,,,,,,,,,,2,2,5,4,3,4,4,5,5,3,,,,,,,,,,,2,,,2,,2,,,
701229,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,1,,,
701240,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3000,1,2,,1,,,
701531,,1,1,1,1,,,,,,,,,4,4,4,3,4,,,,,,,,,,,,,,,,,,,,,2,,,2,,1,,,
701536,,2,,,,,,,,,,,,1,1,4,2,1,,,,,,,,,,,,,,,,,,,,,2,,,2,,1,,,
701579,1,2,,,,,,,,,,,,,,,,,2,2,5,3,4,4,4,4,3,3,,,,,,,,,,,2,,,2,,1,,,
701638,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,1,,,
701647,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,4,4,4,4,4,4,3,3,2,,,3,20,1,,,
701800,,2,,,,,,,,,,,,5,2,2,2,2,,,,,,,,,,,,,,,,,,,,,2,,,2,,2,,,
702643,1,2,,,2,3,4,4,4,4,4,4,4,,,,,,1,1,,,,,,,,,,,,,,,,,,,2,,,2,,2,,,
703258,1,1,1,2,,,,,,,,,,,,,,,1,2,4,4,4,4,4,4,4,4,,,,,,,,,,,2,,,2,,1,,,
703808,1,1,6,2,,,,,,,,,,,,,,,2,2,4,1,1,5,1,5,5,1,,,,,,,,,,,3,5000,1,2,,2,,,
703830,1,2,,,,,,,,,,,,,,,,,2,2,5,2,2,4,2,2,4,4,,,,,,,,,,,2,,,3,10,1,,,
703837,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,1,,,
704118,2,2,,,2,2,4,3,3,3,3,4,4,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,1,,,
704160,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,1,,,
704305,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,2,2,3,3,1,2,1,2,,,2,,2,,,
704372,1,1,6,2,2,4,3,4,4,4,3,3,3,,,,,,2,2,4,4,4,4,4,3,3,4,,,,,,,,,,,2,,,2,,2,,,
704702,2,2,,,2,1,4,4,4,5,5,3,5,,,,,,,,,,,,,,,,1,1,,,,,,,,,3,55,7,2,,4,,,
704752,2,2,,,2,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,1,2,5,5,5,5,5,5,5,5,2,,,2,,2,,,
704766,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,3,1,2,,,
704832,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,2,,,
704836,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,1,,,
704911,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,3,30,1,,,
705115,2,2,,,2,4,5,3,2,3,4,5,5,,,,,,,,,,,,,,,,2,2,5,5,4,5,4,4,5,5,2,,,2,,2,,,
705116,2,2,,,2,4,4,5,4,4,4,4,4,,,,,,,,,,,,,,,,2,2,4,5,4,5,5,4,5,4,2,,,2,,2,,,
705124,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,1,,,
705215,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,2,,,
705244,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,2,,,
705513,2,2,,,2,5,5,5,5,5,5,2,5,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,1,,,
705637,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,2,,,
706104,1,2,,,,,,,,,,,,,,,,,2,2,2,3,3,3,3,3,3,3,,,,,,,,,,,2,,,3,30,2,,,
706224,2,2,,,2,4,5,3,5,5,5,1,4,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,4,,1,,,
706234,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,2,,,
706258,1,2,,,,,,,,,,,,,,,,,2,2,3,3,2,2,3,3,3,3,,,,,,,,,,,2,,,1,,2,,,10
706329,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,2,,,
706407,2,2,,,2,5,5,1,4,5,5,3,2,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,1,,,
706422,1,2,,,,,,,,,,,,,,,,,1,2,5,5,3,3,2,5,3,3,,,,,,,,,,,2,,,2,,1,,,
706436,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8000,2,1,,1,,,10
706448,1,1,7,1,,,,,,,,,,,,,,,2,2,5,4,4,3,1,5,5,5,,,,,,,,,,,2,,,2,,2,,,
706628,,2,,,,,,,,,,,,2,4,4,3,2,,,,,,,,,,,,,,,,,,,,,3,3000,2,3,10,3,,,
706629,2,2,,,2,4,4,4,3,4,4,3,2,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,2,,,
706634,2,2,,,2,4,4,3,4,4,4,2,4,,,,,,,,,,,,,,,,2,2,4,4,4,4,4,3,2,4,2,,,2,,2,,,
706649,,2,,,,,,,,,,,,4,4,4,3,4,,,,,,,,,,,,,,,,,,,,,2,,,2,,1,,,
706727,,2,,,2,5,1,1,1,4,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,2,,,
706822,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,800,7,3,5,1,,,
706900,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,2,,,
706921,2,2,,,2,4,5,4,5,5,4,5,4,,,,,,,,,,,,,,,,2,2,4,4,3,4,5,4,3,4,2,,,2,,2,,,
707104,1,2,,,,,,,,,,,,,,,,,2,2,4,4,4,4,4,4,4,3,,,,,,,,,,,2,,,2,,1,,,
707130,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,3,3,2,3,2,2,,,2,,1,,,
707253,1,1,24,2,,,,,,,,,,,,,,,2,2,4,4,4,4,4,4,4,4,,,,,,,,,,,3,1400,8,1,,2,,,4
707307,1,1,3,2,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,2,,,2,,1,,,
707312,1,1,3,2,2,5,5,3,4,3,3,5,3,,,,,,2,2,5,5,4,5,4,5,5,3,,,,,,,,,,,3,12000,1,3,30,1,,,
707344,2,2,,,1,,,,,,,,,2,5,5,5,4,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,2,,,
707509,1,1,3,1,,,,,,,,,,,,,,,2,2,4,4,3,4,4,4,4,3,,,,,,,,,,,2,,,2,,2,,,
707523,1,2,,,,,,,,,,,,,,,,,2,2,4,4,4,3,4,5,3,3,,,,,,,,,,,2,,,2,,2,,,
707541,2,2,,,2,3,5,3,2,5,3,3,3,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,2,,,
707857,1,1,6,2,,,,,,,,,,,,,,,2,2,5,5,4,5,5,5,5,4,,,,,,,,,,,2,,,2,,1,,,
707963,,2,,,2,5,4,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,2,,,
708219,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,1,,,
708747,2,2,,,2,1,5,5,3,5,5,3,5,,,,,,,,,,,,,,,,2,1,,,,,,,,,5,,,3,90,1,,,
709002,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5000,1,3,40,1,,,
709420,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,4,4,4,4,4,4,4,4,2,,,2,,2,,,
709421,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,4,4,4,4,4,4,4,4,2,,,2,,1,,,
709423,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,4,4,4,4,4,4,4,4,2,,,2,,1,,,
709438,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,4,4,4,4,4,4,4,4,2,,,2,,1,,,
709460,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,4,4,4,4,4,4,4,4,2,,,2,,2,,,
709470,2,2,,,2,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,2,2,3,4,4,4,4,4,4,4,2,,,1,,2,,,30
709803,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,2,,,
710165,,2,,,,,,,,,,,,4,3,1,2,3,,,,,,,,,,,,,,,,,,,,,2,,,2,,1,,,
710170,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,,,2,,1,,,
710415,2,2,,,2,3,4,3,2,3,3,3,3,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,2,,,
710440,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,2,,,
710507,1,2,,,2,3,4,3,4,3,3,2,2,,,,,,1,2,4,3,2,4,4,3,3,3,,,,,,,,,,,2,,,2,,2,,,
710556,2,1,2,1,2,4,4,3,4,3,3,3,3,,,,,,,,,,,,,,,,2,2,3,3,3,3,4,2,3,3,2,,,2,,1,,,
710606,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,1,,,
710905,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,5,,,
711014,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,2,,,
711022,2,2,,,2,3,5,3,4,4,3,3,3,,,,,,,,,,,,,,,,2,2,4,4,4,3,3,3,3,3,2,,,2,,2,,,
711153,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,1,,,
711312,2,2,,,2,4,4,4,4,2,2,2,2,,,,,,,,,,,,,,,,2,2,3,4,4,3,3,4,5,4,2,,,2,,1,,,
711467,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,2,,,
711611,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,1,,,
711645,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,5,5,3,3,4,3,4,4,2,,,2,,1,,,
711660,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,1,,,
712022,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,2,,,
712141,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,4,4,2,4,4,2,2,2,2,,,2,,2,,,
712148,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,3,3,2,3,3,2,2,2,,,2,,2,,,
712219,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,1,,,
712236,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,2,,,
712244,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,1,,,
712610,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,1,,,
712723,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,1,,,
712823,2,2,,,2,4,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,2,,,
712869,2,2,,,2,3,2,1,3,1,4,3,2,,,,,,,,,,,,,,,,2,1,,,,,,,,,3,500,1,2,,1,,,
712878,,2,,,2,5,4,1,4,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,2,,,
712910,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,1,,,
713044,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,1,,,
713134,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,2,,,2,,1,,,
713247,1,2,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,2,,,2,,1,,,
713303,1,1,3,1,2,3,2,2,4,3,2,2,3,,,,,,2,2,5,4,3,4,4,3,3,4,,,,,,,,,,,2,,,2,,1,,,
713319,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3000,1,1,,2,,,30
713328,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,4,,5,,,
713359,2,2,,,1,,,,,,,,,1,4,4,3,5,,,,,,,,,,,2,1,,,,,,,,,3,5000,1,2,,1,,,
713400,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,2,,,
713700,1,1,12,2,2,5,5,3,4,1,1,5,2,,,,,,1,2,5,3,1,4,1,3,5,2,,,,,,,,,,,2,,,2,,2,,,
713802,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,2,,,
713811,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,2,,,
713837,1,1,5,2,2,5,1,2,3,3,3,3,3,,,,,,2,2,4,4,5,5,4,5,5,5,,,,,,,,,,,3,3000,1,1,,2,,,10
713844,1,1,12,2,,,,,,,,,,,,,,,2,2,4,5,4,4,1,5,5,4,,,,,,,,,,,2,,,2,,2,,,
713851,2,2,,,2,3,4,4,4,5,5,4,3,,,,,,,,,,,,,,,,2,2,3,3,3,5,4,2,3,3,2,,,2,,4,,,
713854,,1,6,2,,,,,,,,,,1,4,3,4,1,,,,,,,,,,,,,,,,,,,,,3,20000,2,4,,4,,,
713873,1,1,4,2,2,5,5,5,4,3,3,3,1,,,,,,1,2,5,5,4,5,5,5,5,5,,,,,,,,,,,2,,,2,,4,,,
714021,2,2,,,2,3,5,3,4,4,4,3,3,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,1,,2,,,50
714029,2,2,,,2,4,5,5,5,5,5,1,5,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,4,,2,,,
714238,,2,,,2,4,4,3,3,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,2,,,
714416,2,2,,,2,3,4,3,2,5,5,1,3,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,2,,,
714430,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,2,,,
714437,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,2,,,
714538,2,2,,,2,4,5,5,5,5,4,4,1,,,,,,,,,,,,,,,,2,2,4,4,3,4,4,3,4,4,2,,,1,,2,,,2
714622,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,1,,,
