nquest,pubblico,conspub,mesiconspub,conspcome,vuoimpre,NOIMPRE1,NOIMPRE2,NOIMPRE3,NOIMPRE4,NOIMPRE5,NOIMPRE6,NOIMPRE7,NOIMPRE8,SIMPRE1,SIMPRE2,SIMPRE3,SIMPRE4,SIMPRE5,pubpriv,scelpub,motpa1,motpa2,motpa3,motpa4,motpa5,motpa6,motpa7,motpa8,lavpa,scelpriv,motpriv1,motpriv2,motpriv3,motpriv4,motpriv5,motpriv6,motpriv7,motpriv8,varred,varredb,motdim,varredf,varredfb,aspred,varreda,motaum,varredfa
26349,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,2,,,
27109,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,2,,,
27114,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,2,,,
27116,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,3,2000,7,2,,2,,,
27123,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,2,,,
27157,,2,,,,,,,,,,,,2,4,3,2,5,,,,,,,,,,,,,,,,,,,,,2,,,2,,1,,,
27238,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,4,2,2,2,3,3,3,2,,,3,10,1,,,
27509,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,4,,,
27730,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,1,,,
27734,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,1,,,
27739,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,1,,,
27742,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,1,,,
27912,1,1,4,1,,,,,,,,,,,,,,,2,2,5,4,3,4,5,4,4,4,,,,,,,,,,,3,3000,1,1,,2,,,30
27923,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,2,,,
27947,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,2,,,
28100,1,2,,,2,4,4,4,4,4,4,4,4,,,,,,2,2,4,4,4,4,4,4,4,4,,,,,,,,,,,2,,,2,,2,,,
28362,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,5,5,5,5,5,5,5,5,2,,,2,,2,,,
28441,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,2,,,
28802,,2,,,,,,,,,,,,1,3,3,3,3,,,,,,,,,,,,,,,,,,,,,2,,,2,,2,,,
28859,1,2,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,2,,,2,,2,,,
28992,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,2,4,4,4,3,5,4,2,,,2,,1,,,
29006,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,4,5,4,4,1,4,4,1,3,800,7,2,,1,,,
29140,1,2,,,,,,,,,,,,,,,,,2,2,4,4,3,4,3,4,2,3,,,,,,,,,,,2,,,2,,1,,,
29678,1,1,0,1,,,,,,,,,,,,,,,2,2,5,4,4,4,3,4,3,3,,,,,,,,,,,2,,,2,,2,,,
29680,2,2,,,1,,,,,,,,,2,4,4,4,4,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,2,,,
