nquest,anabit,godabit,unipro,anposs,poss,impacq,tfitto,tipoaff,dfittom,propriet,tfitimp,ritaff,supab,ancostr,bagni,valabit,antic,anticipi,fittonop,tfittonop,tfittom,pro1,pro2,pro3,pro4,pro5,pro6,pro7,pro8,pro9,altrab,naltrab,altrfab,naltrfab,teragr,nteragr,ternagr,nternagr,manstra,tmanstra,manstr2,tmanstr2,debita1,ndebita1,debita2,ndebita2,debitc,ndebitc,debitd,ndebitd,debite,ndebite,debitf,chifinmut,chifincons,ritardo,mutuor,fmutrif,mutuoe,mutuor3,mutuoric,mutuoric3,varric,varricb,motvarricb,varricf,varricfb,eredona,erequant,eredonc,intpersezd,docsezd,mutuorif,reapmut,varrica,motvarrica,varricfa,ndebitf,debitg,ndebitg,credit,tcredit,debit,tdebit,mutuoe3,tipota1,tipota2,tipota3,tipota4,tipota5,tipota6,tipota7,tipota8,era1,era2,era3,era4,era5,era6,era7,era8,dagena1,dagena2,dagena3,dagena4,dagena5,dagena6,dagena7,dagena8,annota1,annota2,annota3,annota4,annota5,annota6,annota7,annota8,valta1,valta2,valta3,valta4,valta5,valta6,valta7,valta8,VARVALABIT,QUOPRO
11972,1980,1,1,1980,1,180000,,,,,600,,90,1969,1,280000,2,,,,,1,1,,,,,,,,2,,2,,2,,2,,2,,,,2,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100
20297,1964,2,,,,,380,4,1,4,,2,83,1960,1,90000,2,,,,700,,,,,,,,,,1,1,2,,2,,2,,2,,2,,,,1,1,2,,2,,2,,2,4,,2,2,,,2,2,2,2,,,2,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
20711,1944,4,,,,,,,,2,300,,80,1944,1,100000,2,,,,,,,,,,,,,,2,,2,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,4,,1,1,2,1,2,,,,,,,2,,2,,2,,,4,,,,,,,,1,,,,,,,,1,,,,,,,,1978,,,,,,,,10000,,,,,,,,3,
20837,1963,1,1,1963,1,1400,,,,,600,,90,1963,1,200000,2,,,,,1,1,,,,,,,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,1,2,2,1,2,,,,,,,2,,2,,2,,,2,2,,,,,,,1,1,,,,,,,1,1,,,,,,,1993,1993,,,,,,,80000,60000,,,,,,,2,100
21384,1981,1,1,2000,5,26000,,,,,400,,100,1978,1,150000,2,,,,,1,1,0,0,,,,,,2,,1,1,2,,2,,1,20000,2,,2,,2,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100
21461,1972,4,,,,,,,,2,500,,65,1962,1,150000,2,,,,,,,,,,,,,,2,,2,,2,,2,,2,,,,2,,,,2,,2,,2,,2,,,,2,,,2,2,2,4,,,4,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
22099,1982,1,1,1982,4,,,,,,600,,100,1965,2,350000,2,,,,,1,1,,,,,,,,2,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,2,,,2,1,,2,,,2,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100
22169,1994,2,,,,,400,4,1,4,,1,40,1980,1,120000,2,,,,500,,,,,,,,,,2,,2,,2,,2,,2,,,,,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,2,1,2,,,,,,,2,,2,,1,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
22173,1971,2,,,,,700,1,1,4,,2,85,1950,1,500000,2,,,,1200,,,,,,,,,,2,,2,,2,,2,,2,,,,,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
22208,1978,1,2,1978,2,10000,,,,,500,,107,1975,2,200000,2,,2,,,1,,,,,,,,,2,,2,,2,,2,,2,,,,2,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,50
22276,1949,1,1,2000,4,,,,,,250,,60,1900,1,50000,2,,,,,1,1,,,,,,,,2,,2,,2,,2,,1,13000,,,2,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,1,1,2,1,2,,,,,,,2,,2,,2,,,2,,,,,,,,1,,,,,,,,1,,,,,,,,2000,,,,,,,,60000,,,,,,,,2,100
22277,1986,1,1,2014,5,150000,,,,,300,,110,1982,1,170000,2,,,,,1,1,0,,,,,,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,1,,1,2,2,1,2,,,,,50,,2,,2,,2,,,2,2,,,,,,,1,1,,,,,,,1,1,,,,,,,2014,2014,,,,,,,60000,200000,,,,,,,2,100
22286,1990,1,1,1990,6,,,,,,600,,600,1990,2,250000,2,,,,,1,1,,,,,,,,2,,2,,2,,2,,2,,,,2,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,1,1,2,1,2,,,,,,,2,,2,,2,,,2,,,,,,,,2,,,,,,,,1,,,,,,,,1990,,,,,,,,150000,,,,,,,,2,100
22292,1962,1,1,2010,3,200000,,,,,400,,120,1900,2,180000,2,,,,,1,1,,,,,,,,1,2,2,,2,,2,,2,,1,3000,2,,2,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,1,1,2,1,2,,,,,,,2,,2,,2,,,2,,,,,,,,1,,,,,,,,1,,,,,,,,1990,,,,,,,,100000,,,,,,,,3,100
22624,2010,1,1,2010,4,,,,,,500,,85,2010,1,370000,2,,,,,0,1,0,0,0,,,,,2,,2,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,2,,,2,2,2,4,,,1,,1,1,2,2,2,,,,,10,,2,,2,,1,6000,,2,,,,,,,,1,,,,,,,,1,,,,,,,,2010,,,,,,,,450000,,,,,,,,1,100
22657,2001,1,1,2001,1,360000,,,,,1500,,250,1994,2,600000,2,,,,,1,0,,,,,,,,2,,2,,2,,2,,1,3000,,,2,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,1,1,2,1,2,,,,,,,2,,2,,2,,,2,,,,,,,,1,,,,,,,,1,,,,,,,,2014,,,,,,,,20000,,,,,,,,2,100
22996,1934,1,1,1982,4,,,,,,430,,155,1850,1,140000,2,,,,,1,0,,,,,,,,2,,2,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,2,,,2,2,2,3,5,1,2,,1,2,2,1,1,,,,,,,2,,2,,2,,,2,2,,,,,,,1,1,,,,,,,1,1,,,,,,,1981,1981,,,,,,,75000,5000,,,,,,,2,100
23370,1996,2,,,,,220,6,1,7,,2,84,1975,1,90000,2,,,,400,,,,,,,,,,2,,2,,2,,2,,1,6000,,,,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
23490,1958,4,,,,,,,,3,300,,95,1957,1,150000,2,,,,,,,,,,,,,,2,,2,,2,,2,,2,,,,2,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,2,1,1,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
23797,1984,5,,,,,,,,4,500,,60,1938,1,300000,2,,,,,,,,,,,,,,2,,2,,2,,2,,2,,,,2,,,,2,,2,,2,,2,,,,2,,,2,2,2,1,,,1,,2,,2,1,2,,,15,1,15,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
23821,1959,1,1,1959,1,20000,,,,,300,,70,1950,1,100000,2,,,,,1,0,,,,,,,,2,,2,,2,,2,,2,,,,2,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,100
23823,2010,1,1,2010,2,200000,,,,,600,,100,2009,2,225000,2,,,,,0,1,,,,,,,,2,,2,,2,,2,,2,,,,1,1,,,2,,2,,2,,2,1,,2,2,,,2,2,2,2,,,2,,1,1,2,1,2,,,,,,,2,,2,,2,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,2010,,,,,,,,115000,,,,,,,,1,100
23865,1985,1,1,1980,2,45000,,,,,450,,110,1980,2,150000,2,,,,,1,0,,,,,,,,2,,2,,2,,2,,2,,,,2,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100
24147,1948,1,1,1948,4,,,,,,2400,,140,1920,2,2000000,2,,,,,1,0,,,,,,,,1,4,1,1,2,,2,,1,90000,2,,2,,2,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,3,10,2,,2,2,1,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100
24149,1983,2,,,,,120,6,1,7,,2,60,1975,1,140000,2,,,,400,,,,,,,,,,2,,2,,2,,2,,2,,,,,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
24194,1990,1,1,1990,3,25000,,,,,650,,110,1970,1,150000,2,,,,,1,1,0,0,,,,,,1,1,2,,2,,2,,2,,2,,2,,2,,1,2,2,,2,,2,,1,2,2,,,2,2,2,2,,,2,,1,1,1,1,2,,,,,,,2,,2,,2,,,2,,,,,,,,1,,,,,,,,1,,,,,,,,1972,,,,,,,,3000,,,,,,,,2,100
