nquest,anabit,godabit,unipro,anposs,poss,impacq,tfitto,tipoaff,dfittom,propriet,tfitimp,ritaff,supab,ancostr,bagni,valabit,antic,anticipi,fittonop,tfittonop,tfittom,pro1,pro2,pro3,pro4,pro5,pro6,pro7,pro8,pro9,altrab,naltrab,altrfab,naltrfab,teragr,nteragr,ternagr,nternagr,manstra,tmanstra,manstr2,tmanstr2,debita1,ndebita1,debita2,ndebita2,debitc,ndebitc,debitd,ndebitd,debite,ndebite,debitf,chifinmut,chifincons,ritardo,mutuor,fmutrif,mutuoe,mutuor3,mutuoric,mutuoric3,varric,varricb,motvarricb,varricf,varricfb,eredona,erequant,eredonc,intpersezd,docsezd,mutuorif,reapmut,varrica,motvarrica,varricfa,ndebitf,debitg,ndebitg,credit,tcredit,debit,tdebit,mutuoe3,tipota1,tipota2,tipota3,tipota4,tipota5,tipota6,tipota7,tipota8,era1,era2,era3,era4,era5,era6,era7,era8,dagena1,dagena2,dagena3,dagena4,dagena5,dagena6,dagena7,dagena8,annota1,annota2,annota3,annota4,annota5,annota6,annota7,annota8,valta1,valta2,valta3,valta4,valta5,valta6,valta7,valta8,VARVALABIT,QUOPRO
512211,1973,1,1,1973,4,,,,,,300,,70,1950,1,70000,2,,,,,1,0,,,,,,,,2,,2,,2,,2,,2,,,,2,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,1,1,2,1,2,,,,,,,2,,2,,2,,,2,,,,,,,,1,,,,,,,,1,,,,,,,,1973,,,,,,,,4000,,,,,,,,2,100
512368,1972,1,1,1972,6,,,,,,400,,97,1970,1,90000,2,,,,,1,0,0,0,,,,,,2,,2,,2,,2,,2,,,,2,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100
512372,1972,1,1,1972,6,,,,,,150,,40,1970,1,20000,2,,,,,1,0,,,,,,,,2,,2,,2,,2,,2,,,,2,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100
512406,1994,1,1,1994,6,,,,,,400,,120,1980,2,90000,2,,,,,1,0,0,,,,,,,2,,2,,2,,2,,2,,,,2,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100
512417,1962,3,1,1990,3,4000,,,,,250,,85,1960,1,50000,2,,,,,1,0,,,,,,,,2,,2,,2,,2,,2,,,,2,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,2,2,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100
512420,1982,1,1,1982,6,,,,,,600,,180,1975,2,400000,2,,,,,1,0,0,0,,,,,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,1,2,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100
512452,1993,5,,,,,,,,1,300,,70,1965,1,60000,2,,,,,,,,,,,,,,2,,2,,2,,2,,2,,,,2,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
512457,1984,1,1,1984,7,50000,,,,,400,,110,1984,2,140000,2,,,,,1,1,0,0,0,,,,,1,2,2,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100
512517,1990,1,1,2009,5,17000,,,,,500,,70,1940,2,120000,2,,,,,1,1,0,,,,,,,1,1,2,,2,,2,,2,,2,,1,1,2,,2,,1,1,2,,2,3,3,2,2,,,2,2,2,2,,,2,,2,,2,1,1,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100
512574,1973,1,1,1973,1,5000,,,,,300,,70,1950,1,90000,2,,,,,1,1,,,,,,,,2,,2,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,2,2,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100
512704,1995,1,1,1995,7,26000,,,,,450,,110,1995,2,180000,2,,,,,0,1,,,,,,,,1,2,2,,2,,2,,1,15000,1,6500,2,,2,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100
512768,1938,1,1,1968,6,,,,,,400,,90,1930,2,120000,2,,,,,1,,,,,,,,,2,,2,,2,,2,,2,,,,2,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,1,1,2,1,2,,,,,,,2,,2,,2,,,2,,,,,,,,2,,,,,,,,1,,,,,,,,1968,,,,,,,,5000,,,,,,,,2,100
512784,1996,1,1,1996,7,35000,,,,,500,,108,1996,2,180000,2,,,,,1,0,0,0,0,,,,,2,,2,,2,,2,,2,,,,1,1,,,1,1,2,,2,,2,4,1,2,2,,,2,2,2,2,,,2,,1,1,2,1,2,,,,,,,2,,2,,2,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1996,,,,,,,,10000,,,,,,,,2,100
512807,1975,2,,,,,60,6,1,8,,2,90,1975,1,50000,2,,,,300,,,,,,,,,,2,,2,,2,,2,,1,500,,,,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
512843,2002,1,1,2000,1,70000,,,,,400,,130,2000,2,150000,2,,,,,1,1,0,0,0,,,,,2,,2,,2,,2,,2,,,,2,,,,2,,2,,2,,2,,,,1,2,1,,,,2,,,2,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100
512845,1984,1,1,1978,7,50000,,,,,450,,130,1978,2,180000,2,,,,,1,1,0,,,,,,,2,,2,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,1,,1,2,2,,,2,2,2,2,,,2,,2,,2,1,2,,,,,,1,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100
512846,1939,1,1,1939,4,,,,,,600,,110,1930,2,125000,2,,,,,1,0,,,,,,,,2,,2,,2,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,,,2,,,2,2,2,3,20,1,3,20,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,100
512849,1990,1,1,1990,7,50000,,,,,300,,90,1990,1,120000,2,,,,,1,0,0,,,,,,,2,,2,,2,,2,,2,,,,2,,,,2,,1,1,2,,2,,1,2,1,2,1,,,,2,,,3,30,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100
512858,1981,5,,,,,,,,4,100,,60,1938,1,40000,2,,,,,,,,,,,,,,2,,2,,2,,2,,2,,,,2,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
512884,1994,2,,,,,90,6,1,7,,2,86,1989,2,95000,2,,,,200,,,,,,,,,,2,,2,,2,,2,,2,,,,,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
512887,2010,1,1,2010,4,,,,,,300,,120,2005,2,180000,2,,,,,1,1,0,0,,,,,,2,,2,,2,,2,,2,,,,2,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100
512892,1966,1,1,1966,4,,,,,,200,,80,1950,1,80000,2,,,,,1,,,,,,,,,2,,2,,2,,2,,2,,,,2,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100
512897,1981,1,1,1981,4,,,,,,350,,137,1970,2,100000,2,,,,,1,0,,,,,,,,2,,2,,2,,2,,2,,,,2,,,,2,,2,,2,,2,,,,2,,,2,2,2,4,,,4,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100
512921,2000,1,1,1999,2,75000,,,,,600,,110,1999,2,270000,2,,,,,1,1,,,,,,,,2,,2,,2,,2,,1,10000,,,2,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,3,10,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,100
512941,2012,1,1,2014,6,,,,,,350,,80,1970,1,150000,2,,,,,1,0,0,0,,,,,,2,,2,,2,,2,,2,,,,2,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100
512963,1973,1,1,1973,2,7500,,,,,600,,105,1973,2,95000,2,,,,,1,0,,,,,,,,2,,2,,2,,2,,2,,,,2,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,1,2,2,1,1,,,,,,,2,,2,,2,,,1,2,,,,,,,1,1,,,,,,,1,1,,,,,,,1971,1971,,,,,,,15000,8000,,,,,,,2,100
513045,1997,1,1,1996,4,,,,,,500,,135,1890,2,140000,2,,,,,1,1,0,,,,,,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,100
513064,1994,1,1,1994,1,35000,,,,,500,,115,1967,1,190000,2,,,,,1,1,,,,,,,,2,,2,,2,,2,,2,,,,2,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100
513113,1989,1,1,1985,1,35000,,,,,400,,140,1915,2,250000,2,,,,,1,1,0,0,,,,,,1,1,2,,2,,2,,1,6000,2,,1,1,2,,2,,2,,2,,2,4,,2,2,,,1,2,2,2,,,1,,2,,1,1,1,,,,,20,,2,,2,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,100
513131,1977,1,1,1977,2,7000,,,,,1500,,100,1977,1,250000,2,,,,,1,1,,,,,,,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,1,1,2,1,2,,,,,,,2,,2,,2,,,2,,,,,,,,1,,,,,,,,1,,,,,,,,2000,,,,,,,,20000,,,,,,,,3,100
513140,1991,2,,,,,81,6,1,7,,2,39,1700,1,130000,2,,,,300,,,,,,,,,,2,,2,,2,,2,,2,,,,,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
513330,1969,1,1,1969,2,7000,,,,,500,,150,1963,1,160000,2,,,,,1,0,,,,,,,,2,,2,,2,,2,,2,,,,2,,,,2,,2,,2,,2,,,,2,,,2,2,2,3,90,4,3,20,1,1,2,1,2,,,,,,,2,,2,,2,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1990,,,,,,,,20000,,,,,,,,2,100
513335,1975,1,1,1971,7,4500,,,,,200,,95,1971,1,80000,2,,,,,1,0,0,,,,,,,1,2,2,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,1,1,2,1,2,,,,,,,2,,2,,2,,,4,,,,,,,,2,,,,,,,,1,,,,,,,,2000,,,,,,,,10000,,,,,,,,3,100
513369,1954,1,1,1960,4,,,,,,700,,140,1950,2,210000,2,,,,,1,0,,,,,,,,2,,2,,2,,2,,2,,,,2,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,1,1,2,1,2,,,,,,,2,,2,,2,,,2,,,,,,,,1,,,,,,,,1,,,,,,,,1965,,,,,,,,10000,,,,,,,,2,100
513377,1987,1,1,1987,4,,,,,,300,,85,1960,1,70000,2,,,,,1,1,,,,,,,,2,,2,,2,,2,,2,,,,2,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100
513384,1965,1,1,1987,6,,,,,,800,,160,1959,2,170000,2,,,,,1,0,,,,,,,,2,,2,,2,,2,,2,,,,2,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100
513386,1970,1,1,1972,1,4500,,,,,600,,100,1970,1,180000,2,,,,,1,,,,,,,,,2,,2,,2,,2,,2,,,,2,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100
513406,1982,1,1,2005,6,,,,,,600,,100,1981,2,250000,2,,,,,1,0,0,0,,,,,,2,,2,,2,,2,,1,3000,,,2,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,1,1,1,1,2,,,,,,,2,,2,,2,,,2,,,,,,,,2,,,,,,,,1,,,,,,,,2006,,,,,,,,150000,,,,,,,,2,100
513411,1983,1,1,1983,1,34000,,,,,900,,65,1800,1,160000,2,,,,,1,,,,,,,,,2,,2,,2,,2,,2,,,,2,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,3,20,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100
513427,1999,5,,,,,,,,1,500,,100,1950,2,110000,2,,,,,,,,,,,,,,2,,2,,2,,2,,2,,,,2,,,,2,,2,,2,,2,,,,2,,,2,2,2,3,5,1,2,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
513428,1995,1,1,1993,6,,,,,,350,,70,1972,1,120000,2,,,,,1,0,0,,,,,,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,1,2,1,1,2,,,,,,,2,,2,,2,,,2,2,,,,,,,2,2,,,,,,,1,1,,,,,,,1993,2004,,,,,,,70000,200000,,,,,,,2,100
513437,1997,1,1,1997,6,,,,,,600,,300,1977,2,300000,2,,,,,0,1,0,,,,,,,1,1,2,,1,1,2,,2,,1,10000,2,,1,1,2,,2,,2,,2,4,,2,2,,,2,2,2,2,,,2,,2,,2,2,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100
513449,2008,1,1,2007,7,95000,,,,,500,,155,2007,2,160000,2,,,,,1,1,0,0,,,,,,2,,2,,2,,2,,1,1500,,,1,1,,,1,1,2,,2,,2,4,2,2,2,,,2,2,2,2,,,2,,1,1,1,1,1,,,,,,,2,,2,,2,,,4,,,,,,,,2,,,,,,,,1,,,,,,,,2007,,,,,,,,20000,,,,,,,,2,100
610980,1967,1,1,1975,1,20000,,,,,500,,72,1960,1,145000,2,,,,,1,1,,,,,,,,1,1,2,,2,,2,,1,3000,2,,2,,2,,2,,2,,2,,2,,,,2,,,2,2,2,3,10,1,1,,1,1,2,1,2,,,,,5,,2,,2,,2,,,2,,,,,,,,1,,,,,,,,1,,,,,,,,1987,,,,,,,,10000,,,,,,,,2,100
611412,1994,1,2,2010,4,,,,,,1100,,120,1963,2,400000,2,,2,,,1,0,0,0,,,,,,1,1,1,1,2,,2,,2,,2,,2,,1,1,2,,2,,2,,2,4,,2,2,,,2,2,2,2,,,2,,1,2,2,1,2,,,,,,,2,,2,,2,,,2,2,,,,,,,1,2,,,,,,,1,1,,,,,,,2010,2005,,,,,,,50000,120000,,,,,,,2,13
611441,1991,1,1,1991,1,75000,,,,,800,,100,1960,1,150000,2,,,,,1,1,,,,,,,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100
611453,1984,1,1,1984,7,40000,,,,,900,,96,1984,2,280000,2,,,,,1,,,,,,,,,2,,2,,2,,2,,2,,,,2,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,1,1,2,1,2,,,,,,,2,,2,,2,,,2,,,,,,,,1,,,,,,,,1,,,,,,,,1994,,,,,,,,8000,,,,,,,,2,100
611512,1957,1,1,1975,4,,,,,,700,,80,1950,1,175000,2,,,,,0,1,,,,,,,,2,,2,,2,,2,,2,,,,2,,,,2,,2,,2,,2,,,,2,,,2,2,2,3,5,1,3,5,1,1,2,1,2,,,,,,,2,,2,,2,,,2,,,,,,,,2,,,,,,,,1,,,,,,,,1975,,,,,,,,9000,,,,,,,,3,100
611614,1989,1,1,1991,2,80000,,,,,700,,80,1962,1,200000,2,,,,,1,1,0,0,,,,,,2,,2,,2,,2,,2,,,,1,1,,,1,1,2,,2,,2,3,1,2,2,,,2,2,2,2,,,2,,2,,2,1,1,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100
611774,1994,1,1,1994,2,150000,,,,,900,,100,1900,2,300000,2,,,,,1,0,,,,,,,,1,2,2,,1,1,2,,2,,2,,2,,1,2,2,,2,,2,,2,4,,2,2,,,2,2,2,2,,,2,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,100
612011,1978,1,1,1998,1,60000,,,,,800,,70,1951,1,170000,2,,,,,1,0,,,,,,,,2,,2,,2,,2,,2,,,,2,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100
612269,1996,2,,,,,650,1,2,4,,2,70,1970,1,210000,2,,,,,,,,,,,,,,2,,2,,2,,2,,2,,,,,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,2,1,1,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
612423,1983,1,1,1983,1,120000,,,,,900,,90,1970,1,230000,2,,,,,1,1,,,,,,,,2,,2,,2,,2,,2,,,,2,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,2,1,1,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,100
613605,1978,2,,,,,324,2,2,6,,2,100,1970,1,60000,2,,,,,,,,,,,,,,2,,2,,2,,2,,2,,,,,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,3,30,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
613825,1957,1,1,1957,1,3000,,,,,600,,110,1957,2,150000,2,,,,,1,,,,,,,,,2,,2,,2,,2,,2,,,,2,,,,2,,2,,2,,2,,,,2,,,2,2,2,3,20,5,3,20,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100
614068,1962,2,,,,,60,6,1,7,,2,46,1955,1,50000,2,,,,200,,,,,,,,,,2,,2,,2,,2,,2,,,,,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
614094,1980,1,1,1979,7,18000,,,,,600,,100,1979,2,150000,2,,,,,1,0,,,,,,,,2,,2,,2,,2,,1,8000,,,2,,,,2,,2,,2,,2,,,,2,,,2,2,2,3,40,3,2,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,100
614660,1987,4,,,,,,,,9,300,,45,1980,1,100000,2,,,,,,,,,,,,,,2,,2,,2,,2,,1,2000,,,2,,,,2,,2,,2,,1,,2,2,1,2,1,,,,4,,,4,,2,,2,1,2,,,,,,1,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
614683,1987,1,1,1986,1,34000,,,,,500,,110,1930,2,230000,2,,,,,1,1,0,,,,,,,1,2,2,,2,,2,,2,,2,,1,1,2,,2,,2,,2,,2,4,,2,2,,,2,2,2,2,,,2,,1,2,2,1,2,,,,,,,2,,2,,2,,,2,2,,,,,,,1,1,,,,,,,1,1,,,,,,,1995,1988,,,,,,,70000,30000,,,,,,,4,100
614783,1971,1,1,1971,2,30000,,,,,1000,,140,1970,2,400000,2,,,,,1,,,,,,,,,2,,2,,2,,2,,2,,,,2,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100
615399,1967,1,1,2007,5,40000,,,,,900,,154,1949,2,350000,2,,,,,1,1,0,0,,,,,,2,,2,,2,,2,,2,,,,2,,,,1,1,2,,2,,2,,1,2,2,,,2,2,2,2,,,2,,2,,1,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100
615751,1960,1,1,1955,1,50000,,,,,2000,,150,1955,1,500000,2,,,,,1,,,,,,,,,1,1,2,,2,,2,,1,10000,2,,2,,2,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100
616016,1971,1,1,1970,2,120000,,,,,450,,100,1970,1,170000,2,,,,,1,1,,,,,,,,2,,2,,2,,2,,2,,,,2,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,100
616078,1995,1,1,1995,2,220000,,,,,500,,100,1994,1,250000,2,,,,,1,1,,,,,,,,2,,2,,2,,2,,2,,,,2,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,100
616313,1986,1,1,1985,6,,,,,,600,,125,1965,1,140000,2,,,,,1,0,0,,,,,,,1,3,1,3,2,,2,,1,700,1,500,2,,2,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,1,3,1,1,2,,,,,,,2,,2,,2,,,1,2,2,,,,,,1,1,2,,,,,,1,1,1,,,,,,1990,1985,1985,,,,,,60000,10000,30000,,,,,,2,100
617023,1994,1,1,1994,2,157000,,,,,1000,,180,1993,2,250000,2,,,,,1,1,,,,,,,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,1,2,1,1,2,,,,,,,2,,2,,2,,,2,2,,,,,,,2,1,,,,,,,1,1,,,,,,,1977,1986,,,,,,,10000,25000,,,,,,,2,100
617231,1977,1,1,1977,7,5000,,,,,500,,100,1975,2,150000,2,,,,,1,1,,,,,,,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,1,1,2,1,2,,,,,,,2,,2,,2,,,2,,,,,,,,1,,,,,,,,1,,,,,,,,1970,,,,,,,,6000,,,,,,,,2,100
617398,1984,1,1,2013,4,,,,,,2000,,90,1700,1,600000,2,,,,,1,0,0,,,,,,,1,4,2,,2,,2,,1,20000,1,20000,2,,2,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,1,3,2,1,2,,,,,,,2,,2,,2,,,2,2,2,,,,,,1,2,2,,,,,,1,1,1,,,,,,1979,2005,1982,,,,,,100000,600000,50000,,,,,,2,100
617902,1989,1,1,1989,1,150000,,,,,1200,,140,1965,2,650000,2,,,,,1,0,,,,,,,,1,3,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,2,,,2,2,2,3,5,5,3,5,1,3,2,1,2,,,,,,,2,,2,,2,,,2,2,2,,,,,,1,2,2,,,,,,1,1,1,,,,,,1989,1993,1967,,,,,,1500000,300000,1000000,,,,,,1,100
618755,1976,1,1,1976,2,15000,,,,,800,,200,1976,2,200000,2,,,,,1,1,,,,,,,,2,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,1,1,2,1,2,,,,,,,2,,2,,2,,,2,,,,,,,,2,,,,,,,,1,,,,,,,,1960,,,,,,,,10000,,,,,,,,2,100
619457,1991,1,1,2005,3,36000,,,,,500,,50,1957,1,200000,2,,,,,1,0,0,,,,,,,2,,2,,2,,2,,1,1100,,,2,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100
620481,1988,1,1,2002,4,,,,,,800,,100,1964,2,250000,1,137000,,,,0,1,,,,,,,,1,5,2,,2,,2,,1,3000,2,,2,,1,3,1,1,2,,2,,2,1,1,2,1,1,1,,,,2,,,2,,1,3,2,2,2,,,,,,,2,,2,,2,,,2,2,2,,,,,,1,1,1,,,,,,1,1,1,,,,,,2002,2002,1990,,,,,,50000,30000,20000,,,,,,2,100
620503,1987,1,1,1985,1,24000,,,,,600,,130,1960,2,200000,2,,,,,1,1,,,,,,,,2,,2,,2,,2,,2,,,,2,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,1,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100
620649,1981,1,1,1980,8,34000,,,,,1000,,100,1980,2,170000,2,,,,,1,1,,,,,,,,2,,2,,2,,2,,2,,,,1,1,,,2,,2,,2,,2,3,,2,2,,,2,2,1,2,,,2,,2,,1,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,100
