nquest,nord,INTPER,entepen,tipopen,decor,tpens,mesipen,arret,quotape,tarret
32470,1,1,1,5,1987,200,13,2,,0
32471,1,1,1,1,2000,400,13,2,30,0
32471,1,1,1,5,1987,220,13,2,,0
32524,1,1,1,1,1987,2157,13,2,66,0
32524,1,1,5,7,1987,300,13,2,,0
32524,2,1,1,1,2005,1745,13,2,72,0
32524,2,1,5,7,2005,118,13,2,,0
32556,1,1,1,1,2006,1100,13,2,80,0
32556,1,1,1,5,1995,200,13,2,,0
32668,1,1,1,1,1995,1300,13,2,70,0
32703,1,1,1,1,1982,600,13,2,70,0
32703,1,1,1,4,2012,680,13,2,,0
32703,2,2,1,1,2012,700,13,2,70,0
32709,1,1,1,1,2007,1400,13,2,70,0
32709,2,1,1,1,2000,550,13,2,60,0
32733,1,1,1,1,1992,811,13,2,40,0
32733,2,2,1,2,2010,,1,2,,0
32742,1,1,1,1,1999,1500,13,2,70,0
32742,2,1,1,1,1999,1000,13,2,70,0
32751,1,1,1,1,1989,800,13,2,80,0
32751,1,1,1,5,2006,600,13,2,,0
32772,2,1,1,1,2002,1600,13,2,90,0
32810,1,1,1,1,1991,430,13,2,80,0
32810,1,1,1,5,1971,300,13,2,,0
32822,1,1,1,1,1994,1700,13,2,60,0
32822,2,1,1,3,2014,400,13,2,,0
32839,1,1,1,1,1999,1510,13,2,87,0
32861,1,1,1,1,2010,1100,13,2,90,0
32861,2,2,1,1,1998,1300,13,2,100,0
32987,1,1,1,1,1992,498,14,2,50,0
32987,2,1,1,1,1994,1200,13,2,80,0
33036,1,1,1,1,2000,800,13,2,60,0
33275,1,1,2,1,2001,1500,13,2,90,0
33275,2,2,2,1,2006,1350,13,2,80,0
33303,1,1,1,1,2004,1540,13,2,85,0
33303,2,2,1,1,1999,960,13,2,80,0
33336,2,1,1,1,1999,480,13,2,60,0
33336,2,1,1,5,1995,450,13,2,,0
33348,1,1,1,1,1994,1150,13,2,90,0
33348,2,2,1,4,1996,800,12,2,,0
33455,1,1,2,1,2003,1500,13,2,90,0
33479,1,1,1,1,1995,1700,13,2,80,0
33479,2,1,1,1,2001,1000,13,2,80,0
33644,1,1,1,1,1991,1040,13,2,90,0
33751,1,1,2,1,2006,2050,13,2,75,0
33751,2,1,1,1,1997,1750,13,2,80,0
33761,1,1,2,1,1999,3600,13,2,75,0
33773,1,1,1,5,2007,500,13,2,,0
33823,1,1,1,1,1985,400,13,2,90,0
33823,1,1,1,5,1987,1500,13,2,,0
33839,1,1,1,5,2007,590,13,2,,0
33882,1,1,1,1,2010,1250,13,2,90,0
33937,1,1,6,1,1999,,12,2,30,0
33994,1,1,1,1,2003,1470,13,2,100,0
34059,1,1,1,1,2011,3000,13,2,110,0
34252,1,1,1,1,2002,1200,13,2,80,0
34396,1,1,1,4,2005,300,13,2,,0
34396,1,1,2,5,1980,700,13,2,,0
34732,1,1,1,1,1998,1100,13,2,70,0
34778,1,1,1,5,2007,500,13,2,,0
34793,1,1,1,5,2013,650,13,2,,0
35005,1,1,1,1,2006,950,13,2,70,0
35005,1,1,1,5,1993,450,13,2,,0
35005,2,1,1,3,2000,277,13,2,,0
35234,1,1,1,1,1997,1300,13,2,70,0
