nquest,anmutuo21,anmutuo22,anmutuo23,debgar21_1,debgar22_1,debgar23_1,debgar21_2,debgar22_2,debgar23_2,debgar21_3,debgar22_3,debgar23_3,debm21,debm22,debm23,debpers21,debpers22,debpers23,debrf21,debrf22,debrf23,ltv21,ltv22,ltv23,mutuodu21,mutuodu22,mutuodu23,mutuoin21,mutuoin22,mutuoin23,qualeimm1,qualeimm2,qualeimm3,ratacon21,ratacon22,ratacon23,taxfis21,taxfis22,taxfis23,taxvar21,taxvar22,taxvar23,tdebita21,tdebita22,tdebita23,tipotax21,tipotax22,tipotax23,tmutuoab21,tmutuoab22,tmutuoab23
875126,2003,,,0,,,0,,,1,,,1,,,1,,,2,,,80,,,25,,,80000,,,1,,,,,,5.19,,,,,,60000,,,1,,,7200,,
876799,2010,,,1,,,0,,,0,,,1,,,,,,2,,,100,,,15,,,600000,,,2,,,,,,4,,,,,,300000,,,1,,,25000,,
877948,2009,,,1,,,0,,,0,,,2,,,,,,1,,,95,,,26,,,125000,,,1,,,,,,2.05,,,,,,107000,,,1,,,6000,,
878103,2004,,,1,,,0,,,0,,,1,,,,,,2,,,100,,,20,,,76000,,,1,,,,,,5,,,,,,45000,,,1,,,5400,,
878316,2006,,,0,,,1,,,0,,,1,,,,,,2,,,90,,,10,,,170000,,,1,,,,,,2,,,,,,17000,,,1,,,7000,,
879258,2011,,,0,,,0,,,1,,,2,,,2,,,2,,,10,,,4,,,12000,,,1,,,,,,1,,,,,,5126,,,1,,,2796,,
879710,2009,,,1,,,0,,,0,,,1,,,,,,2,,,100,,,30,,,110000,,,1,,,1,,,,,,1,,,96000,,,2,,,4200,,
881949,2013,,,0,,,1,,,0,,,1,,,,,,2,,,50,,,15,,,70000,,,1,,,2,,,,,,5,,,70000,,,2,,,6500,,
883246,2009,,,1,,,0,,,0,,,2,,,,,,1,,,50,,,25,,,125000,,,1,,,,,,6,,,,,,120000,,,1,,,9600,,
883642,2008,,,0,,,1,,,0,,,1,,,,,,2,,,40,,,10,,,50000,,,1,,,2,,,,,,3,,,20000,,,2,,,4500,,
883664,2007,,,0,,,0,,,1,,,1,,,1,,,2,,,50,,,10,,,100000,,,1,,,,,,5.5,,,,,,35000,,,1,,,12000,,
885672,2011,,,0,,,1,,,0,,,2,,,,,,2,,,12,,,5,,,70000,,,1,,,1,,,,,,3,,,8485.8340647,,,2,,,3000,,
886993,2008,,,0,,,1,,,0,,,1,,,,,,2,,,70,,,30,,,190000,,,1,,,2,,,,,,0.3,,,160000,,,2,,,5500,,
888517,2004,,,0,,,1,,,0,,,1,,,,,,2,,,50,,,30,,,125000,,,1,,,2,,,,,,2.4,,,85000,,,2,,,5800,,
890725,2010,,,1,,,0,,,0,,,2,,,,,,2,,,40,,,10,,,30000,,,3,,,1,,,,,,3,,,20000,,,2,,,3500,,
893053,2010,,,0,,,1,,,0,,,1,,,,,,2,,,100,,,25,,,100000,,,1,,,,,,4,,,,,,361277.88334,,,1,,,25000,,
893623,2014,,,0,,,0,,,1,,,2,,,1,,,2,,,40,,,6,,,10000,,,4,,,,,,4,,,,,,9000,,,1,,,1500,,
894082,2014,,,0,,,1,,,0,,,3,,,,,,1,,,1,,,12,,,100000,,,3,,,1,,,,,,3.5,,,95000,,,2,,,9150,,
894820,2002,,,1,,,0,,,0,,,1,,,,,,2,,,70,,,15,,,46000,,,1,,,2,,,,,,1.45,,,13000,,,2,,,3600,,
895026,2007,,,0,,,1,,,0,,,2,,,,,,1,,,50,,,10,,,200000,,,4,,,,,,8,,,,,,80000,,,1,,,20000,,
895654,2010,,,0,,,1,,,0,,,1,,,,,,2,,,30,,,20,,,50000,,,1,,,2,,,,,,2.9,,,40000,,,2,,,3360,,
896060,2007,,,0,,,1,,,0,,,1,,,,,,2,,,100,,,20,,,75000,,,4,,,,,,4,,,,,,50000,,,1,,,4500,,
896079,2006,,,1,,,0,,,0,,,1,,,,,,2,,,100,,,30,,,170000,,,2,,,,,,4,,,,,,145000,,,1,,,12000,,
896277,2008,2010,2011,0,0,0,1,1,1,0,0,0,1,1,1,,,,2,2,2,80,80,25,16,25,10,205000,230000,320000,1,1,3,,1,,,,4,6,4,,120000,170000,210000,3,2,1,18000,12000,25000
896570,2004,,,1,,,0,,,0,,,1,,,,,,2,,,80,,,20,,,146000,,,1,,,2,,,,,,1.4,,,80000,,,2,,,8400,,
896576,2000,,,1,,,0,,,0,,,1,,,,,,2,,,80,,,25,,,180000,,,1,,,,,,3,,,,,,70800,,,1,,,7800,,
897133,1992,,,1,,,0,,,0,,,1,,,,,,1,,,80,,,30,,,90000,,,1,,,,,,5.4,,,,,,25000,,,1,,,5300,,
897437,2004,,,0,,,0,,,1,,,1,,,1,,,2,,,75,,,20,,,45000,,,1,,,2,,,,,,2.75,,,25500,,,2,,,2800,,
897853,2011,,,0,,,0,,,1,,,1,,,1,,,2,,,40,,,20,,,30000,,,1,,,,,,2,,,,,,25000,,,1,,,1500,,
898191,2007,,,0,,,1,,,0,,,1,,,,,,2,,,100,,,23,,,50000,,,1,,,,,,2.5,,,,,,82273.186302,,,1,,,6000,,
898659,2008,,,1,,,0,,,0,,,1,,,,,,2,,,100,,,15,,,100000,,,1,,,2,,,,,,4,,,60000,,,2,,,12000,,
899021,2002,,,1,,,0,,,0,,,1,,,,,,2,,,35,,,20,,,70000,,,1,,,,,,4,,,,,,30000,,,1,,,6100,,
899500,2011,,,0,,,1,,,0,,,1,,,,,,2,,,100,,,20,,,100000,,,1,,,,,,4.5,,,,,,80000,,,1,,,8000,,
899684,2011,,,0,,,1,,,0,,,2,,,,,,2,,,50,,,5,,,30000,,,1,,,,,,6,,,,,,12000,,,1,,,6000,,
899706,2007,,,0,,,1,,,0,,,1,,,,,,2,,,50,,,10,,,45000,,,1,,,1,,,,,,4,,,15000,,,2,,,5840,,
900569,1995,,,1,,,0,,,0,,,1,,,,,,2,,,80,,,20,,,40000,,,1,,,,,,3,,,,,,5000,,,1,,,5000,,
903280,2011,,,0,,,0,,,1,,,1,,,2,,,2,,,60,,,10,,,72000,,,1,,,,,,7.5,,,,,,42000,,,1,,,6800,,
903322,2013,,,0,,,0,,,1,,,2,,,1,,,2,,,10,,,5,,,10000,,,1,,,,,,4,,,,,,8000,,,1,,,2014,,
904133,2007,,,0,,,1,,,0,,,1,,,,,,2,,,80,,,20,,,400000,,,1,,,1,,,,,,1.5,,,125433.81501,,,2,,,10000,,
904323,2013,,,0,,,1,,,0,,,1,,,,,,2,,,50,,,4,,,20000,,,1,,,,,,4,,,,,,10000,,,1,,,4000,,
906517,2005,,,0,,,1,,,0,,,3,,,,,,1,,,40,,,15,,,45000,,,4,,,,,,2,,,,,,30000,,,3,,,6000,,
906880,2000,,,1,,,0,,,0,,,2,,,,,,2,,,80,,,20,,,96000,,,1,,,2,,,,,,1,,,45000,,,2,,,6000,,
907570,2006,,,1,,,0,,,0,,,1,,,,,,2,,,100,,,30,,,138000,,,1,,,2,,,,,,3.5,,,90000,,,2,,,6000,,
907572,2004,,,1,,,0,,,0,,,1,,,,,,2,,,40,,,27,,,100000,,,1,,,,,,6,,,,,,96000,,,1,,,9000,,
908196,2004,,,1,,,0,,,0,,,2,,,,,,2,,,100,,,10,,,30000,,,1,,,,,,5,,,,,,1000,,,1,,,3000,,
909480,2000,,,0,,,1,,,0,,,2,,,,,,2,,,50,,,20,,,50000,,,1,,,,,,2.9,,,,,,18000,,,1,,,3600,,
