nquest,nord,sex,parent,anasc,cit,aningr,staciv,studio,tipolau,VOTOEDU,SUEDU,annoedu,tipodip,univer,selode,motiv,apqual,asnonoc,nace,nordp,motent,annoenus,NASCREG,NASCAREA,ireg,NCOMP,ETA,CLETA5,QUAL,Q,SETT,PERC,NPERC,CFRED,AREA3,AREA5,ACOM4C,PESOFIT,ISCO
893396,2,2,2,1967,1,,1,5,,42,60,1987,4,2,0,,3,,15,,,,8,1,8,3,47,3,2,1,3,1,2,0,1,2,2,0.6722840019,
893396,3,2,6,2001,1,,2,2,,,,,,,,,17,,,,,,8,1,8,3,13,1,7,3,5,0,2,0,1,2,2,0.6722840019,
893398,1,1,1,1965,1,,2,5,,40,60,1984,2,2,0,,14,,,,,,8,1,8,3,49,3,7,3,5,0,1,0,1,2,2,0.4548803777,
893398,2,2,4,1937,1,,4,2,,,,,,,,,15,1,3,,,,8,1,8,3,77,5,6,3,5,1,1,1,1,2,2,0.4548803777,
893398,3,1,11,1970,1,,2,3,,,,,,,,,14,,,,,,8,1,8,3,44,2,7,3,5,0,1,0,1,2,2,0.4548803777,
893402,1,1,1,1965,1,,1,3,,,,,,,,,1,,7,,,,3,1,8,4,49,3,1,1,4,1,2,1,1,2,2,0.5686533556,8.1
893402,2,2,2,1971,1,,1,3,,,,,,,,,1,,17,,,,8,1,8,4,43,2,1,1,3,1,2,0,1,2,2,0.5686533556,8.2
893402,3,1,6,2002,1,,2,2,,,,,,,,,17,,,,,,8,1,8,4,12,1,7,3,5,0,2,0,1,2,2,0.5686533556,
893402,4,1,6,2007,1,,2,1,,,,,,,,,17,,,,,,8,1,8,4,7,1,7,3,5,0,2,0,1,2,2,0.5686533556,
893421,1,2,1,1958,1,,1,3,,,,,,,,,13,,,,,,19,3,9,3,56,4,7,3,5,0,1,0,2,3,2,0.6671179462,
893421,2,1,2,1953,1,,1,2,,,,,,,,,1,,2,,,,19,3,9,3,61,4,1,1,2,1,1,1,2,3,2,0.6671179462,6.1
893421,3,2,6,1982,1,,2,5,,74,100,2001,2,2,0,,11,,,,,,19,3,9,3,32,1,7,3,5,0,1,0,2,3,2,0.6671179462,
893424,1,2,1,1962,1,,3,3,,,,,,,,,12,8,17,,,,9,2,9,3,52,3,7,3,5,1,1,1,2,3,2,0.7388655982,
893424,2,2,7,1990,1,,1,5,,61,100,2009,3,1,0,,12,1,7,,,,1,1,9,3,24,1,7,3,5,0,1,0,2,3,2,0.7388655982,
893424,3,1,6,1986,1,,1,5,,98,100,2011,3,1,0,,17,,,,,,19,3,9,3,28,1,7,3,5,0,1,0,2,3,2,0.7388655982,
893435,1,2,1,1960,1,,1,3,,,,,,,,,1,,17,,,,9,2,9,3,54,3,1,1,3,1,2,0,2,3,2,0.4581755328,5.3
