nquest,nord,sex,parent,anasc,cit,aningr,staciv,studio,tipolau,VOTOEDU,SUEDU,annoedu,tipodip,univer,selode,motiv,apqual,asnonoc,nace,nordp,motent,annoenus,NASCREG,NASCAREA,ireg,NCOMP,ETA,CLETA5,QUAL,Q,SETT,PERC,NPERC,CFRED,AREA3,AREA5,ACOM4C,PESOFIT,ISCO
173,1,1,1,1948,1,,3,5,,44,60,1968,2,2,0,,15,2,10,1,,,18,3,18,1,66,5,6,3,5,1,1,1,3,4,2,0.2966792942,
375,1,2,1,1925,1,,4,2,,,,,,,,,16,,,1,,,16,3,16,1,89,5,6,3,5,1,1,1,3,4,2,1.2056198801,
633,1,2,1,1934,1,,4,2,,,,,,,,,15,1,3,1,,,5,1,5,1,80,5,6,3,5,1,1,1,1,2,1,0.3163464682,
923,1,2,1,1932,1,,4,2,,,,,,,,,16,,,1,,,13,3,13,1,82,5,6,3,5,1,1,1,3,4,2,0.2251784523,
1367,1,1,1,1927,1,,1,2,,,,,,,,,15,1,7,1,,,18,3,18,2,87,5,6,3,5,1,2,1,3,4,2,0.2938701225,
1367,2,2,2,1930,1,,1,1,,,,,,,,,15,1,7,2,,,18,3,18,2,84,5,6,3,5,1,2,0,3,4,2,0.2938701225,
1763,1,1,1,1947,1,,1,2,,,,,,,,,15,1,3,1,,,17,3,17,2,67,5,6,3,5,1,1,1,3,4,0,1.8281784194,
1763,2,2,2,1954,1,,1,2,,,,,,,,,12,1,1,2,,,17,3,17,2,60,4,7,3,5,0,1,0,3,4,0,1.8281784194,
1927,1,2,1,1933,1,,4,3,,,,,,,,,16,,,1,,,5,1,5,1,81,5,6,3,5,1,1,1,1,2,2,1.5202143489,
1946,1,1,1,1953,1,,2,5,,38,60,1977,2,2,0,,16,,,1,,,5,1,5,1,61,4,6,3,5,1,1,1,1,2,2,0.2759956887,
2886,1,1,1,1949,1,,1,5,,37,60,1970,2,1,0,,15,2,15,1,,,13,3,13,3,65,5,6,3,5,1,2,0,3,4,2,0.2406094005,
2886,2,2,2,1952,1,,1,6,10,110,110,2002,5,,1,,2,,17,2,,,13,3,13,3,62,4,2,1,3,1,2,1,3,4,2,0.2406094005,3.2
2886,3,1,6,1977,1,,2,5,,56,60,1996,2,1,0,,11,,,3,,,13,3,13,3,37,2,7,3,5,0,2,0,3,4,2,0.2406094005,
3717,1,2,1,1954,1,,2,5,,96,100,1973,3,2,0,,8,,16,1,,,16,3,16,1,60,4,5,2,3,1,1,1,3,4,2,0.494415659,
5416,1,2,1,1958,1,,3,2,,,,,,,,,1,,19,1,,,20,3,8,5,56,4,1,1,4,1,4,1,1,2,2,0.8318736433,8.1
5416,2,2,7,1979,1,,2,5,,68,100,1998,2,2,0,,1,,19,2,,,8,1,8,5,35,2,1,1,4,1,4,0,1,2,2,0.8318736433,8.1
5416,3,1,7,1981,1,,2,3,,,,,,,,,1,,19,3,,,8,1,8,5,33,1,1,1,4,1,4,0,1,2,2,0.8318736433,8.1
5416,4,2,7,1991,1,,2,3,,,,,,,,,1,,9,4,,,8,1,8,5,23,1,1,1,4,1,4,0,1,2,2,0.8318736433,5.2
5416,5,2,9,2011,1,,2,1,,,,,,,,,18,,,5,,,8,1,8,5,3,1,7,3,5,0,4,0,1,2,2,0.8318736433,
7886,1,1,1,1950,1,,1,5,,48,60,1969,2,2,0,,15,2,11,1,,,9,2,9,2,64,4,6,3,5,1,2,1,2,3,0,0.755472279,
7886,2,2,2,1953,1,,1,5,,45,60,1974,2,2,0,,2,,17,2,,,9,2,9,2,61,4,2,1,3,1,2,0,2,3,0,0.755472279,4.1
11972,1,2,1,1948,1,,1,2,,,,,,,,,15,9,7,1,,,16,3,17,2,66,5,6,3,5,1,2,1,3,4,2,0.2295881754,
11972,2,1,2,1938,1,,1,2,,,,,,,,,15,9,7,2,,,16,3,17,2,76,5,6,3,5,1,2,0,3,4,2,0.2295881754,
20297,1,1,1,1960,1,,1,3,,,,,,,,,16,,,1,,,5,1,5,2,54,3,6,3,5,1,2,1,1,2,2,3.3040144261,
20297,2,2,2,1979,2,2007,1,3,,,,,,,,4,1,,9,2,,,,,5,2,35,2,1,1,4,1,2,0,1,2,2,3.3040144261,5.2
20711,1,2,1,1945,1,,1,3,,,,,,,,,13,,,1,,,4,1,4,2,69,5,7,3,5,0,1,0,1,2,0,1.3943289362,
20711,2,1,2,1944,1,,1,2,,,,,,,,,15,1,6,2,,,4,1,4,2,70,5,6,3,5,1,1,1,1,2,0,1.3943289362,
20837,1,1,1,1931,1,,1,4,,,,,,,,,15,2,11,1,,,8,1,8,2,83,5,6,3,5,1,2,1,1,2,2,0.2053773685,
20837,2,2,2,1928,1,,1,2,,,,,,,,,16,,,2,,,8,1,8,2,86,5,6,3,5,1,2,0,1,2,2,0.2053773685,
21384,1,1,1,1958,1,,1,3,,,,,,,,,8,,19,1,,,19,3,19,4,56,4,5,2,4,1,2,1,3,5,2,0.3321084929,6.5
21384,2,2,2,1962,1,,1,3,,,,,,,,,13,,,2,,,19,3,19,4,52,3,7,3,5,0,2,0,3,5,2,0.3321084929,
21384,3,1,6,1982,1,,2,3,,,,,,,,,1,,7,3,,,19,3,19,4,32,1,1,1,4,1,2,0,3,5,2,0.3321084929,
21384,4,2,6,1989,1,,2,5,,80,100,2008,2,1,0,,17,,,4,,,19,3,19,4,25,1,7,3,5,0,2,0,3,5,2,0.3321084929,
21461,1,2,1,1918,1,,4,2,,,,,,,,,15,1,19,1,,,5,1,5,1,96,5,6,3,5,1,1,1,1,2,1,0.2711541156,
22099,1,1,1,1958,1,,1,3,,,,,,,,,8,,19,1,,,15,3,15,2,56,4,5,2,4,1,1,1,3,4,1,0.9275306132,1.3
22099,2,2,2,1962,1,,1,2,,,,,,,,,13,,,2,,,15,3,15,2,52,3,7,3,5,0,1,0,3,4,1,0.9275306132,
22169,1,2,1,1944,1,,1,2,,,,,,,,,16,,,1,,,15,3,15,3,70,5,6,3,5,1,2,0,3,4,3,0.7007326147,
22169,2,1,2,1937,1,,1,2,,,,,,,,,16,,,2,,,15,3,15,3,77,5,6,3,5,1,2,1,3,4,3,0.7007326147,
22169,3,1,6,1973,1,,2,4,,,,,,,,,11,,,3,,,15,3,15,3,41,2,7,3,5,0,2,0,3,4,3,0.7007326147,
22173,1,1,1,1938,1,,1,2,,,,,,,,,15,8,9,1,,,15,3,15,2,76,5,6,3,5,1,1,1,3,4,3,0.5846771431,
22173,2,2,2,1935,1,,1,2,,,,,,,,,13,,,2,,,15,3,15,2,79,5,7,3,5,0,1,0,3,4,3,0.5846771431,
22208,1,2,1,1935,1,,4,2,,,,,,,,,15,1,3,1,,,5,1,5,1,79,5,6,3,5,1,1,1,1,2,1,0.4592585131,
22276,1,1,1,1949,1,,2,5,,8,10,1968,2,2,0,,15,2,15,1,,,8,1,8,2,65,5,6,3,5,1,2,0,1,2,0,0.7757835348,
22276,2,2,4,1923,1,,4,2,,,,,,,,,16,,,2,,,8,1,8,2,91,5,6,3,5,1,2,1,1,2,0,0.7757835348,
22277,1,2,1,1957,1,,1,5,,50,60,1975,5,2,0,,2,,15,1,,,8,1,8,3,57,4,2,1,3,1,2,1,1,2,0,1.2875337418,4.3
22277,2,1,2,1958,1,,1,4,,,,,,,,,9,,7,2,,,8,1,8,3,56,4,5,2,4,1,2,0,1,2,0,1.2875337418,1.3
22277,3,1,6,1989,1,,2,5,,78,100,2008,3,1,0,,17,,,3,,,8,1,8,3,25,1,7,3,5,0,2,0,1,2,0,1.2875337418,
22286,1,1,1,1950,1,,1,3,,,,,,,,,15,1,15,1,,,8,1,8,2,64,4,6,3,5,1,2,1,1,2,0,0.8594362422,
22286,2,2,2,1956,1,,1,3,,,,,,,,,15,1,17,2,,,8,1,8,2,58,4,6,3,5,1,2,0,1,2,0,0.8594362422,
22292,1,2,1,1935,1,,1,2,,,,,,,,,15,1,1,1,,,8,1,8,2,79,5,6,3,5,1,2,0,1,2,0,0.80051976,
22292,2,1,2,1929,1,,1,2,,,,,,,,,15,1,1,2,,,8,1,8,2,85,5,6,3,5,1,2,1,1,2,0,0.80051976,
22624,1,1,1,1957,1,,1,2,,,,,,,,,12,1,8,1,,,15,3,15,5,57,4,7,3,5,1,1,1,3,4,2,0.3401650593,
22624,2,2,2,1961,1,,1,3,,,,,,,,,13,,,2,,,15,3,15,5,53,3,7,3,5,0,1,0,3,4,2,0.3401650593,
22624,3,1,6,1981,1,,2,3,,,,,,,,,12,1,8,3,,,15,3,15,5,33,1,7,3,5,0,1,0,3,4,2,0.3401650593,
22624,4,2,6,1995,1,,2,5,,100,100,2014,4,1,0,,17,,,4,,,15,3,15,5,19,1,7,3,5,0,1,0,3,4,2,0.3401650593,
22624,5,2,6,1997,1,,2,3,,,,,,,,,17,,,5,,,15,3,15,5,17,1,7,3,5,0,1,0,3,4,2,0.3401650593,
22657,1,2,1,1951,1,,1,7,9,110,110,1975,3,,1,,2,,16,1,,,16,3,16,2,63,4,2,1,3,1,2,1,3,4,2,1.3344935323,2.6
22657,2,1,2,1946,1,,1,5,,80,100,1965,2,2,0,,2,,8,2,,,16,3,16,2,68,5,2,1,4,1,2,0,3,4,2,1.3344935323,
22996,1,1,1,1934,1,,1,3,,,,,,,,,15,4,1,1,,,1,1,1,2,80,5,6,3,5,1,2,1,1,1,2,0.2625224273,
22996,2,2,2,1942,1,,1,3,,,,,,,,,16,,,2,,,1,1,1,2,72,5,6,3,5,1,2,0,1,1,2,0.2625224273,
23370,1,1,1,1942,1,,1,3,,,,,,,,,15,2,15,1,,,6,1,6,2,72,5,6,3,5,1,1,1,1,2,2,0.2027510011,
23370,2,2,2,1942,1,,1,2,,,,,,,,,13,,,2,,,6,1,6,2,72,5,7,3,5,0,1,0,1,2,2,0.2027510011,
23490,1,2,1,1937,1,,2,5,,7,10,1982,1,2,0,,15,2,17,1,,,5,1,5,1,77,5,6,3,5,1,1,1,1,2,1,0.2759015591,
23797,1,1,1,1955,1,,1,3,,,,,,,,,1,,19,1,,,15,3,15,2,59,4,1,1,4,1,1,1,3,4,3,0.7458872362,8.1
23797,2,2,2,1958,1,,1,3,,,,,,,,,13,,,2,,,15,3,15,2,56,4,7,3,5,0,1,0,3,4,3,0.7458872362,
23821,1,2,1,1936,1,,4,2,,,,,,,,,16,,,1,,,16,3,16,2,78,5,6,3,5,1,1,1,3,4,2,0.3261937487,
23821,2,2,6,1968,1,,2,4,,,,,,,,,11,,,2,,,16,3,16,2,46,3,7,3,5,0,1,0,3,4,2,0.3261937487,
23823,1,2,1,1937,1,,4,2,,,,,,,,,16,,,1,,,16,3,16,2,77,5,6,3,5,1,2,0,3,4,2,0.3354343533,
23823,2,2,6,1972,1,,2,5,,36,60,1991,3,2,0,,2,,11,2,,,16,3,16,2,42,2,2,1,4,1,2,1,3,4,2,0.3354343533,4.2
23865,1,1,1,1944,1,,1,3,,,,,,,,,15,5,19,1,,,16,3,16,2,70,5,6,3,5,1,1,1,3,4,2,0.9756271496,
23865,2,2,2,1950,1,,1,3,,,,,,,,,13,,,2,,,16,3,16,2,64,4,7,3,5,0,1,0,3,4,2,0.9756271496,
24147,1,1,1,1948,1,,1,7,4,108,110,1975,3,,0,,15,2,13,1,,,4,1,4,2,66,5,6,3,5,1,2,1,1,2,0,1.2265555541,
24147,2,2,2,1958,1,,1,5,,50,60,1976,5,2,0,,3,,16,2,,,4,1,4,2,56,4,2,1,3,1,2,0,1,2,0,1.2265555541,2.6
24149,1,1,1,1923,1,,4,2,,,,,,,,,15,8,19,1,,,3,1,4,1,91,5,6,3,5,1,1,1,1,2,0,1.7245512459,
24194,1,1,1,1952,1,,1,2,,,,,,,,,15,1,3,1,,,8,1,8,4,62,4,6,3,5,1,4,0,1,2,1,0.5772065447,
24194,2,2,2,1960,1,,1,3,,,,,,,,,2,,7,2,,,8,1,8,4,54,3,2,1,4,1,4,0,1,2,1,0.5772065447,4.3
24194,3,1,6,1984,1,,2,5,,72,100,2005,1,2,0,,2,,3,3,,,8,1,8,4,30,1,2,1,2,1,4,1,1,2,1,0.5772065447,3.4
24194,4,2,6,1990,1,,2,5,,72,100,2009,2,2,0,,2,,11,4,,,8,1,8,4,24,1,2,1,4,1,4,0,1,2,1,0.5772065447,4.3
24382,1,2,1,1949,1,,1,2,,,,,,,,,12,1,19,2,,,13,3,13,2,65,5,7,3,5,0,1,0,3,4,0,1.5262584262,
24382,2,1,2,1940,1,,1,2,,,,,,,,,15,1,6,1,,,13,3,13,2,74,5,6,3,5,1,1,1,3,4,0,1.5262584262,
24393,1,2,1,1931,1,,4,2,,,,,,,,,16,,,1,,,13,3,13,1,83,5,6,3,5,1,1,1,3,4,2,0.2099833609,
24616,1,1,1,1939,1,,1,2,,,,,,,,,15,1,3,1,,,8,1,8,2,75,5,6,3,5,1,2,1,1,2,2,0.5098593798,
24616,2,2,2,1944,1,,1,2,,,,,,,,,15,1,1,2,,,8,1,8,2,70,5,6,3,5,1,2,0,1,2,2,0.5098593798,
24760,1,2,1,1920,1,,4,2,,,,,,,,,16,,,1,,,17,3,17,1,94,5,6,3,5,1,1,1,3,4,2,0.2161040737,
24764,1,2,1,1966,1,,1,3,,,,,,,,,13,,,1,,,15,3,17,5,48,3,7,3,5,0,1,0,3,4,2,0.2732665656,
24764,2,1,2,1963,1,,1,3,,,,,,,,,1,,3,2,,,17,3,17,5,51,3,1,1,2,1,1,1,3,4,2,0.2732665656,6.5
24764,3,2,6,1996,1,,2,3,,,,,,,,,17,,,3,,,16,3,17,5,18,1,7,3,5,0,1,0,3,4,2,0.2732665656,
24764,4,2,6,1998,1,,2,3,,,,,,,,,17,,,4,,,16,3,17,5,16,1,7,3,5,0,1,0,3,4,2,0.2732665656,
24764,5,1,6,2007,1,,2,1,,,,,,,,,17,,,5,,,17,3,17,5,7,1,7,3,5,0,1,0,3,4,2,0.2732665656,
24809,1,2,1,1939,1,,1,2,,,,,,,,,13,,,1,,,16,3,16,2,75,5,7,3,5,0,1,0,3,4,2,1.0215244478,
24809,2,1,2,1930,1,,1,2,,,,,,,,,15,1,17,2,,,16,3,16,2,84,5,6,3,5,1,1,1,3,4,2,1.0215244478,
24853,1,1,1,1957,1,,1,3,,,,,,,,,15,2,15,1,,,16,3,11,2,57,4,6,3,5,1,2,1,2,3,2,0.2615044746,
24853,2,2,2,1962,1,,1,5,,45,60,1981,5,2,0,,3,,16,2,,,16,3,11,2,52,3,2,1,3,1,2,0,2,3,2,0.2615044746,2.6
25007,1,2,1,1934,1,,4,5,,6,10,1955,2,2,0,,16,,,1,,,19,3,19,1,80,5,6,3,5,1,1,1,3,5,2,0.1970582898,
25930,1,1,1,1946,1,,1,5,,50,60,1967,2,2,0,,15,2,3,1,,,3,1,3,2,68,5,6,3,5,1,2,1,1,1,0,1.2375665379,
25930,2,2,2,1948,1,,1,2,,,,,,,,,15,1,3,2,,,3,1,3,2,66,5,6,3,5,1,2,0,1,1,0,1.2375665379,
26048,1,1,1,1942,1,,1,5,,7,10,1962,2,2,0,,15,4,15,1,,,3,1,9,2,72,5,6,3,5,1,1,1,2,3,2,0.3156873153,
26048,2,2,2,1944,1,,1,5,,7,10,1963,2,2,0,,13,,,2,,,12,2,9,2,70,5,7,3,5,0,1,0,2,3,2,0.3156873153,
26349,1,2,1,1938,1,,4,2,,,,,,,,,15,1,3,2,,,7,1,7,1,76,5,6,3,5,1,1,1,1,1,3,0.3753283667,
27109,1,2,1,1925,1,,4,1,,,,,,,,,16,,,1,,,19,3,19,1,89,5,6,3,5,1,1,1,3,5,1,1.0121746968,
27114,1,2,1,1938,1,,4,2,,,,,,,,,16,,,1,,,19,3,19,1,76,5,6,3,5,1,1,1,3,5,1,1.0121746968,
27116,1,1,1,1937,1,,1,3,,,,,,,,,15,1,9,1,,,19,3,19,2,77,5,6,3,5,1,1,1,3,5,1,0.9701486604,
27116,2,2,2,1940,1,,1,3,,,,,,,,,13,,,2,,,19,3,19,2,74,5,7,3,5,0,1,0,3,5,1,0.9701486604,
27123,1,1,1,1949,1,,1,2,,,,,,,,,15,2,3,1,,,19,3,19,2,65,5,6,3,5,1,1,1,3,5,1,0.9341206329,
27123,2,2,2,1953,1,,1,5,,48,60,1970,5,2,0,,13,,,2,,,19,3,19,2,61,4,7,3,5,0,1,0,3,5,1,0.9341206329,
27157,1,1,1,1960,1,,1,5,,47,60,2010,2,2,0,,8,,7,1,,,19,3,19,4,54,3,5,2,4,1,2,1,3,5,2,0.2547913199,1.3
27157,2,2,2,1963,1,,1,5,,42,60,1983,2,2,0,,2,,1,2,,,19,3,19,4,51,3,2,1,1,1,2,0,3,5,2,0.2547913199,
27157,3,2,6,1990,1,,2,5,,65,100,2010,3,1,0,,17,,,3,,,19,3,19,4,24,1,7,3,5,0,2,0,3,5,2,0.2547913199,
27157,4,1,6,1996,1,,2,3,,,,,,,,,17,,,4,,,19,3,19,4,18,1,7,3,5,0,2,0,3,5,2,0.2547913199,
27238,1,1,1,1952,1,,1,3,,,,,,,,,15,1,3,1,,,12,2,12,2,62,4,6,3,5,1,2,1,2,3,0,2.4202723978,
27238,2,2,2,1961,1,,1,3,,,,,,,,,4,,13,2,,,12,2,12,2,53,3,3,1,4,1,2,0,2,3,0,2.4202723978,4.3
27509,1,2,1,1934,1,,4,2,,,,,,,,,15,1,3,1,,,8,1,8,1,80,5,6,3,5,1,1,1,1,2,2,0.3663235181,
27730,1,2,1,1949,1,,1,3,,,,,,,,,13,,,1,,,20,3,20,4,65,5,7,3,5,0,2,0,3,5,1,0.2178575966,
27730,2,1,2,1939,1,,1,2,,,,,,,,,15,1,3,2,,,20,3,20,4,75,5,6,3,5,1,2,1,3,5,1,0.2178575966,
27730,3,2,6,1972,1,,2,3,,,,,,,,,12,1,9,3,,,20,3,20,4,42,2,7,3,5,0,2,0,3,5,1,0.2178575966,
27730,4,1,6,1985,1,,2,5,,78,100,2008,2,2,0,,2,,13,4,,,20,3,20,4,29,1,2,1,4,1,2,0,3,5,1,0.2178575966,4.3
27734,1,2,1,1951,1,,1,3,,,,,,,,,13,,,1,,,20,3,20,3,63,4,7,3,5,0,2,0,3,5,1,0.2604597514,
27734,2,1,2,1947,1,,1,2,,,,,,,,,15,1,3,2,,,20,3,20,3,67,5,6,3,5,1,2,1,3,5,1,0.2604597514,
27734,3,1,6,1980,1,,2,5,,72,100,2003,2,2,0,,10,,19,3,,,20,3,20,3,34,1,4,2,4,1,2,0,3,5,1,0.2604597514,1.3
27739,1,2,1,1938,1,,4,2,,,,,,,,,16,,,1,,,20,3,20,1,76,5,6,3,5,1,1,1,3,5,1,0.1987824462,
27742,1,2,1,1932,1,,4,1,,,,,,,,,16,,,1,,,20,3,20,2,82,5,6,3,5,1,2,0,3,5,1,0.3436586934,
27742,2,2,6,1974,1,,2,7,9,110,110,2004,5,,0,,3,,16,2,,,20,3,20,2,40,2,2,1,3,1,2,1,3,5,1,0.3436586934,2.6
27912,1,1,1,1948,1,,1,5,,6,10,1966,2,2,0,,15,2,15,1,,,13,3,13,3,66,5,6,3,5,1,3,1,3,4,1,0.5051707997,
27912,2,2,2,1954,1,,1,3,,,,,,,,,12,1,19,2,,,13,3,13,3,60,4,7,3,5,1,3,0,3,4,1,0.5051707997,
27912,3,1,6,1985,1,,2,5,,80,100,2004,2,2,0,,12,1,19,3,,,13,3,13,3,29,1,7,3,5,1,3,0,3,4,1,0.5051707997,
27923,1,1,1,1951,1,,1,5,,42,60,1970,2,2,0,,15,1,3,1,,,13,3,13,4,63,4,6,3,5,1,2,1,3,4,1,0.4668989129,
27923,2,2,2,1957,1,,1,3,,,,,,,,,13,,,2,,,12,2,13,4,57,4,7,3,5,0,2,0,3,4,1,0.4668989129,
27923,3,1,6,1992,1,,2,5,,63,100,2011,3,1,0,,17,,,3,,,13,3,13,4,22,1,7,3,5,0,2,0,3,4,1,0.4668989129,
27923,4,1,6,2000,1,,2,2,,,,,,,,,17,,,4,,,13,3,13,4,14,1,7,3,5,1,2,0,3,4,1,0.4668989129,
27947,1,1,1,1933,1,,1,2,,,,,,,,,15,1,6,1,,,13,3,13,2,81,5,6,3,5,1,2,1,3,4,2,0.1791523952,
27947,2,2,2,1932,1,,1,2,,,,,,,,,16,,,2,,,13,3,13,2,82,5,6,3,5,1,2,0,3,4,2,0.1791523952,
28100,1,1,1,1955,1,,1,5,,60,60,2001,2,2,0,,4,,15,1,,,20,3,20,4,59,4,3,1,3,1,1,1,3,5,1,0.3681827879,
28100,2,2,2,1960,1,1981,1,5,,60,60,1979,5,2,0,2,13,,,2,,,,,20,4,54,3,7,3,5,0,1,0,3,5,1,0.3681827879,
28100,3,2,6,1983,1,,2,5,,100,100,2003,3,1,0,,17,,,3,,,20,3,20,4,31,1,7,3,5,0,1,0,3,5,1,0.3681827879,
28100,4,2,6,2003,1,,2,2,,,,,,,,,17,,,6,,,20,3,20,4,11,1,7,3,5,0,1,0,3,5,1,0.3681827879,
28362,1,1,1,1928,1,,4,5,,60,60,1947,2,2,0,,15,4,11,1,,,9,2,9,1,86,5,6,3,5,1,1,1,2,3,2,0.4312214967,
28441,1,1,1,1950,1,,1,5,,36,60,1969,5,2,0,,16,,,1,,,9,2,9,2,64,4,6,3,5,1,1,1,2,3,2,0.7433296283,
28441,2,2,2,1958,1,,1,5,,42,60,1977,3,2,0,,13,,,2,,,9,2,9,2,56,4,7,3,5,0,1,0,2,3,2,0.7433296283,
28802,1,2,1,1960,1,,1,5,,48,60,1978,3,1,0,,8,,7,1,,,1,1,1,3,54,3,5,2,4,1,2,1,1,1,3,0.6930910507,6.5
28802,2,1,2,1956,1,,1,5,,42,60,1974,2,1,0,,2,,10,2,,,1,1,1,3,58,4,2,1,4,1,2,0,1,1,3,0.6930910507,3.1
28802,3,2,6,1996,1,,2,3,,,,,,,,,17,,,3,,,1,1,1,3,18,1,7,3,5,0,2,0,1,1,3,0.6930910507,
28859,1,2,1,1930,1,,4,5,,6,10,1950,2,2,0,,15,2,15,1,,,8,1,8,1,84,5,6,3,5,1,1,1,1,2,2,0.4754918382,
28992,1,1,1,1931,1,,1,7,2,96,110,1959,3,,0,,15,5,21,1,,,20,3,20,2,83,5,6,3,5,1,1,1,3,5,2,0.40944523,
28992,2,2,2,1941,1,,1,3,,,,,,,,,13,,,2,,,20,3,20,2,73,5,7,3,5,0,1,0,3,5,2,0.40944523,
29006,1,1,1,1944,1,,1,5,,67,100,1968,2,2,0,,15,2,3,1,,,6,1,6,2,70,5,6,3,5,1,2,1,1,2,2,0.1768292772,
29006,2,2,2,1946,1,,1,3,,,,,,,,,15,8,7,2,,,6,1,6,2,68,5,6,3,5,1,2,0,1,2,2,0.1768292772,
29140,1,1,1,1949,1,,1,3,,,,,,,,,15,1,16,1,,,9,2,9,2,65,5,6,3,5,1,2,1,2,3,0,0.755472279,
29140,2,2,2,1952,1,,1,3,,,,,,,,,15,1,19,2,,,9,2,9,2,62,4,6,3,5,1,2,0,2,3,0,0.755472279,
29678,1,1,1,1933,1,,1,3,,,,,,,,,15,2,15,1,,,19,3,19,2,81,5,6,3,5,1,1,1,3,5,2,0.1977747162,
29678,2,2,2,1937,1,,1,2,,,,,,,,,13,,,2,,,19,3,19,2,77,5,7,3,5,0,1,0,3,5,2,0.1977747162,
29680,1,1,1,1964,1,,1,3,,,,,,,,,1,,7,1,,,19,3,19,4,50,3,1,1,4,1,3,1,3,5,2,0.4082967868,8.1
29680,2,2,2,1970,1,,1,2,,,,,,,,,8,,7,2,,,19,3,19,4,44,2,5,2,4,1,3,0,3,5,2,0.4082967868,1.3
29680,3,1,6,1990,1,,2,5,,80,100,2010,4,1,0,,17,,,3,,,19,3,19,4,24,1,7,3,5,0,3,0,3,5,2,0.4082967868,
29680,4,1,6,1994,1,,2,3,,,,,,,,,1,,7,4,,,19,3,19,4,20,1,1,1,4,1,3,0,3,5,2,0.4082967868,6.3
29737,1,1,1,1951,1,,1,8,1,105,110,1982,3,,0,,5,,17,1,,,16,3,16,2,63,4,3,1,3,1,2,1,3,4,2,1.2907726214,2.1
29737,2,2,2,1953,1,,1,7,9,106,110,1977,5,,0,,2,,16,2,,,16,3,16,2,61,4,2,1,3,1,2,0,3,4,2,1.2907726214,2.6
29742,1,1,1,1952,1,,1,2,,,,,,,,,1,,8,1,,,16,3,16,4,62,4,1,1,4,1,4,0,3,4,2,2.087887837,4.4
29742,2,2,2,1954,1,,1,2,,,,,,,,,2,,17,2,,,16,3,16,4,60,4,2,1,3,1,4,1,3,4,2,2.087887837,3.2
29742,3,2,6,1975,1,,2,3,,,,,,,,,16,,,3,,,16,3,16,4,39,2,6,3,5,1,4,0,3,4,2,2.087887837,
29742,4,1,6,1986,1,,2,5,,65,100,2005,2,2,0,,1,,9,4,,,16,3,16,4,28,1,1,1,4,1,4,0,3,4,2,2.087887837,8.1
29798,1,1,1,1935,1,,1,2,,,,,,,,,15,2,8,1,,,11,2,11,2,79,5,6,3,5,1,2,1,2,3,1,0.2678698161,
29798,2,2,2,1936,1,,1,2,,,,,,,,,16,,,2,,,11,2,11,2,78,5,6,3,5,1,2,0,2,3,1,0.2678698161,
29823,1,2,1,1960,1,,1,7,9,100,104,1991,5,,0,,13,,,1,,,15,3,15,6,54,3,7,3,5,1,2,0,3,4,2,0.2606662285,
29823,2,1,2,1965,1,,1,6,10,100,104,1998,5,,0,,2,,17,2,,,15,3,15,6,49,3,2,1,3,1,2,1,3,4,2,0.2606662285,3.2
29823,3,2,6,1994,1,,2,5,,97,100,2012,3,1,0,,17,,,3,,,15,3,15,6,20,1,7,3,5,0,2,0,3,4,2,0.2606662285,
29823,4,1,6,1995,1,,2,5,,100,100,2014,6,2,0,,17,,,4,,,15,3,15,6,19,1,7,3,5,0,2,0,3,4,2,0.2606662285,
29823,5,2,6,1998,1,,2,3,,,,,,,,,17,,,5,,,15,3,15,6,16,1,7,3,5,0,2,0,3,4,2,0.2606662285,
29823,6,1,6,2001,1,,2,2,,,,,,,,,17,,,6,,,15,3,15,6,13,1,7,3,5,0,2,0,3,4,2,0.2606662285,
31092,1,1,1,1964,1,,1,5,,60,60,1983,1,2,0,,4,,3,1,,,3,1,1,4,50,3,3,1,2,1,1,1,1,1,1,0.3579875424,4.3
31092,2,2,2,1966,1,,1,5,,54,60,1985,1,2,0,,13,,,2,,,1,1,1,4,48,3,7,3,5,0,1,0,1,1,1,0.3579875424,
31092,3,2,6,1994,1,,2,5,,90,100,2014,3,1,0,,17,,,4,,,1,1,1,4,20,1,7,3,5,0,1,0,1,1,1,0.3579875424,
31092,4,1,6,2000,1,,2,3,,,,,,,,,17,,,5,,,3,1,1,4,14,1,7,3,5,0,1,0,1,1,1,0.3579875424,
31093,1,1,1,1954,1,,3,5,,28,30,1973,6,2,0,,10,,7,1,,,1,1,1,1,60,4,4,2,4,1,1,1,1,1,1,0.2309833889,1.3
31219,1,2,1,1929,1,,4,3,,,,,,,,,15,8,7,1,,,19,3,19,1,85,5,6,3,5,1,1,1,3,5,2,0.251152168,
31220,1,2,1,1938,1,,1,2,,,,,,,,,7,,7,1,,,8,1,8,2,76,5,4,2,4,1,2,1,1,2,1,0.4571417932,1.3
31220,2,1,2,1935,1,,1,2,,,,,,,,,15,1,17,2,,,8,1,8,2,79,5,6,3,5,1,2,0,1,2,1,0.4571417932,
31221,1,2,1,1938,1,,4,5,,36,60,1958,3,1,0,,15,2,15,1,,,12,2,8,2,76,5,6,3,5,1,2,1,1,2,1,0.6487910241,
31221,2,2,6,1979,1,,2,3,,,,,,,,,16,,,2,,,8,1,8,2,35,2,6,3,5,1,2,0,1,2,1,0.6487910241,
31246,1,1,1,1942,1,,1,2,,,,,,,,,15,1,3,1,,,1,1,1,2,72,5,6,3,5,1,2,1,1,1,0,1.1825635807,
