ID,MESI,SESSO,TITOLO,ETA,NCOMP,NSESSOM,NSESSOF,NCOMP5,NCOMP613,NCOMP1417,NCOMP1844,NCOMP4554,NCOMP5564,NCOMP65,SITGEN,MLAV,PREZZIP,PREZZIF,NOCCOTT,NSMART,NOCCNOW,OCC,CONTR,SETT,PROBPERD,PROBLAV,PROBPERDF,MISURE_1,MISURE_2,MISURE_3,MISURE_4,MISURE_5,MISURE_6,MISURE_7,SMARTTEO,SMARTEFF,SMARTMOT,PROBIMPR,DIFFAFF,CONDGEN,VARRED,VARREDQ,VARREDM,VARREDMQ,DEBITI_1,DEBITI_2,DEBITI_3,DIFFDEB_1,DIFFDEB_2,DIFFDEB_3,DIFFDEB_4,DIFFDEB_5,DURMOR,FINEMOR,ATFIN,VARREDF,VARREDFA,VARREDFD,RISPAR,PRECAUZ,VARCONS,VARCONSQ,VARQUAL,VARQUAN,RICPRES,MOTPRES,NATALE,FREQATT_1,FREQATT_2,FREQATT_3,FREQATT_4,FREQATT_5,RIDMOT,ALTRIMOT_1,ALTRIMOT_2,ALTRIMOT_3,CONTAGI_1_1,CONTAGI_2_1,CONTAGI_3_1,CONTAGI_4_1,CONTAGI_5_1,CONTAGI_1_2,CONTAGI_2_2,CONTAGI_3_2,CONTAGI_4_2,CONTAGI_5_2,CONTAGI_1_3,CONTAGI_2_3,CONTAGI_3_3,CONTAGI_4_3,CONTAGI_5_3,CONTAGI_1_4,CONTAGI_2_4,CONTAGI_3_4,CONTAGI_4_4,CONTAGI_5_4,AREA5,ACOM,Y_MONTH,STACIV,DATAINT,PESO,PNASC
30552,4.0,1,7,48,1,1,0,0,0,0,0,1,0,0,4,4,5,4,1,1.0,1,1,1.0,4.0,51.0,,,1,2,2,2,2,2,2,80.0,95.0,,10,,5,2,,2,,2,2,2,,,,,,,,1,3,,1.0,1,25000,2,,,,6,,1,3,2,3,1,1,2.0,30.0,40.0,30.0,3,2,3,2,2,3,2,3,2,3,3,2,2,1,1,3,2,3,1,1,1,5,98,1,23NOV2020,23569.4209492409,1
30654,4.0,1,2,82,3,2,1,0,0,0,1,0,0,2,4,4,4,9,1,0.0,1,4,,,,,,2,2,2,2,2,2,2,,,,0,,3,2,,2,,2,2,2,,,,,,,,1,2,,,1,3000,2,,,,6,,2,2,2,2,3,2,2.0,25.0,50.0,25.0,4,3,4,3,4,2,3,2,3,2,2,3,2,3,2,2,3,2,3,2,1,3,20,3,22NOV2020,21173.8330116937,1
30694,1.0,2,7,76,1,0,1,0,0,0,0,0,0,1,9,9,9,9,0,,0,3,,,,0.0,,2,2,2,2,2,2,2,,,,0,,3,2,,2,,2,2,2,,,,,,,,2,2,,,3,100,2,,,,3,4.0,4,3,3,3,5,5,,,,,5,5,5,5,3,3,5,5,5,5,5,5,3,3,3,5,3,3,3,4,1,4,2,5,23NOV2020,13922.4470597083,1
30699,2.0,1,4,71,2,1,1,0,0,0,0,0,0,2,5,5,2,1,0,,0,4,,,,,,2,2,2,2,2,2,2,,,,0,,4,2,,2,,2,1,2,0.0,0.0,0.0,0.0,1.0,,,1,3,,1.0,2,0,2,,,,6,,1,2,1,1,1,1,2.0,50.0,25.0,25.0,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,3,21NOV2020,8070.43590433348,1
30758,4.0,1,3,74,2,1,1,0,0,0,0,0,0,2,5,5,2,1,0,,0,4,,,,,,2,2,2,2,2,2,2,,,,0,,6,3,1.0,3,1.0,2,1,2,0.0,0.0,0.0,0.0,1.0,,,1,1,2.0,,1,2500,2,,,,6,,2,2,3,2,2,1,2.0,10.0,80.0,10.0,3,3,3,3,2,2,2,2,2,2,1,1,2,1,1,2,2,2,1,1,1,2,21,3,23NOV2020,12278.691327738,1
30848,4.0,1,6,76,2,1,1,0,0,0,0,0,0,2,2,2,4,2,0,,0,4,,,,,,2,2,2,2,2,2,2,,,,0,,4,2,,2,,2,2,2,,,,,,,,1,2,,,1,50000,2,,,,6,,1,2,3,3,3,1,2.0,70.0,30.0,0.0,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,5,15,3,21NOV2020,6675.54122463912,1
30865,2.0,2,4,67,1,0,1,0,0,0,0,0,0,1,3,4,4,3,1,0.0,0,4,,,,,,2,2,2,2,2,2,2,,,,0,,3,3,2.0,2,,2,2,2,,,,,,,,2,2,,,2,1500,3,2.0,3.0,1.0,1,1.0,1,2,2,3,2,1,2.0,30.0,30.0,40.0,3,2,3,1,1,2,2,3,3,2,3,3,3,1,1,4,3,3,1,1,1,5,7,5,21NOV2020,19431.0001475113,1
30872,4.0,1,4,70,2,1,1,0,0,0,0,0,0,2,2,3,2,9,1,0.0,1,4,,,,,,2,2,2,2,2,2,2,,,,0,,4,2,,2,,2,2,2,,,,,,,,1,2,,,1,2000,2,,,,6,,1,3,1,2,1,1,2.0,40.0,30.0,30.0,3,4,4,4,4,3,4,4,4,4,3,2,2,2,2,3,2,2,2,2,1,5,15,3,22NOV2020,7680.4546786271,1
30875,3.0,2,4,74,1,0,1,0,0,0,0,0,0,1,5,5,2,1,1,0.0,0,4,,,,,,2,2,2,2,2,2,1,,,,0,2.0,2,2,,2,,2,2,2,,,,,,,,1,2,,,2,50000,2,,,,6,,2,3,3,3,1,2,1.0,,,,3,3,3,2,2,3,3,3,2,2,3,2,2,1,1,3,1,2,1,1,1,5,5,6,25NOV2020,19431.0001475113,1
30897,1.0,1,4,76,2,1,1,0,0,0,0,0,0,2,5,4,2,1,0,,0,4,,,,,,2,2,2,2,2,2,2,,,,0,2.0,3,3,1.0,2,,2,2,1,0.0,0.0,0.0,0.0,1.0,,,2,2,,,2,3700,3,1.0,3.0,1.0,6,,2,1,1,3,1,3,1.0,,,,3,3,1,1,3,3,3,1,1,3,2,2,1,1,3,2,2,1,1,2,1,2,17,3,23NOV2020,8070.43590433348,1
