nquest,nord,Y
35507,2,19500.0
35508,1,4400.0
35518,1,30429.713426
35600,1,14786.928333
35640,1,28917.20537
35640,2,14950.0
35682,1,21574.19053
35682,2,12500.0
35788,1,31524.496362
35788,3,21300.0
35968,1,47219.158055
36067,1,24059.665109
36067,3,10000.0
36130,1,28612.904028
36130,2,10000.0
36148,1,17729.301343
36164,1,19337.841145
36164,2,4000.0
36186,1,14677.065611
36186,2,2600.0
36250,1,19812.904028
36250,2,8000.0
36250,3,4000.0
36311,1,24848.175037
36311,3,1800.0
36321,1,28901.161992
36321,3,13650.0
36333,1,13103.232222
36333,2,800.0
36333,4,7500.0
36378,1,24878.593219
36378,2,16100.0
36403,1,14597.933135
36409,1,30004.263895
36409,2,15600.0
36409,3,16000.0
36443,1,22505.060928
36443,2,16400.0
36450,1,31483.060935
36450,2,18000.0
36450,3,15000.0
36522,1,30753.329329
36522,2,19000.0
36524,1,7630.1342564
36524,2,26000.0
36524,3,19500.0
36697,1,20553.013426
36774,1,6331.0
36774,3,300.0
36893,1,26613.072032
36893,2,15000.0
37001,1,8417.2053703
37001,2,27300.0
37001,3,17000.0
37011,1,31262.292131
37011,2,19370.0
37042,1,35762.89398
37042,2,25350.0
37299,1,16000.0
37299,3,15000.0
37459,1,18917.20537
37459,3,7500.0
37521,1,29236.526699
37665,1,31099.066806
37665,2,23000.0
37665,3,7800.0
37677,1,33667.612083
37721,1,21881.040277
37721,2,9100.0
37810,1,8925.8080554
38014,1,4592.8447706
38014,2,23400.0
38014,3,5000.0
38095,1,4200.0
38095,2,20000.0
38095,4,1000.0
38106,1,47780.437592
38106,2,13000.0
38112,1,33962.629543
38112,2,17500.0
38135,1,16401.032322
38255,1,9030.109398
38255,2,16000.0
38261,1,21943.560415
38261,2,4550.0
38272,1,32482.136961
38316,1,61660.700594
38316,2,25000.0
38316,3,7000.0
38319,1,27481.834183
38349,1,35705.139353
38349,2,3900.0
38349,3,22000.0
38554,1,11200.0
38554,2,10400.0
38800,1,28743.065135
38877,1,24204.848332
38877,2,3250.0
38885,1,20682.288775
38885,2,18060.0
38939,1,21643.013426
38939,2,16000.0
38939,3,17000.0
38940,1,18154.629536
38940,2,19500.0
38957,1,23704.301343
38979,1,20680.218796
38992,1,57253.716163
38992,2,41600.0
38992,3,9000.0
38995,1,33788.013426
39056,1,35547.599648
39056,2,15000.0
39058,1,6043.0134256
39058,2,16900.0
39086,1,28303.112501
39086,2,20800.0
39095,1,30395.492378
39095,2,15591.24035
39218,1,30782.85206
39227,1,15073.518717
39284,1,38888.998789
39284,2,20280.0
39284,3,18000.0
39317,1,25255.932104
39317,2,18000.0
39318,1,59928.351272
39318,2,50000.0
39351,1,7800.8602685
39351,2,8450.0
