nquest,nord,sex,anasc,staciv,ireg,NCOMP,PERC
173,1,1,1948,3,18,1,1
375,1,2,1925,4,16,1,1
633,1,2,1934,4,5,1,1
923,1,2,1932,4,13,1,1
1367,1,1,1927,1,18,2,1
1367,2,2,1930,1,18,2,1
1763,1,1,1947,1,17,2,1
1763,2,2,1954,1,17,2,0
1927,1,2,1933,4,5,1,1
1946,1,1,1953,2,5,1,1
2886,1,1,1949,1,13,3,1
2886,2,2,1952,1,13,3,1
2886,3,1,1977,2,13,3,0
3717,1,2,1954,2,16,1,1
5416,1,2,1958,3,8,5,1
5416,2,2,1979,2,8,5,1
5416,3,1,1981,2,8,5,1
5416,4,2,1991,2,8,5,1
5416,5,2,2011,2,8,5,0
7886,1,1,1950,1,9,2,1
7886,2,2,1953,1,9,2,1
11972,1,2,1948,1,17,2,1
11972,2,1,1938,1,17,2,1
20297,1,1,1960,1,5,2,1
20297,2,2,1979,1,5,2,1
20711,1,2,1945,1,4,2,0
20711,2,1,1944,1,4,2,1
20837,1,1,1931,1,8,2,1
20837,2,2,1928,1,8,2,1
21384,1,1,1958,1,19,4,1
21384,2,2,1962,1,19,4,0
21384,3,1,1982,2,19,4,1
21384,4,2,1989,2,19,4,0
21461,1,2,1918,4,5,1,1
22099,1,1,1958,1,15,2,1
22099,2,2,1962,1,15,2,0
22169,1,2,1944,1,15,3,1
22169,2,1,1937,1,15,3,1
22169,3,1,1973,2,15,3,0
22173,1,1,1938,1,15,2,1
22173,2,2,1935,1,15,2,0
22208,1,2,1935,4,5,1,1
22276,1,1,1949,2,8,2,1
22276,2,2,1923,4,8,2,1
22277,1,2,1957,1,8,3,1
22277,2,1,1958,1,8,3,1
22277,3,1,1989,2,8,3,0
22286,1,1,1950,1,8,2,1
22286,2,2,1956,1,8,2,1
22292,1,2,1935,1,8,2,1
22292,2,1,1929,1,8,2,1
22624,1,1,1957,1,15,5,1
22624,2,2,1961,1,15,5,0
22624,3,1,1981,2,15,5,0
22624,4,2,1995,2,15,5,0
22624,5,2,1997,2,15,5,0
22657,1,2,1951,1,16,2,1
22657,2,1,1946,1,16,2,1
22996,1,1,1934,1,1,2,1
22996,2,2,1942,1,1,2,1
23370,1,1,1942,1,6,2,1
23370,2,2,1942,1,6,2,0
23490,1,2,1937,2,5,1,1
23797,1,1,1955,1,15,2,1
23797,2,2,1958,1,15,2,0
23821,1,2,1936,4,16,2,1
23821,2,2,1968,2,16,2,0
23823,1,2,1937,4,16,2,1
23823,2,2,1972,2,16,2,1
23865,1,1,1944,1,16,2,1
23865,2,2,1950,1,16,2,0
24147,1,1,1948,1,4,2,1
24147,2,2,1958,1,4,2,1
24149,1,1,1923,4,4,1,1
24194,1,1,1952,1,8,4,1
24194,2,2,1960,1,8,4,1
24194,3,1,1984,2,8,4,1
24194,4,2,1990,2,8,4,1
24382,1,2,1949,1,13,2,0
24382,2,1,1940,1,13,2,1
24393,1,2,1931,4,13,1,1
24616,1,1,1939,1,8,2,1
24616,2,2,1944,1,8,2,1
24760,1,2,1920,4,17,1,1
24764,1,2,1966,1,17,5,0
24764,2,1,1963,1,17,5,1
24764,3,2,1996,2,17,5,0
24764,4,2,1998,2,17,5,0
24764,5,1,2007,2,17,5,0
24809,1,2,1939,1,16,2,0
24809,2,1,1930,1,16,2,1
24853,1,1,1957,1,11,2,1
24853,2,2,1962,1,11,2,1
25007,1,2,1934,4,19,1,1
25930,1,1,1946,1,3,2,1
25930,2,2,1948,1,3,2,1
26048,1,1,1942,1,9,2,1
26048,2,2,1944,1,9,2,0
26349,1,2,1938,4,7,1,1
27109,1,2,1925,4,19,1,1
27114,1,2,1938,4,19,1,1
27116,1,1,1937,1,19,2,1
27116,2,2,1940,1,19,2,0
27123,1,1,1949,1,19,2,1
27123,2,2,1953,1,19,2,0
27157,1,1,1960,1,19,4,1
27157,2,2,1963,1,19,4,1
27157,3,2,1990,2,19,4,0
27157,4,1,1996,2,19,4,0
27238,1,1,1952,1,12,2,1
27238,2,2,1961,1,12,2,1
27509,1,2,1934,4,8,1,1
27730,1,2,1949,1,20,4,0
27730,2,1,1939,1,20,4,1
27730,3,2,1972,2,20,4,0
27730,4,1,1985,2,20,4,1
27734,1,2,1951,1,20,3,0
27734,2,1,1947,1,20,3,1
27734,3,1,1980,2,20,3,1
27739,1,2,1938,4,20,1,1
27742,1,2,1932,4,20,2,1
27742,2,2,1974,2,20,2,1
27912,1,1,1948,1,13,3,1
27912,2,2,1954,1,13,3,1
27912,3,1,1985,2,13,3,1
27923,1,1,1951,1,13,4,1
27923,2,2,1957,1,13,4,0
27923,3,1,1992,2,13,4,0
27923,4,1,2000,2,13,4,1
27947,1,1,1933,1,13,2,1
27947,2,2,1932,1,13,2,1
28100,1,1,1955,1,20,4,1
28100,2,2,1960,1,20,4,0
28100,3,2,1983,2,20,4,0
28100,4,2,2003,2,20,4,0
28362,1,1,1928,4,9,1,1
28441,1,1,1950,1,9,2,1
28441,2,2,1958,1,9,2,0
28802,1,2,1960,1,1,3,1
28802,2,1,1956,1,1,3,1
28802,3,2,1996,2,1,3,0
28859,1,2,1930,4,8,1,1
28992,1,1,1931,1,20,2,1
28992,2,2,1941,1,20,2,0
29006,1,1,1944,1,6,2,1
29006,2,2,1946,1,6,2,1
29140,1,1,1949,1,9,2,1
29140,2,2,1952,1,9,2,1
29678,1,1,1933,1,19,2,1
29678,2,2,1937,1,19,2,0
29680,1,1,1964,1,19,4,1
29680,2,2,1970,1,19,4,1
29680,3,1,1990,2,19,4,0
29680,4,1,1994,2,19,4,1
29737,1,1,1951,1,16,2,1
29737,2,2,1953,1,16,2,1
29742,1,1,1952,1,16,4,1
29742,2,2,1954,1,16,4,1
29742,3,2,1975,2,16,4,1
29742,4,1,1986,2,16,4,1
29798,1,1,1935,1,11,2,1
29798,2,2,1936,1,11,2,1
29823,1,2,1960,1,15,6,1
29823,2,1,1965,1,15,6,1
29823,3,2,1994,2,15,6,0
29823,4,1,1995,2,15,6,0
29823,5,2,1998,2,15,6,0
29823,6,1,2001,2,15,6,0
31092,1,1,1964,1,1,4,1
31092,2,2,1966,1,1,4,0
31092,3,2,1994,2,1,4,0
31092,4,1,2000,2,1,4,0
31093,1,1,1954,3,1,1,1
31219,1,2,1929,4,19,1,1
31220,1,2,1938,1,8,2,1
31220,2,1,1935,1,8,2,1
31221,1,2,1938,4,8,2,1
31221,2,2,1979,2,8,2,1
31246,1,1,1942,1,1,2,1
31246,2,2,1944,1,1,2,1
31304,1,1,1941,1,11,2,1
31304,2,2,1942,1,11,2,1
31448,1,2,1935,4,8,1,1
31625,1,2,1931,4,3,2,1
31625,2,2,1957,2,3,2,1
31652,1,1,1941,1,3,2,1
31652,2,2,1943,1,3,2,1
31665,1,1,1937,1,7,2,1
31665,2,2,1938,1,7,2,1
31671,1,2,1952,4,7,1,1
31695,1,2,1969,1,3,4,0
31695,2,1,1964,1,3,4,1
31695,3,2,1987,2,3,4,1
31695,4,1,1992,2,3,4,1
31724,1,1,1958,1,7,5,1
31724,2,2,1962,1,7,5,1
31724,3,2,1991,2,7,5,0
31724,4,2,1996,2,7,5,0
31724,5,2,1999,2,7,5,1
31757,1,2,1935,4,3,1,1
31799,1,2,1948,1,3,2,1
31799,2,1,1941,1,3,2,1
31860,1,1,1958,1,15,3,1
31860,2,2,1961,1,15,3,1
31860,3,2,1989,2,15,3,0
31912,1,2,1940,1,3,2,1
31912,2,1,1930,1,3,2,1
32001,1,1,1934,1,1,2,1
32001,2,2,1934,1,1,2,1
32034,1,1,1944,1,1,2,1
32034,2,2,1948,1,1,2,0
32044,1,2,1937,4,1,1,1
32052,1,1,1941,1,1,2,1
32052,2,2,1944,1,1,2,1
32057,1,1,1938,1,1,3,1
32057,2,2,1943,1,1,3,0
32057,3,1,1967,2,1,3,1
32190,1,1,1947,2,3,1,1
32209,1,2,1950,1,20,2,1
32209,2,1,1940,1,20,2,1
32210,1,2,1950,1,20,3,0
32210,2,1,1946,1,20,3,1
32210,3,2,1989,2,20,3,0
32288,1,1,1960,3,8,2,1
32288,2,2,1964,3,8,2,1
32318,1,2,1936,4,4,1,1
32320,1,2,1962,1,4,4,1
32320,2,1,1958,1,4,4,1
32320,3,2,1992,2,4,4,0
32320,4,1,1994,2,4,4,0
32470,1,2,1927,4,15,2,1
32470,2,1,1968,2,15,2,1
32471,1,2,1945,4,15,1,1
32524,1,1,1945,1,8,2,1
32524,2,2,1948,1,8,2,1
32556,1,2,1947,4,5,1,1
32668,1,1,1949,1,16,3,1
32668,2,2,1950,1,16,3,0
32668,3,1,1974,2,16,3,0
32703,1,2,1942,1,8,2,1
32703,2,1,1945,1,8,2,1
32709,1,1,1940,1,8,4,1
32709,2,2,1944,1,8,4,1
32709,3,1,1971,2,8,4,1
32709,4,2,1979,2,8,4,1
32729,1,1,1954,1,8,2,1
32729,2,2,1958,1,8,2,1
32733,1,1,1931,1,8,2,1
32733,2,2,1937,1,8,2,1
32734,1,1,1965,3,8,1,1
32742,1,1,1946,1,8,2,1
32742,2,2,1946,1,8,2,1
32751,1,2,1939,4,8,1,1
32765,1,2,1956,1,8,2,1
32765,2,1,1954,1,8,2,1
32772,1,2,1952,1,8,2,0
32772,2,1,1949,1,8,2,1
32810,1,2,1936,4,17,1,1
32822,1,1,1929,1,18,3,1
32822,2,2,1931,1,18,3,1
32822,3,1,1962,2,18,3,1
32839,1,1,1945,1,5,2,1
32839,2,2,1944,1,5,2,0
32861,1,2,1951,1,11,3,1
32861,2,1,1946,1,11,3,1
32861,3,2,1989,2,11,3,1
32887,1,1,1962,1,5,3,1
32887,2,2,1965,1,5,3,1
32887,3,1,1990,2,5,3,1
32987,1,2,1937,1,12,2,1
32987,2,1,1935,1,12,2,1
33036,1,1,1936,1,15,3,1
33036,2,2,1939,1,15,3,0
33036,3,1,1965,2,15,3,0
33038,1,2,1955,1,15,3,0
33038,2,1,1957,1,15,3,1
33038,3,1,1990,2,15,3,1
33275,1,1,1936,1,13,2,1
33275,2,2,1945,1,13,2,1
33303,1,1,1947,1,8,2,1
33303,2,2,1939,1,8,2,1
33335,1,1,1960,1,10,4,1
33335,2,2,1959,1,10,4,1
33335,3,1,1983,2,10,4,1
33335,4,1,1988,2,10,4,1
33336,1,1,1970,2,10,2,1
33336,2,2,1943,4,10,2,1
33348,1,1,1939,1,10,2,1
33348,2,2,1944,1,10,2,1
33451,1,2,1955,3,19,3,1
33451,2,1,1983,2,19,3,0
33451,3,2,1993,2,19,3,0
33455,1,1,1936,3,19,1,1
33479,1,2,1934,2,19,2,1
33479,2,2,1936,2,19,2,1
33644,1,2,1937,3,5,2,1
33644,2,1,1970,2,5,2,1
33751,1,1,1946,1,19,2,1
33751,2,2,1950,1,19,2,1
33761,1,1,1939,1,19,2,1
33761,2,2,1944,1,19,2,0
33773,1,2,1959,4,19,4,1
33773,2,2,1982,2,19,4,0
33773,3,2,1985,2,19,4,0
33773,4,2,2002,2,19,4,0
33823,1,2,1929,4,9,1,1
33839,1,2,1946,4,16,1,1
33877,1,2,1963,1,8,2,1
33877,2,1,1958,1,8,2,1
33882,1,1,1951,1,8,2,1
33882,2,2,1959,1,8,2,0
33937,1,1,1939,1,12,3,1
33937,2,2,1947,1,12,3,0
33937,3,2,1974,2,12,3,1
33983,1,1,1956,1,12,3,1
33983,2,2,1959,1,12,3,1
33983,3,2,2000,2,12,3,0
33985,1,1,1949,1,12,4,1
33985,2,2,1954,1,12,4,1
33985,3,2,1985,2,12,4,1
33985,4,1,1989,2,12,4,1
33994,1,1,1946,1,12,3,1
33994,2,2,1950,1,12,3,0
33994,3,1,1976,2,12,3,1
34059,1,1,1951,4,11,1,1
34252,1,1,1948,2,13,1,1
34396,1,2,1933,4,15,2,1
34396,2,2,1967,2,15,2,1
34732,1,1,1938,1,16,2,1
34732,2,2,1943,1,16,2,0
34778,1,2,1937,4,16,2,1
34778,2,1,1963,2,16,2,1
34793,1,2,1952,4,16,3,1
34793,2,2,1985,2,16,3,1
34793,3,2,1982,2,16,3,1
34825,1,1,1953,1,8,3,0
34825,2,2,1954,1,8,3,1
34825,3,2,1986,2,8,3,1
34900,1,2,1967,1,5,4,1
34900,2,1,1963,1,5,4,1
34900,3,2,1994,2,5,4,0
34900,4,1,2002,2,5,4,0
35005,1,1,1941,4,3,2,1
35005,2,1,1982,2,3,2,1
35022,1,2,1966,1,15,4,0
35022,2,1,1966,1,15,4,1
35022,3,1,1993,2,15,4,0
35022,4,1,1991,2,15,4,0
35032,1,1,1958,1,3,4,1
35032,2,2,1960,1,3,4,1
35032,3,1,1988,2,3,4,1
35032,4,1,1990,2,3,4,0
35234,1,1,1939,1,9,2,1
35234,2,2,1945,1,9,2,1
35319,1,2,1937,4,13,1,1
35322,1,1,1929,1,13,2,1
35322,2,2,1937,1,13,2,1
35323,1,1,1937,1,13,2,1
35323,2,2,1937,1,13,2,1
35326,1,1,1936,2,18,2,1
35326,2,2,1932,2,18,2,1
35340,1,2,1938,4,18,1,1
35349,1,1,1930,1,18,2,1
35349,2,2,1932,1,18,2,0
35355,1,2,1933,4,18,1,1
35370,1,1,1928,3,18,1,1
35372,1,2,1955,1,18,3,1
35372,2,1,1949,1,18,3,1
35372,3,1,1976,2,18,3,1
35374,1,1,1947,1,18,5,1
35374,2,2,1953,1,18,5,1
35374,3,2,1983,2,18,5,0
35374,4,1,1988,2,18,5,0
35374,5,2,1988,2,18,5,0
35379,1,1,1949,1,18,2,1
35379,2,2,1957,1,18,2,0
35502,1,2,1957,1,19,2,0
35502,2,1,1951,1,19,2,1
35507,1,2,1963,2,19,3,1
35507,2,1,1937,1,19,3,1
35507,3,2,1941,1,19,3,0
35508,1,2,1965,4,19,6,1
35508,2,1,1993,2,19,6,0
35508,3,1,1994,2,19,6,0
35508,4,1,1998,2,19,6,0
35508,5,1,2004,2,19,6,0
35508,6,1,2008,2,19,6,0
35518,1,2,1938,4,19,1,1
35600,1,1,1928,1,19,2,1
35600,2,2,1930,1,19,2,0
35640,1,1,1946,1,9,2,1
35640,2,2,1945,1,9,2,1
35682,1,1,1949,1,5,2,1
35682,2,2,1955,1,5,2,1
35788,1,1,1951,1,5,3,1
35788,2,2,1954,1,5,3,0
35788,3,1,1985,2,5,3,1
35968,1,2,1925,4,9,1,1
36067,1,1,1950,1,16,3,1
36067,2,2,1955,1,16,3,0
36067,3,1,1983,2,16,3,1
36130,1,1,1963,1,5,3,1
36130,2,2,1965,1,5,3,1
36130,3,2,1991,2,5,3,0
36148,1,2,1931,4,5,1,1
36164,1,1,1959,1,5,2,1
36164,2,2,1963,1,5,2,1
36186,1,2,1963,4,17,3,1
36186,2,2,1986,2,17,3,1
36186,3,2,2000,2,17,3,0
36250,1,2,1961,4,16,3,1
36250,2,1,1985,2,16,3,1
36250,3,1,1991,2,16,3,1
36311,1,1,1964,1,16,4,1
36311,2,2,1966,1,16,4,0
36311,3,1,1993,2,16,4,1
36311,4,1,1998,2,16,4,0
36321,1,1,1950,1,16,3,1
36321,2,2,1951,1,16,3,0
36321,3,2,1982,2,16,3,1
36333,1,2,1958,1,12,4,0
36333,2,2,1987,2,12,4,1
36333,3,2,1990,2,12,4,0
36333,4,1,1962,1,12,4,1
36378,1,1,1948,1,5,2,1
36378,2,2,1951,1,5,2,1
36403,1,1,1938,1,1,2,1
36403,2,2,1943,1,1,2,0
36409,1,1,1954,1,1,3,1
36409,2,2,1956,1,1,3,1
36409,3,2,1987,2,1,3,1
36443,1,1,1953,1,8,2,1
36443,2,2,1959,1,8,2,1
36450,1,1,1952,1,8,3,1
36450,2,2,1956,1,8,3,1
36450,3,1,1986,2,8,3,1
36522,1,1,1959,1,17,4,1
36522,2,2,1961,1,17,4,1
36522,3,2,1989,2,17,4,0
36522,4,1,1993,2,17,4,0
36524,1,1,1968,2,17,3,0
36524,2,1,1941,1,17,3,1
36524,3,2,1937,1,17,3,1
36697,1,2,1953,4,8,1,1
36774,1,2,1947,3,12,4,1
36774,2,2,1970,3,12,4,0
36774,3,2,1996,2,12,4,1
36774,4,2,2007,2,12,4,0
36893,1,1,1951,1,19,3,1
36893,2,2,1960,1,19,3,1
36893,3,2,1992,2,19,3,0
37001,1,2,1954,1,9,4,0
37001,2,1,1950,1,9,4,1
37001,3,1,1979,1,9,4,1
37001,4,2,1989,1,9,4,0
37011,1,1,1941,1,13,2,1
37011,2,2,1947,1,13,2,1
37042,1,1,1957,1,9,2,1
37042,2,2,1947,1,9,2,1
37299,1,1,1957,1,15,4,1
37299,2,2,1961,1,15,4,0
37299,3,1,1989,2,15,4,1
37299,4,2,1995,1,15,4,0
37459,1,1,1962,1,12,3,1
37459,2,2,1964,1,12,3,0
37459,3,2,1992,2,12,3,1
37521,1,2,1950,3,5,1,1
37665,1,2,1964,1,5,3,1
37665,2,1,1957,1,5,3,1
37665,3,2,1927,4,5,3,1
37677,1,1,1941,1,19,2,1
37677,2,2,1947,1,19,2,0
37721,1,1,1930,1,10,2,1
37721,2,2,1934,1,10,2,1
37810,1,2,1950,2,12,1,1
38014,1,2,1956,1,6,3,0
38014,2,1,1952,1,6,3,1
38014,3,1,1985,2,6,3,1
38095,1,2,1961,1,1,4,0
38095,2,1,1965,1,1,4,1
38095,3,2,1989,2,1,4,0
38095,4,1,1985,2,1,4,1
38106,1,1,1940,1,6,2,1
38106,2,2,1935,1,6,2,1
38112,1,2,1965,1,6,4,1
38112,2,1,1964,1,6,4,1
38112,3,2,1997,2,6,4,0
38112,4,1,2000,2,6,4,0
38135,1,1,1969,2,6,1,1
38255,1,2,1963,1,9,2,0
38255,2,1,1961,1,9,2,1
38261,1,1,1936,1,13,2,1
38261,2,2,1945,1,13,2,1
38272,1,2,1938,2,9,1,1
38316,1,1,1957,1,5,5,1
38316,2,2,1958,1,5,5,1
38316,3,1,1985,2,5,5,1
38316,4,1,1990,2,5,5,0
38316,5,2,1995,2,5,5,0
38319,1,1,1952,3,5,1,1
38349,1,1,1939,1,8,3,1
38349,2,2,1943,1,8,3,1
38349,3,1,1974,3,8,3,1
38554,1,1,1967,1,9,4,1
38554,2,2,1974,1,9,4,1
38554,3,1,1996,2,9,4,0
38554,4,1,2002,2,9,4,0
38800,1,2,1939,2,3,1,1
38877,1,1,1947,1,13,2,1
38877,2,2,1951,1,13,2,1
38885,1,1,1944,1,13,2,1
38885,2,2,1951,1,13,2,1
38939,1,2,1946,4,20,5,1
38939,2,2,1967,2,20,5,1
38939,3,2,1969,1,20,5,1
38939,4,2,2008,2,20,5,0
38939,5,2,2011,2,20,5,0
38940,1,1,1944,1,20,2,1
38940,2,2,1946,1,20,2,1
38957,1,1,1929,1,20,2,1
38957,2,2,1931,1,20,2,0
38979,1,2,1945,4,4,1,1
38992,1,2,1950,1,3,3,1
38992,2,1,1949,1,3,3,1
38992,3,2,1988,2,3,3,1
38995,1,1,1942,3,3,1,1
39056,1,1,1956,1,3,2,1
39056,2,2,1959,1,3,2,1
39058,1,2,1947,1,3,2,0
39058,2,1,1945,1,3,2,1
39086,1,1,1937,1,5,2,1
39086,2,2,1939,1,5,2,1
39095,1,2,1958,1,5,2,1
39095,2,1,1988,2,5,2,1
39218,1,2,1940,2,5,1,1
39227,1,1,1934,4,5,1,1
39284,1,1,1927,1,13,3,1
39284,2,2,1931,1,13,3,1
39284,3,2,1965,2,13,3,1
39317,1,2,1964,1,1,4,1
39317,2,1,1962,1,1,4,1
39317,3,1,1992,2,1,4,0
39317,4,1,1998,2,1,4,0
39318,1,1,1962,1,1,3,1
39318,2,2,1966,1,1,3,1
39318,3,1,1998,2,1,3,0
39351,1,1,1938,1,11,2,1
39351,2,2,1938,1,11,2,1
39488,1,2,1949,3,9,2,1
39488,2,2,1926,4,9,2,1
39491,1,1,1938,1,9,2,1
39491,2,2,1933,1,9,2,1
39697,1,1,1948,1,19,3,1
39697,2,2,1952,1,19,3,1
39697,3,2,1985,2,19,3,0
50052,1,1,1929,4,20,1,1
50060,1,1,1959,1,20,3,1
50060,2,2,1956,1,20,3,0
50060,3,1,1987,2,20,3,0
50085,1,1,1945,4,20,2,1
50085,2,1,1976,2,20,2,1
50135,1,2,1942,4,20,2,1
50135,2,1,1975,2,20,2,0
50150,1,2,1953,1,20,3,0
50150,2,1,1953,1,20,3,1
50150,3,2,1978,2,20,3,1
50231,1,2,1939,4,20,3,1
50231,2,1,1958,2,20,3,1
50231,3,1,1961,2,20,3,0
50232,1,1,1928,1,20,2,1
50232,2,2,1934,1,20,2,0
51013,1,1,1947,1,18,3,1
51013,2,2,1950,1,18,3,1
51013,3,1,1982,2,18,3,1
51351,1,1,1954,1,10,4,1
51351,2,2,1959,1,10,4,0
51351,3,1,1928,1,10,4,1
51351,4,2,1932,1,10,4,1
51363,1,2,1933,4,10,1,1
51444,1,1,1952,1,5,4,1
51444,2,2,1951,1,5,4,1
51444,3,2,1981,2,5,4,1
51444,4,2,1988,2,5,4,1
51467,1,1,1932,1,5,3,1
51467,2,2,1931,1,5,3,1
51467,3,1,1961,3,5,3,0
51544,1,1,1950,1,5,2,1
51544,2,2,1943,1,5,2,1
51733,1,1,1940,1,5,2,1
51733,2,2,1939,1,5,2,1
51895,1,1,1941,1,4,2,1
51895,2,2,1940,1,4,2,1
52400,1,1,1942,2,17,1,1
52478,1,2,1955,1,16,5,0
52478,2,1,1951,1,16,5,1
52478,3,2,1986,2,16,5,0
52478,4,2,1991,2,16,5,0
52478,5,1,2011,2,16,5,0
52700,1,2,1960,4,16,2,1
52700,2,2,1989,2,16,2,1
52718,1,2,1956,4,14,2,1
52718,2,2,1981,2,14,2,1
52736,1,2,1965,2,16,3,0
52736,2,1,1925,4,16,3,1
52736,3,1,1945,2,16,3,1
53008,1,1,1958,1,8,3,1
53008,2,2,1963,1,8,3,1
53008,3,2,1990,2,8,3,1
53028,1,2,1942,3,5,1,1
53086,1,1,1956,2,8,1,1
53108,1,1,1950,1,8,2,1
53108,2,2,1955,1,8,2,1
53109,1,2,1932,4,8,1,1
53202,1,1,1950,1,5,2,1
53202,2,2,1956,1,5,2,1
53234,1,1,1946,1,8,4,1
53234,2,2,1947,1,8,4,1
53234,3,1,1978,2,8,4,1
53234,4,1,1986,2,8,4,0
53373,1,2,1953,1,11,2,1
53373,2,1,1945,1,11,2,1
53380,1,2,1932,4,11,2,1
53380,2,1,1961,3,11,2,1
53520,1,1,1948,1,11,2,1
53520,2,2,1952,1,11,2,0
53549,1,1,1943,1,11,3,1
53549,2,2,1948,1,11,3,1
53549,3,1,1977,2,11,3,1
53552,1,2,1955,3,11,2,1
53552,2,2,1991,2,11,2,1
53564,1,1,1930,1,11,4,1
53564,2,2,1936,1,11,4,1
53564,3,1,1960,3,11,4,1
53564,4,2,1963,2,11,4,1
53596,1,1,1964,1,11,4,1
53596,2,2,1970,1,11,4,0
53596,3,1,1992,2,11,4,1
53596,4,1,2001,2,11,4,0
53666,1,2,1970,1,3,4,0
53666,2,1,1966,1,3,4,1
53666,3,1,1993,2,3,4,0
53666,4,1,2005,2,3,4,0
53741,1,2,1928,4,3,1,1
53871,1,2,1952,1,3,2,1
53871,2,1,1952,1,3,2,0
53997,1,2,1934,4,3,1,1
54143,1,2,1937,1,3,3,1
54143,2,1,1931,1,3,3,1
54143,3,2,1969,2,3,3,1
54279,1,2,1960,2,3,1,1
55094,1,1,1948,1,13,3,1
55094,2,2,1960,1,13,3,1
55094,3,1,1988,2,13,3,0
55147,1,2,1945,1,9,2,1
55147,2,1,1929,1,9,2,1
55209,1,2,1919,4,13,1,1
55308,1,2,1929,4,13,1,1
55425,1,1,1969,2,15,1,1
55430,1,1,1960,2,15,2,0
55430,2,2,1930,4,15,2,1
55636,1,1,1955,1,15,5,1
55636,2,2,1958,1,15,5,1
55636,3,1,1988,2,15,5,0
55636,4,1,1996,2,15,5,0
55636,5,2,1924,4,15,5,1
55774,1,2,1953,4,17,3,1
55774,2,1,1974,2,17,3,1
55774,3,1,1981,2,17,3,0
55799,1,1,1951,1,17,2,1
55799,2,2,1956,1,17,2,1
56251,1,2,1932,4,12,3,1
56251,2,2,1965,4,12,3,1
56251,3,1,1990,2,12,3,0
56465,1,1,1950,1,10,2,1
56465,2,2,1954,1,10,2,0
56529,1,1,1946,1,12,3,1
56529,2,2,1956,1,12,3,0
56529,3,1,1982,2,12,3,1
56563,1,1,1935,1,10,3,1
56563,2,2,1937,1,10,3,1
56563,3,1,1961,2,10,3,1
56572,1,2,1943,4,10,1,1
56582,1,2,1963,1,10,3,1
56582,2,1,1956,1,10,3,1
56582,3,2,1991,2,10,3,0
56603,1,2,1968,1,10,3,1
56603,2,1,1964,1,10,3,1
56603,3,1,1990,2,10,3,1
56624,1,1,1950,1,10,3,1
56624,2,2,1944,1,10,3,1
56624,3,1,1981,2,10,3,0
56658,1,1,1964,2,10,2,1
56658,2,2,1937,4,10,2,1
56677,1,2,1930,1,10,2,1
56677,2,1,1936,1,10,2,1
56721,1,2,1959,1,10,4,1
56721,2,1,1955,1,10,4,1
56721,3,2,1990,2,10,4,0
56721,4,2,1925,4,10,4,1
56761,1,2,1970,1,10,6,1
56761,2,1,1941,1,10,6,1
56761,3,2,1947,1,10,6,1
56761,4,1,1969,1,10,6,1
56761,5,1,2003,2,10,6,0
56761,6,1,2005,2,10,6,0
56762,1,1,1943,1,10,2,1
56762,2,2,1955,1,10,2,0
57027,1,1,1964,1,19,4,1
57027,2,2,1964,1,19,4,1
57027,3,2,1992,2,19,4,0
57027,4,2,1995,2,19,4,0
57042,1,1,1946,1,19,3,1
57042,2,2,1950,1,19,3,0
57042,3,2,1972,2,19,3,0
57043,1,2,1959,1,19,4,0
57043,2,1,1954,1,19,4,1
57043,3,1,1981,2,19,4,0
57043,4,2,1982,2,19,4,0
57086,1,1,1958,1,19,5,1
57086,2,2,1959,1,19,5,0
57086,3,1,1986,2,19,5,0
57086,4,2,1995,2,19,5,0
57086,5,2,1995,2,19,5,0
57138,1,1,1947,1,19,2,1
57138,2,2,1950,1,19,2,1
57546,1,1,1961,1,11,2,1
57546,2,2,1963,1,11,2,1
57547,1,1,1948,1,11,3,1
57547,2,2,1956,1,11,3,0
57547,3,1,1979,2,11,3,0
57609,1,2,1943,1,10,3,1
57609,2,1,1931,1,10,3,1
57609,3,1,1977,2,10,3,1
57621,1,2,1959,1,10,2,1
57621,2,1,1950,1,10,2,1
57670,1,2,1953,3,19,6,1
57670,2,2,1972,1,19,6,1
57670,3,1,1969,1,19,6,1
57670,4,2,2008,2,19,6,0
57670,5,1,2011,2,19,6,0
57670,6,2,2013,2,19,6,0
57779,1,2,1954,1,19,2,0
57779,2,1,1950,1,19,2,1
57911,1,2,1966,1,9,4,1
57911,2,1,1961,1,9,4,1
57911,3,1,1995,2,9,4,0
57911,4,2,1998,2,9,4,0
57962,1,1,1956,1,8,4,1
57962,2,2,1959,1,8,4,1
57962,3,1,1983,2,8,4,1
57962,4,2,1988,2,8,4,1
58053,1,1,1966,2,8,2,1
58053,2,2,1935,4,8,2,1
58366,1,2,1944,2,9,1,1
60078,1,1,1957,1,15,3,1
60078,2,2,1964,1,15,3,0
60078,3,1,2001,2,15,3,0
91067,1,1,1952,3,11,2,1
91067,2,2,1986,2,11,2,0
91071,1,2,1970,1,3,4,1
91071,2,1,1969,1,3,4,1
91071,3,1,1999,2,3,4,0
91071,4,1,2002,2,3,4,0
91074,1,2,1973,3,8,3,1
91074,2,1,1996,2,8,3,0
91074,3,2,2003,2,8,3,0
91079,1,2,1963,1,10,3,1
91079,2,1,1964,1,10,3,1
91079,3,1,1998,2,10,3,0
91081,1,1,1965,1,11,3,1
91081,2,2,1969,1,11,3,1
91081,3,1,1999,2,11,3,0
91095,1,1,1960,1,9,3,1
91095,2,2,1963,1,9,3,0
91095,3,2,2003,2,9,3,0
104002,1,2,1952,2,16,1,1
