nquest,Y
173,35272.053703
375,14710.0
633,19005.161611
923,28554.301343
1367,14341.834907
1763,9934.1887872
1927,10538.602685
1946,12930.938058
2886,49856.162937
3717,4000.0
5416,35025.743402
7886,45297.826851
11972,30617.20537
20297,20169.578035
20711,29317.20537
20837,46915.839089
21384,22944.937048
21461,14359.001426
22099,28211.512331
22169,12350.0
22173,15612.904028
22208,26296.39436
22276,36617.806129
22277,38116.90821
22286,24273.859733
22292,45638.714443
22624,7000.0
22657,47408.008364
22996,39137.44854
23370,15754.629536
23490,22297.887343
23797,22517.20537
23821,11591.860528
23823,30355.509843
23865,40500.0
24147,100700.43759
24149,9502.9040277
24194,75415.740277
24382,14293.190434
24393,11308.508515
24616,30528.821481
24760,15908.602685
24764,25025.808055
24809,33183.787509
24853,55386.026851
25007,19414.196916
25930,33055.472597
26048,48652.172781
26349,25987.513591
27109,12850.0
27114,22032.053703
27116,22751.616111
27123,25915.067128
27157,17862.137566
27238,43255.0
27509,14177.991435
27730,45923.284717
27734,32937.654663
27739,21015.392061
27742,27293.227619
27912,29222.705119
27923,28301.278451
27947,26212.690203
28100,28600.0
28362,38083.602685
28441,43351.11909
28802,87559.015198
28859,21240.251563
28992,43107.374677
29006,38072.084437
29140,41232.602685
29678,20347.314768
29680,32724.493505
29737,72159.94301
29742,72370.0
29798,35116.161108
29823,33908.602685
31092,40880.846308
31093,102003.75663
31219,13202.580806
31220,62968.262677
31221,56730.109398
31246,40817.329163
31304,32790.031033
31448,34985.210294
31625,51207.73345
31652,49497.506656
31665,21612.0241
31671,31763.493986
31695,59709.696665
31724,73460.218796
31757,14527.658008
31799,32352.880935
31860,40580.514285
31912,24473.013426
32001,28804.435542
32034,20433.641908
32044,7569.6295364
32052,31215.484833
32057,32824.501409
32190,19331.088332
32209,20865.238464
32210,17731.673401
32288,35550.755842
32318,17817.20537
32320,71835.181988
32470,39344.032329
32471,11684.39599
32524,109935.39476
32556,20584.065912
32668,18700.0
32703,25758.065639
32709,116202.47093
32729,51443.013426
32733,17983.875184
32734,21860.218796
32742,40174.91481
32751,27623.508804
32765,57640.132134
32772,30449.620203
32810,12314.072776
32822,40330.109398
32839,25218.424126
32861,53004.004182
32887,111800.0
32987,22615.013426
33036,10400.0
33038,28454.433508
33275,45282.322215
33303,41735.154028
33335,72955.968847
33336,26937.314768
33348,40836.026851
33451,31643.013426
33455,37137.553965
33479,44786.026851
33644,28929.164837
33751,62864.232715
33761,75967.0031
33773,26329.174497
33823,36406.623374
33839,15521.616111
33877,53700.218796
33882,23378.167453
33937,23529.040277
33983,54886.05171
33985,223997.30823
33994,40835.808055
34059,36926.439813
34252,17615.067128
34396,29000.0
34732,21036.026851
34778,25125.808055
34793,25650.0
34825,41742.34444
34900,36804.830184
35005,25413.587015
35022,10051.906018
35032,63747.559148
35234,24704.301343
35319,19086.789631
35322,17890.85908
35323,19671.616111
35326,40218.29935
35340,6798.7120831
35349,21922.053703
35355,10327.424166
35370,12103.336648
35372,41925.285924
35374,31601.616111
35379,23000.0
35502,20343.013426
35507,46087.513426
35508,4400.0
35518,30429.713426
35600,14786.928333
35640,43867.20537
35682,34074.19053
35788,52824.496362
35968,47219.158055
36067,34059.665109
36130,38612.904028
36148,17729.301343
36164,23337.841145
36186,17277.065611
36250,31812.904028
36311,26648.175037
36321,42551.161992
36333,21403.232222
36378,40978.593219
36403,14597.933135
36409,61604.263895
36443,38905.060928
36450,64483.060935
36522,49753.329329
36524,53130.134256
36697,20553.013426
36774,6631.0
36893,41613.072032
37001,52717.20537
37011,50632.292131
37042,61112.89398
37299,31000.0
37459,26417.20537
37521,29236.526699
37665,61899.066806
37677,33667.612083
37721,30981.040277
37810,8925.8080554
38014,32992.844771
38095,25200.0
38106,60780.437592
38112,51462.629543
38135,16401.032322
38255,25030.109398
38261,26493.560415
38272,32482.136961
38316,93660.700594
38319,27481.834183
38349,61605.139353
38554,21600.0
38800,28743.065135
38877,27454.848332
38885,38742.288775
38939,54643.013426
38940,37654.629536
38957,23704.301343
38979,20680.218796
38992,107853.71616
38995,33788.013426
39056,50547.599648
39058,22943.013426
39086,49103.112501
39095,45986.732728
39218,30782.85206
39227,15073.518717
39284,77168.998789
39317,43255.932104
39318,109928.35127
39351,16250.860269
39488,32584.520138
39491,47687.513426
39697,54954.007838
50052,7923.3609749
50060,37086.026851
50085,23708.602685
50135,28481.08778
50150,28267.050897
50231,21117.484709
50232,12204.455276
51013,72229.040277
51351,51182.196418
51363,9024.8069125
51444,34114.087518
51467,21820.0
51544,35294.659753
51733,34595.099749
51895,29779.316859
52400,10296.666141
52478,7200.0
52700,21660.293824
52718,18165.133301
52736,17219.040277
53008,58951.711071
53028,7728.6259892
53086,24412.562078
53108,50574.542874
53109,18766.247686
53202,31617.893913
53234,43243.013426
53373,45160.218796
53380,33400.0
53520,38500.810715
53549,62752.844714
53552,26180.656388
53564,106555.15194
53596,35225.808055
53666,22236.622757
53741,21014.808055
53871,17088.208563
53997,37517.272498
54143,43626.161108
54279,27243.013426
55094,43392.848501
55147,44088.20537
55209,15685.161611
55308,11116.02188
55425,6089.0355923
55430,31819.83802
55636,71979.897103
55774,32627.614146
55799,34624.531835
56251,22530.0
56465,16902.987857
56529,58944.107405
56563,26755.917453
56572,15918.821481
56582,50666.809398
56603,50129.03376
56624,42304.450523
56658,53806.231968
56677,37980.134256
56721,45053.64306
56761,82626.002137
56762,44513.530523
57027,27829.040277
57042,14628.669813
57043,19903.232222
57086,35177.957163
57138,71990.7833
57546,36619.253052
57547,22127.424166
57609,47724.772177
57621,52869.346985
57670,42737.91711
57779,37543.013426
57911,83347.208809
57962,59047.163465
58053,61706.756724
58366,34612.827786
60078,14940.0
91067,24389.118796
91071,50870.674514
91074,22723.274703
91079,32683.17043
91081,27139.073041
91095,39167.374635
104002,27286.026851
111052,45207.689644
138399,39209.0427
145007,71072.053703
176061,16630.109398
178001,16301.616111
193016,12985.887488
213440,20800.860269
224048,7150.0
230029,29580.47586
230037,46657.055642
230039,21155.169091
230048,16710.919559
237003,55915.362023
238055,30223.425546
243067,51190.423154
244013,27062.171508
244058,16425.976692
250005,14300.0
250010,7800.0
250039,12768.821481
250056,16689.629536
256015,20908.907623
279054,15618.065639
282083,9035.0
282089,24467.0
284086,25200.0
294039,35441.506713
310002,17797.72153
310005,30397.882047
321009,27367.20537
330057,15108.357691
332080,31956.026851
333081,50948.272498
350068,18501.720537
355063,8639.2540277
365034,17642.672401
387029,40271.65
389045,15000.0
389084,19000.0
500001,17441.0265
500004,16320.0
500026,30168.423442
500090,21733.400999
500176,13021.542416
500388,10000.907864
500573,37818.581837
500575,23725.907084
500586,50561.349924
500620,24009.901029
500669,81668.562726
500674,38128.356151
500726,55651.917146
501068,17462.266329
501082,33745.794836
501569,42101.636605
501627,10046.882148
501664,31412.904028
501694,34009.168897
501816,31930.109398
501874,24039.687771
502060,8534.4107405
502157,20443.013426
502355,49691.568696
502364,26758.018796
502366,10645.808055
502772,30049.904044
503308,33235.657407
503431,28772.867128
503560,34150.578525
503561,50141.533206
503593,30606.20453
503674,120790.44129
503788,34741.056726
503804,48561.083439
503850,78895.844431
503931,73221.272661
503950,42849.306152
503981,41278.013426
504091,22916.155748
504110,76626.822164
504129,20812.340565
504157,11208.361269
504359,27540.0
504363,18768.602685
504380,26406.902035
504395,66683.527711
504453,50178.510273
