nquest,nord,Y
173A0,1,16636.652815
375A1,1,13939.661126
633A2,1,20305.497922
923A3,1,13874.424613
1367A5,1,9865.201653
1367A5,2,4290.0
1763A7,1,8402.1991689
1763A7,2,8500.0
1946A8,1,6641.9986836
2886A10,1,25780.143715
2886A10,2,28600.0
5416A14,1,10005.876764
5416A14,2,9000.0
5416A14,3,8000.0
5416A14,4,16000.0
7886A16,1,20439.088836
7886A16,2,10000.0
11972A18,1,20454.979223
11972A18,2,9600.0
20297A20,1,10678.326408
20297A20,2,22000.0
20711A22,1,3605.206763
20711A22,2,24700.0
20837A24,1,40623.345869
20837A24,2,6500.0
22099A25,1,18229.832757
22169A27,1,6400.0
22169A27,2,7800.0
22173A29,1,14325.656971
22173A29,3,8400.0
22208A30,1,31747.553745
22276A32,1,18192.062421
22276A32,2,11700.0
22286A34,1,18279.328152
22286A34,2,8450.0
22624A35,1,19300.0
22657A37,1,31252.633891
22657A37,2,13000.0
22996A39,1,35103.935086
22996A39,2,4355.0
23370A40,1,16849.170081
23490A41,1,23617.226823
23797A42,1,27831.154893
23821A43,1,12183.218528
23823A45,1,17855.170776
23823A45,2,13000.0
24147A47,1,45915.195979
24147A47,2,20000.0
24149A48,1,12097.330563
24194A52,1,31210.493299
24194A52,2,2500.0
24194A52,3,18500.0
24194A52,4,16350.0
24382A53,1,11891.290777
24616A55,1,19664.661126
24616A55,2,7150.0
24760A56,1,16836.652815
24764A59,1,6010.9958446
24764A59,2,19200.0
24764A59,3,2800.0
24809A61,1,16225.656971
24809A61,2,14300.0
24853A63,1,34344.932134
24853A63,2,20000.0
25007A64,1,18983.168855
26349A65,1,19081.218596
27109A66,1,7800.0
27114A67,1,16094.661126
27116A68,1,12003.298753
27157A70,1,3002.5464216
27157A70,2,7200.0
27238A72,1,16636.652815
27238A72,2,15000.0
27509A73,1,27618.342241
27730A76,1,9914.6611261
27730A76,2,19110.0
27730A76,4,16640.0
27734A78,1,8395.2964224
27734A78,2,15067.0
27739A79,1,26363.949169
27742A80,1,12360.0
27912A83,1,16829.322252
27912A83,2,1900.0
27912A83,3,15600.0
27923A84,1,24208.490961
27947A86,1,16702.78546
27947A86,2,5400.0
28362A87,1,25950.676432
28441A88,1,40256.023822
28802A90,1,22410.780312
28802A90,2,32000.0
28859A91,1,11855.783239
28992A92,1,32093.30563
29140A94,1,30134.572188
29140A94,2,12600.0
29678A95,1,18957.5551
29680A98,1,21605.497922
29680A98,2,8000.0
29680A98,4,10000.0
29737A100,1,45139.280698
29737A100,2,21750.0
29742A103,1,14400.0
29742A103,2,22500.0
29742A103,3,2730.0
29798A105,1,23339.833783
29798A105,2,6240.0
29823A108,1,10940.0
29823A108,2,27000.0
29823A108,4,6000.0
31093A109,1,22251.279049
31220A111,1,48258.139086
31220A111,2,11440.0
31221A113,1,21907.330563
31221A113,2,7800.0
31246A115,1,23830.76093
31246A115,2,14580.0
31625A117,1,11353.707331
31625A117,2,27000.0
31652A119,1,33081.090315
31652A119,2,16900.0
